Region Code,annual_ntl_sum
IDN,3176049.5
MYS,1501391.2
CHL,2152095.8
BOL,1660721.5
PER,2099936.2
ARG,8279227.0
GB1,27172.76
CYP,78099.14
IND,15738191.0
CH1,12499.23
IS1,249123.81
LBN,168958.3
ETH,1517190.8
SDS,865872.56
SOM,660685.06
KEN,998462.0
MWI,176264.23
TZA,1468400.4
SYR,659851.4
SOL,229014.1
FR1,5.7
SUR,204929.14
GUY,271269.12
KOR,2403467.2
PRK,261228.38
MAR,2096503.2
SAH,142267.62
CRI,208883.69
NIC,220111.14
COG,628113.6
COD,3078123.8
BTN,78368.3
UKR,3337873.0
BLR,1511449.9
NAM,1001968.5
ZAF,3572177.0
NL1,5758.74
OMN,1599246.2
UZB,1697111.4
KA1,22853.75
TJK,423078.2
LTU,673377.5
BRA,18846522.0
URY,528821.6
MNG,4099195.0
CZE,1119213.5
DEU,4732755.5
EST,476157.8
LVA,555995.06
SWE,4043297.5
FI1,9181.02
VNM,2146988.8
KHM,349765.3
LUX,71795.9
ARE,1870308.0
BEL,1134923.5
GEO,331017.8
MKD,160864.84
ALB,179982.69
AZE,459364.28
KOS,117079.45
TUR,7615106.0
ESP,5256443.5
LAO,375833.2
KGZ,658663.06
ARM,130807.8
DN1,11902.1
LBY,4246250.5
TUN,876575.25
ROU,1632863.0
HUN,788099.7
SVK,430724.03
POL,5254173.0
IRL,631596.1
GRC,1189941.1
ZMB,1060934.2
SLE,114542.52
GIN,414055.16
LBR,150863.89
CAF,792838.2
SDN,2619686.2
DJI,35253.42
ERI,147098.77
AUT,666492.25
IRQ,7614823.0
ITA,6364521.5
CHE,405944.72
IRN,11135912.0
LIE,2206.48
CIV,727134.5
SRB,868649.25
MLI,1957463.2
SEN,390747.97
NGA,1950201.1
BEN,187760.27
AGO,1762306.1
HRV,514550.3
SVN,162011.75
QAT,1063476.4
SAU,12113103.0
BWA,824504.5
ZWE,549879.75
PAK,2884383.2
BGR,612372.06
THA,2846697.5
SMR,3705.08
HTI,43422.74
DOM,337108.88
TCD,1610449.9
KWT,915930.4
SLV,79244.88
GTM,310833.3
TLS,20446.97
BRN,14584.77
MCO,2679.31
DZA,7573960.5
MOZ,1129998.1
SWZ,51695.52
BDI,42173.26
RWA,60330.83
MMR,1176685.9
BGD,485145.8
AND,8939.25
AFG,1377841.8
MNE,89399.66
BIH,339915.3
UGA,395320.4
CU1,326100.3
HND,273158.7
ECU,841056.94
COL,2140829.5
PRY,1032916.9
BRI,6.12
PRT,1215492.0
MDA,175095.69
TKM,1736756.0
JOR,719150.2
NPL,345121.9
LSO,51766.51
CMR,563734.3
GAB,367354.72
NER,1667621.6
BFA,450490.56
TGO,109861.03
GHA,804042.2
GNB,51582.85
US1,4112.79
MEX,8473923.0
BLZ,43072.52
PAN,213054.88
VEN,4750656.5
PNG,374812.1
EGY,5254321.0
YEM,861371.25
MRT,1653237.9
GNQ,46587.11
GMB,24076.47
VAT,0.0
CYN,31373.3
CNM,8906.98
KAS,5276.18
SPI,3294.3
BRT,2646.95
AU1,2.07
FJI,30208.42
NZ1,280.14
MDG,788580.94
PHL,688650.9
LKA,203513.05
BHS,41865.47
TWN,887964.06
JPN,3703553.0
ISL,702542.4
SYC,1728.98
MHL,320.89
TTO,142564.3
GRD,1922.68
VCT,1354.7
BRB,8852.4
LCA,5908.57
DMA,1918.21
ATG,4804.72
KNA,3037.84
JAM,79327.8
MUS,22008.52
COM,2527.09
STP,2853.92
CPV,11928.89
MLT,28274.28
SGP,101604.14
TON,2552.88
WSM,4176.87
SLB,28034.27
TUV,40.98
MDV,2626.46
NRU,547.32
FSM,1165.42
VUT,14088.11
PLW,576.22
BHR,229094.72
PGA,12.87
BJN,0.0
SER,0.43
SCR,0.0
