Region Code,annual_ntl_sum,annual_ntl_sum_sq,calibrated_ntl_sum,avg_ntl,avg_calibrated,rescaled_calibrated_ntl_sum,avg_rescaled_calibrated
IDN,9609153.0,93924490.0,7375104.054999999,0.861974736621529,0.6615727083713825,28306589.294370387,2.5392003698628494
MYS,1842307.2,31581256.0,1476376.9920399997,0.999529724269114,0.8009970800586378,4920215.630041038,2.6694254747739703
PRK,0.0,0.0,-166043.358,0.0,-0.3321,805513.0381139328,1.6110905198486596
MAR,1894930.2,11042515.0,1093719.7968399995,0.5668525333408319,0.3271771369751633,7444193.6877901405,2.226868330349936
CHL,3080611.0,25117478.0,-4343246.427600001,0.12937954234764695,-0.18240772207394595,41690211.16570399,1.7509060511033503
SAH,319049.94,962991.44,95122.31596399996,0.3807569313169502,0.11351978667105837,1698754.4934015519,2.0273081636324872
CRI,354775.75,5734956.0,278831.35224999994,0.9482230293894395,0.7452434658210119,979276.4558809141,2.617350502691219
NIC,448289.47,2588759.0,418717.37975399994,1.4492553762398002,1.3536530620126468,985387.80212574,3.1856170297996274
COG,1411372.4,7023235.0,1329989.6674799996,1.4897448996824967,1.4038430422465036,3062440.3372439602,3.2324954583149954
BOL,3800589.0,18260954.0,3658257.9239,1.6346935747143494,1.5734747226935575,7883770.7798723215,3.390934783629069
COD,8464099.0,35803844.0,8159800.5984000005,1.6347249449078642,1.5759538710119765,17569198.440471817,3.3932503569104786
BTN,126662.13,350038.62,121489.541154,1.5676006188118812,1.5035834301237625,268712.9193111087,3.325654941969167
PER,4842795.5,26612538.0,4526551.4513,1.4488629700102917,1.3542493751047127,10649722.864681307,3.1861739979540062
UKR,0.0,0.0,-617332.7196000001,0.0,-0.33210000000000006,2994817.501174197,1.6110905198486596
BLR,0.0,0.0,-225503.8704,0.0,-0.3321,1093969.1291497159,1.6110905198486591
MNG,0.0,0.0,-1625016.4434,0.0,-0.3321,7883314.021559548,1.6110905198486596
CZE,0.0,0.0,-80629.8948,0.0,-0.33209999999999995,391153.44513301627,1.6110905198486591
NAM,2308557.2,7078377.5,1922866.09834,0.9845886794512884,0.8200932567433165,6300800.961408977,2.6872616793203448
ARG,11832989.0,99872744.0,10511312.4631,1.239411651276392,1.100976527314687,28160723.207101814,2.9496121775530657
DEU,0.0,0.0,-342551.85120000003,0.0,-0.3321,1661794.7606893366,1.6110905198486596
GB1,49738.81,145267.67,34321.008299999994,0.6910375536629756,0.47683299248370997,170344.35570285722,2.3666498423504345
EST,0.0,0.0,-65881.998,0.0,-0.33210000000000006,319608.137327577,1.6110905198486591
CYP,0.0,0.0,-4968.216,0.0,-0.3321,24101.914176935945,1.6110905198486594
LVA,0.0,0.0,-83885.139,0.0,-0.3321,406945.3544085729,1.6110905198486594
ZAF,5258006.5,69581470.0,3457059.5158999995,0.6829002026618788,0.4489965244474853,18021891.11088593,2.340650033805457
NL1,8858.72,458109.12,9040.026091999998,14.265249597423509,14.557207877616744,9636.676058199802,15.517996873107572
SWE,0.0,0.0,-856084.7232,0.0,-0.3321,4153056.2533417153,1.6110905198486594
FI1,0.0,0.0,-4440.177,0.0,-0.33209999999999995,21540.280250376578,1.6110905198486596
OMN,1556837.9,18026426.0,1420211.3411799998,1.4080747976303531,1.2845035419707862,3450766.839697615,3.1210300182676387
VNM,1243816.0,8737508.0,921061.2275999999,0.791801729998956,0.5863390352340234,3878364.1361177997,2.4689306396958877
IND,16032986.0,165713010.0,14439917.889500001,1.3247492678673782,1.193119650461878,36739741.355507165,3.0356756665505076
KHM,469882.0,1769752.4,440026.36656,1.4317987908926917,1.3408243337721222,1041510.7561894372,3.173634745348341
CH1,1987.08,117929.29,1992.716902,15.77047619047619,15.815213507936507,2103.3178576554037,16.69299887028098
LUX,0.0,0.0,-2807.9055,0.0,-0.3321,13621.770345320414,1.6110905198486591
UZB,0.0,0.0,-688898.9412,0.0,-0.3321,3342001.063839503,1.6110905198486594
IS1,95965.66,3991500.2,93813.135492,3.5907228915662652,3.5101824250542544,138971.4012369979,5.19985786264304
KA1,0.0,0.0,-4682.61,0.0,-0.33209999999999995,22716.376329866096,1.6110905198486594
LBN,0.0,0.0,-11841.6897,0.0,-0.3321,57446.65466624364,1.6110905198486591
ARE,839832.9,25137364.0,844335.32788,3.495153255509083,3.513891120461119,1250280.1924294,5.20332185708388
BEL,0.0,0.0,-37210.4766,0.0,-0.3321,180516.2483869629,1.6110905198486594
TJK,0.0,0.0,-163891.35,0.0,-0.3321,795073.1715453134,1.6110905198486594
GEO,0.0,0.0,-81640.143,0.0,-0.3321,396054.382494396,1.6110905198486596
LTU,0.0,0.0,-72214.4808,0.0,-0.3321,350328.41136005125,1.6110905198486591
MKD,0.0,0.0,-18779.258700000002,0.0,-0.33210000000000006,91102.33562588214,1.6110905198486594
ALB,0.0,0.0,-25627.4928,0.0,-0.3321,124324.63323568134,1.6110905198486591
AZE,0.0,0.0,-98289.3123,0.0,-0.3321,476823.18352596875,1.6110905198486594
KOS,0.0,0.0,-12052.5732,0.0,-0.3321,58469.69714634755,1.6110905198486594
KGZ,0.0,0.0,-215175.89250000002,0.0,-0.3321,1043865.8250729425,1.6110905198486591
ETH,3471720.2,11482797.0,3236186.8474399997,1.3986464426718235,1.3037574923213278,7791659.524461235,3.13901358652052
ARM,0.0,0.0,-36946.7892,0.0,-0.3321,179237.04251420306,1.6110905198486594
DN1,0.0,0.0,-6685.173,0.0,-0.3321,32431.252164553505,1.611090519848659
TUR,0.0,0.0,-576190.179,0.0,-0.3321,2795225.9410322257,1.6110905198486596
SDS,1958075.5,5837316.0,1798653.7188999997,1.3185551536145066,1.2112015755385799,4533107.183155326,3.0525645401499553
LBY,6518840.5,37023824.0,6544245.522899999,2.0816604706028117,2.0897730531894982,12129048.91180334,3.873167577226205
ESP,149152.84,5425128.5,-1577660.5299120003,0.0284792884189551,-0.30123897914760056,8588628.47165538,1.639915320201232
SOM,1887646.9,6684046.0,1521451.6959799998,0.9149033549500295,0.73741612430085,5385085.927833491,2.610039611788123
LAO,670160.3,2131129.2,472804.78364,0.7150824975805049,0.5044978426106432,2242190.782535315,2.3924893563932983
TUN,81444.16,625019.6,-45084.78214800002,0.19400474029608986,-0.1073945811698289,764452.2268166832,1.8209697998277372
ROU,0.0,0.0,-209759.6736,0.0,-0.3321,1017590.5497847308,1.6110905198486594
HUN,0.0,0.0,-92024.91,0.0,-0.3321,446433.1830500635,1.6110905198486594
KEN,2070112.0,8537021.0,2045070.2477999998,1.84937106918239,1.826999578151801,4060738.073775694,3.627731984147811
SVK,0.0,0.0,-50729.9355,0.0,-0.3321,246102.1323594819,1.6110905198486591
MWI,547104.8,3576575.2,514717.5908400001,1.506802170260817,1.4176033238040158,1178353.3442784627,3.2453478318831768
POL,0.0,0.0,-280859.9589,0.0,-0.3321,1362513.75245069,1.6110905198486594
IRL,0.0,0.0,-84846.90060000001,0.0,-0.3321,411611.07255405455,1.6110905198486591
TZA,4134939.0,21984728.0,4241826.727399999,2.3973773985723366,2.459349345886074,7275724.538953069,4.218359102256217
GRC,0.0,0.0,-286321.6755,0.0,-0.3321,1389009.747140121,1.6110905198486594
BRA,41361420.0,346705340.0,39406185.2204,1.6305158702563907,1.5534382133912477,85543368.3833039,3.3722202899263554
