Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belize,BLZ,3212.4507942637106,3644.2650775884267,3867.605329158448,3888.2952987662284,4021.0065043526106,4057.8536027449486,3997.844480165072,4063.901968369148,4189.350027714162,4642.147034599802,4687.625957275292,4816.650845550751,4916.703914423594,5106.053033866416,5212.661613909942,5475.72290971811,5707.113364942306,5656.408360623022,5348.997838756601,5397.291574823194,5521.366276423356,5645.895822393112,5887.933435454672,6068.08860885237,6142.4788326928265,6148.706961093128,6100.994680978828,6059.162553066748,6210.56554311929,5266.876160042135,6228.26730928353
Bolivia,BOL,737.523089768049,763.2639355447386,760.114652067627,777.4188962473975,856.372546199509,925.8513994986799,973.9548469209126,1025.4156357624986,981.7543294986073,977.3360559609113,930.8780795002552,888.198576030751,892.3514968867138,951.9516229393772,1018.3089276775974,1200.070588488444,1351.0429254595645,1687.5833932101139,1725.1462861764485,1922.0495309392004,2304.9698352113255,2562.4667842332947,2853.7971619159816,3022.462884435614,2975.6488113784703,3013.502707761696,3280.0082134638237,3471.006950644991,3472.3808307568493,3068.812555076045,3345.196588738307
Brazil,BRA,2234.3626875057853,2105.1077475101374,2324.4997747272605,3263.5626223890185,4704.961545938831,5121.905407344641,5240.128795904057,5049.766119434263,3456.423594842263,3726.8114203609894,3142.2779349161183,2824.6796252760014,3056.624967071079,3623.247996335386,4773.248943745578,5866.096223829972,7323.033628555116,8801.599484209608,8570.02256200077,11249.464543277996,13200.785082398543,12327.317436513209,12258.503168384748,12071.158213234763,8783.225983878167,8680.768791820168,9896.684783359015,9121.083402577846,8845.25911841877,6794.489158771673,7507.160970802346
Bhutan,BTN,423.3147127978422,440.0007397991168,433.9124472051483,496.84533189735254,550.6065957775071,564.5374979491194,644.1460925558154,652.3509892489037,699.2570827371495,722.8525714060646,764.9511030017374,841.3718347084653,951.8062703317933,1050.05124227377,1201.432967319701,1299.6314879855047,1714.0324533137668,1780.1115362425098,1768.74473872391,2194.1264518619423,2491.2716770721586,2470.0736766934806,2409.441856158112,2589.899754411325,2695.6387725002487,2879.5471210199917,3240.70476560368,3210.7062691978176,3303.964210538113,3009.9241707219103,3266.3649051918233
Botswana,BWA,2855.887680399418,2918.651591179099,2844.966396683221,2832.8608933503174,3064.59372300855,3063.9918003634502,3100.134218615948,2893.3150513292453,3242.1338299830336,3351.696516853099,3115.678999542802,3029.7845318920413,4111.738085109414,4818.213102970225,5240.316159067997,5142.913833543587,5372.340731743534,5345.8158633987105,4938.278893066266,6041.75428437206,7080.812813269264,6393.008265460634,6436.609449566811,6844.020287623696,5869.7329429204165,6411.52715925389,6705.351862043558,6947.800812176385,6679.167673814599,5863.203240722164,6805.221273988988
Canada,CAN,21768.343294182847,20879.848330089066,20121.16125328547,19935.381457920805,20613.787882921624,21227.347531589636,21901.56285483924,21024.585068704466,22315.246673154485,24271.002056382138,23822.060117896377,24255.338581832177,28300.463096379102,32143.681407856227,36382.50791645377,40504.06072532019,44659.89514080335,46710.50557590134,40876.310154029445,47562.0834253057,52223.696112356076,52669.08996323179,52635.17495804316,50955.99832324038,43596.13553655461,42315.603705680725,45129.4292980921,46548.63841082945,46328.67184084962,43258.26387156007,51987.93905297292
Switzerland,CHE,39544.49468267677,40713.688152143506,39237.11865587809,43091.777097007274,50113.83212213453,48092.64330365124,41584.441782159054,42680.586732239004,41695.69129120207,38865.021939688064,39638.79110618638,42458.73846791868,49335.74562910674,54659.457148823385,56242.89336456381,59011.03245920167,64989.15532560309,74175.19278985547,71568.31238856724,76531.37294076901,90476.75896515771,85836.20767673591,87304.33058135578,88724.99094026377,83806.44760038376,82153.07454478883,82254.37692697674,85217.36915122742,84121.93103044145,85656.32266630698,91991.60045835625
Chile,CHL,2789.7763728073887,3335.026632997649,3521.6755081706206,4011.662310726824,5094.548283772858,5376.105964858028,5788.859948269563,5467.5411803512925,4981.158471414221,5097.114937189153,4606.878471525391,4479.1533721340675,4824.203097537649,6185.50633517632,7561.83054804461,9418.062717521514,10461.365421313205,10783.171560634053,10182.860471021057,12767.781206538317,14628.572457303673,15406.49294354458,15833.275204799791,14666.343531571189,13569.947800823094,13785.688331751611,15045.5276791243,15795.708463095376,14631.946877922906,13094.459531360913,16265.095976714732
China,CHN,333.14214540018423,366.460692302073,377.38983947995825,473.4922787180415,609.6566792024834,709.4137550850388,781.7441643410523,828.5804792956797,873.287061725792,959.3724836396929,1053.108243004521,1148.508290441698,1288.6432518338092,1508.6680978826612,1753.4178292582303,2099.229434604476,2693.970063405259,3468.304602074344,3832.236432467016,4550.453107757099,5614.352135225746,6300.615118257889,7020.338484536575,7636.116601252679,8016.4314349835495,8094.363366746553,8816.98690451886,9905.34200388819,10143.8381955585,10408.66975613493,12556.333120005806
Cote d'Ivoire,CIV,848.2820541369664,868.7255441854747,829.4824167031028,602.3319653414003,769.2557235181482,1220.121516234898,1176.8519111726466,1237.131363615823,1154.4790670813356,986.777320949727,974.7799760329901,1020.9505304803178,1173.0639347603844,1267.7649005891485,1267.0872215517852,1303.5650288636928,1451.2325867518582,1683.3376609068985,1638.804765575433,1654.1778324573836,1701.7047336377261,1649.301739000933,1903.054321192822,2124.019558576812,1941.566336278154,1980.878142066123,2076.1479998054892,2275.495950294803,2238.811004890087,2288.119497620327,2549.041297247339
Cameroon,CMR,1005.3043950296827,995.3144962643928,1295.9163678596783,692.8587285041742,822.363255454547,817.1841421264788,773.9271095501665,789.2742585130328,786.8459507809423,700.1632135601911,706.9842107673514,780.2705835711224,976.5193472985496,1119.9809296102474,1129.3578996858846,1177.9686615434175,1311.0030138148286,1476.0092146521124,1445.8603197729635,1383.8137585157306,1497.9266673903692,1433.7240351290116,1559.1391249461444,1631.7140842614826,1399.6753311923628,1426.0655172285963,1479.8623493012124,1594.0599897031461,1538.6879466350554,1539.1305585625648,1666.9327344312183
"Congo, Dem. Rep.",COD,259.0122345023658,214.62840641405074,270.49060325576943,140.20968238533234,130.37625611200983,130.81649645786416,135.88893048457464,135.47740021829514,99.75725083208825,392.62633378413057,148.44712350962328,168.94480527387958,167.9815754092821,187.85678102995374,211.57263323554008,247.5419488618509,277.6120795515339,317.8892146396376,290.15568688820196,324.8277110412807,376.3749811220523,412.77626816675627,444.8643609514528,472.26622704532514,482.06454833360084,456.02793117074475,451.0890983776164,546.2125938778781,575.8827908055111,524.666675441091,577.209215199828
"Congo, Rep.",COG,1110.9721050077812,1163.5349362414606,1034.75319193038,662.877334534156,771.6139458294925,902.0457459110166,807.8918988814927,663.7287033314597,780.5897050551156,1029.9606887734483,859.4400042617607,910.8697462183691,1023.0885420613621,1314.411360368644,1810.588815307747,2116.8690444934355,2219.9123902469737,2848.6534250507993,2283.949984092316,2962.7622537687107,3415.0625625841803,3753.8612074757007,3719.6512168128193,3622.5302927434764,2347.818498848587,1970.2502488799503,2088.500117339647,2512.3839787163424,2288.8081376349396,1838.448138524903,2290.3828913324396
Colombia,COL,1477.9585763729121,1721.2916795704557,1919.6103856515065,2314.8444171344413,2571.7825864052675,2652.2873312177308,2860.1218148083503,2594.4198253046256,2233.6681346046403,2547.1435284036916,2465.2858516058955,2421.587055060868,2305.083057728581,2811.1978714139327,3448.9803648638326,3778.526659816833,4760.981210377558,5527.449952771831,5244.353266184007,6394.198705462822,7392.452360792788,8101.829091779144,8264.126895585898,8164.714495377978,6228.4262990412,5938.463855858744,6450.319585481234,6782.037920331958,6438.060182904353,5307.2152279891825,6104.136709303893
Cabo Verde,CPV,858.0870372017541,935.1061412379545,1251.8663472850449,1012.2633910458902,1184.17673484282,1192.3295082378274,1139.2176966311144,1185.5837400102405,1317.5736845404701,1176.7072578704922,1208.4579322361628,1311.214950202489,1693.978551630706,1900.889000210743,1972.7842364766927,2220.097291203005,2997.703864229444,3503.5114992749873,3292.4984121542825,3192.3921003538294,3537.139837322969,3262.647057985592,3427.1771723391676,3405.9334474845623,2891.8844824999187,2978.1994202929295,3132.6217982727976,3442.7420030221883,3434.5627449286,2924.1018067716254,3293.2330543061275
Costa Rica,CRI,2221.4746532740182,2578.025670329612,2814.0438880442607,3005.539685516567,3240.7111453323337,3194.112988185576,3373.410584740579,3580.933884692762,3653.754208368137,3773.033793196786,3941.5986434920414,4021.4253613022825,4123.506487103908,4376.080428472606,4643.458569925881,5188.361792159651,6055.086778915631,6841.911459796851,6737.860245075515,8147.243984810326,9137.455823372464,9971.650902418658,10633.267252752365,10737.678880961164,11529.954525839827,11899.813262490898,12118.133411145807,12383.149973738566,12669.341068679025,12132.87688482432,12472.443729495415
Cyprus,CYP,7221.222595627681,8528.980821715038,7978.695823285274,8793.601385730055,11517.771251399276,11376.430240013271,10638.581859596612,11204.83857068069,11268.686460245384,10530.958490687086,10776.92141165822,11627.262928317014,14542.235245976508,17002.870860836138,17774.647289415,19018.441964872025,22319.92426438201,25489.705132148043,23353.734448774856,22838.42405055157,24139.747216621112,21657.974105691035,20532.820871148222,19733.968496522586,16768.74036352335,17570.15222421359,18987.413697198066,21000.840120223802,21113.07338464669,20208.243378865198,22832.455813754434
Czechia,CZE,2896.609130655033,3372.8654295110155,3956.178349561296,4630.551216743528,5824.121291195742,6532.8370547019895,6034.488437319353,6489.703618803302,6337.419120371262,6029.038192753579,6637.041657139813,8060.868702924237,9818.568493074847,11749.852664357742,13430.669895561312,15261.797591113796,18466.54792992154,22804.577677450743,19861.69742952561,19960.0684872157,21871.26607541286,19870.80121234037,20133.169143135256,19890.919905664774,17829.698322366774,18575.23202719146,20636.199952434945,23424.480460185525,23664.84786311087,22992.879383334777,26821.245227999523
Germany,DEU,23357.75772507303,26438.230388841752,25522.629573361733,27076.606750139992,31658.34937891356,30485.86654822788,26964.049467267363,27289.059360319145,26734.942536925137,23694.760483067286,23628.327212236683,25197.265600184728,30310.35759637741,34106.65812240012,34520.239649249634,36353.88033436315,41640.080869514706,45612.71062214419,41650.3678297162,41572.455948150775,46705.895796335324,43855.85446586179,46298.922917734075,48023.86998454629,41103.256436376825,42136.120790799054,44652.589172271815,47939.278288450376,46793.68676160034,46772.82535075444,51203.55447310437
