Region Code,annual_ntl_sum
IDN,3074508.25
MYS,1480442.25
CHL,1182401.75
BOL,1312016.0
PER,1533349.5
ARG,5722857.0
GB1,0.0
CYP,86607.75
IND,13691630.0
CH1,10612.4296875
IS1,193575.6875
LBN,295035.1875
ETH,986388.75
SDS,1149827.0
SOM,393412.375
KEN,675565.625
MWI,144007.8125
TZA,1132985.25
SYR,561534.875
SOL,122764.796875
FR1,2.5799999237060547
SUR,90626.953125
GUY,108482.2421875
KOR,2530136.75
PRK,160497.765625
MAR,1908996.0
SAH,108434.90625
CRI,183774.84375
NIC,141564.25
COG,273451.25
COD,1512614.125
BTN,39981.421875
UKR,2373249.5
BLR,975416.5
NAM,1010013.0625
ZAF,3196136.0
NL1,5298.580078125
OMN,1674207.25
UZB,1449382.5
KA1,24972.51953125
TJK,378828.96875
LTU,353259.53125
BRA,16267316.0
URY,450774.5625
MNG,1975238.5
CZE,872573.125
DEU,3056876.25
EST,336056.375
LVA,296512.4375
SWE,4776612.0
FI1,5628.419921875
VNM,2677715.5
KHM,108359.90625
LUX,41080.71875
ARE,1622415.625
BEL,864014.9375
GEO,320526.5
MKD,127470.796875
ALB,143219.328125
AZE,365549.09375
KOS,66833.4375
TUR,6361614.0
ESP,5065519.5
LAO,146686.734375
KGZ,525958.6875
ARM,119736.6171875
DN1,13499.400390625
LBY,3687395.25
TUN,776304.0625
ROU,1217415.25
HUN,652731.4375
SVK,357522.0
POL,2864638.75
IRL,483779.03125
GRC,1123941.25
ZMB,812015.8125
SLE,50741.0390625
GIN,358197.125
LBR,58652.6796875
CAF,732134.75
SDN,1637185.5
DJI,21707.380859375
ERI,70168.796875
AUT,613495.0
IRQ,6871214.5
ITA,6641481.0
CHE,429584.25
IRN,10862307.0
LIE,2238.919921875
CIV,473053.28125
SRB,611917.75
MLI,1232068.625
SEN,269567.09375
NGA,1896857.5
BEN,153106.671875
AGO,1242307.875
HRV,490684.15625
SVN,144395.703125
QAT,875053.25
SAU,11344224.0
BWA,766609.625
ZWE,450906.875
PAK,2440644.75
BGR,536270.0
THA,2058443.0
SMR,3913.68994140625
HTI,33303.8515625
DOM,251455.421875
TCD,1158138.375
KWT,860802.25
SLV,77463.15625
GTM,243123.453125
TLS,20983.560546875
BRN,22342.51953125
MCO,3868.60009765625
DZA,6883678.5
MOZ,902486.375
SWZ,48968.078125
BDI,29601.009765625
RWA,40883.12890625
MMR,508553.6875
BGD,414510.1875
AND,9441.599609375
AFG,1060574.375
MNE,78948.4609375
BIH,235583.625
UGA,312269.0
CU1,281772.5
HND,200561.296875
ECU,815428.9375
COL,1683151.375
PRY,801717.125
BRI,4.820000171661377
PRT,1349757.5
MDA,103465.2734375
TKM,1655082.75
JOR,604729.5625
NPL,191812.5625
LSO,44100.19921875
CMR,403085.40625
GAB,236831.015625
NER,1028228.875
BFA,275165.40625
TGO,108590.59375
GHA,625288.8125
GNB,27798.900390625
US1,3451.06005859375
MEX,6818157.5
BLZ,30116.650390625
PAN,154283.640625
VEN,4049341.5
PNG,288815.625
EGY,4806488.0
YEM,457130.09375
MRT,1150795.5
GNQ,46533.16015625
GMB,13929.83984375
VAT,
CYN,32503.2890625
CNM,9746.98046875
KAS,4611.52001953125
SPI,0.0
BRT,1473.1199951171875
AU1,2.430000066757202
FJI,26117.6796875
NZ1,273.42999267578125
MDG,547422.0
PHL,474063.375
LKA,134056.078125
BHS,38937.05859375
TWN,835418.5
JPN,4408186.5
ISL,1211719.125
SYC,1769.280029296875
MHL,129.75
TTO,141174.375
GRD,1827.6800537109375
VCT,1207.800048828125
BRB,9500.6796875
LCA,5905.7998046875
DMA,715.969970703125
ATG,5354.2001953125
KNA,3354.070068359375
JAM,73312.34375
MUS,20472.859375
COM,2170.25
STP,2478.2900390625
CPV,8929.759765625
MLT,29515.669921875
SGP,117026.828125
TON,1471.0799560546875
WSM,3486.429931640625
SLB,14511.5498046875
TUV,23.670000076293945
MDV,2021.56005859375
NRU,335.6499938964844
FSM,553.4099731445312
VUT,26364.869140625
PLW,517.0
BHR,213231.703125
PGA,4.619999885559082
BJN,
SER,0.2199999988079071
SCR,0.0
