Region Code,annual_ntl_sum
IDN,4698124.0
MYS,2007882.75
CHL,2377020.5
BOL,1947547.625
PER,2757533.0
ARG,8871655.0
GB1,31909.25
CYP,75965.6875
IND,16779950.0
CH1,7652.6201171875
IS1,202623.71875
LBN,219909.34375
ETH,1748801.875
SDS,875799.375
SOM,757059.6875
KEN,1024636.0
MWI,222444.09375
TZA,1399952.75
SYR,558004.25
SOL,277477.875
FR1,8.119999885559082
SUR,204842.984375
GUY,296924.71875
KOR,2486690.25
PRK,168405.859375
MAR,1946568.0
SAH,137457.390625
CRI,255396.421875
NIC,266102.4375
COG,674510.9375
COD,3056632.25
BTN,68387.3203125
UKR,2124632.25
BLR,716427.625
NAM,1371243.25
ZAF,4372136.5
NL1,5941.06005859375
OMN,1599675.375
UZB,1291145.625
KA1,13434.8896484375
TJK,375315.6875
LTU,303431.40625
BRA,21608248.0
URY,562887.0625
MNG,2403092.25
CZE,829785.25
DEU,3802792.25
EST,237157.046875
LVA,296647.1875
SWE,1797236.0
FI1,1907.1500244140625
VNM,2409936.25
KHM,344622.8125
LUX,73560.0625
ARE,1713383.625
BEL,1159693.0
GEO,270669.5
MKD,131795.84375
ALB,149889.09375
AZE,371306.375
KOS,90386.046875
TUR,6508563.0
ESP,4745408.5
LAO,497919.15625
KGZ,499257.1875
ARM,85838.40625
DN1,351.42999267578125
LBY,3257096.75
TUN,760547.375
ROU,1268717.0
HUN,680491.6875
SVK,333589.15625
POL,3410221.5
IRL,503403.46875
GRC,1063356.75
ZMB,1229493.0
SLE,109084.1796875
GIN,402947.96875
LBR,131901.15625
CAF,702027.0625
SDN,2837300.5
DJI,37483.5390625
ERI,172318.0
AUT,531092.625
IRQ,7741959.5
ITA,6060381.5
CHE,363785.8125
IRN,9386041.0
LIE,2032.9000244140625
CIV,696459.75
SRB,786685.5
MLI,1679188.125
SEN,349425.875
NGA,2306677.25
BEN,186130.140625
AGO,2023807.625
HRV,459931.625
SVN,132102.453125
QAT,1014280.625
SAU,12230380.0
BWA,1125843.125
ZWE,684164.875
PAK,2578284.5
BGR,512618.84375
THA,2895259.25
SMR,3506.85009765625
HTI,40031.640625
DOM,319585.96875
TCD,1603826.5
KWT,915893.1875
SLV,102944.1796875
GTM,368817.15625
TLS,25897.1796875
BRN,50489.05859375
MCO,2608.139892578125
DZA,7028103.5
MOZ,1412590.125
SWZ,61213.6015625
BDI,37811.7890625
RWA,52873.51953125
MMR,1621722.25
BGD,577893.5
AND,7536.08984375
AFG,1064246.875
MNE,71828.4375
BIH,254145.484375
UGA,361654.125
CU1,370638.1875
HND,335226.65625
ECU,1113969.625
COL,2722731.0
PRY,1011055.8125
BRI,5.849999904632568
PRT,1297567.25
MDA,117859.1328125
TKM,1406024.375
JOR,622691.6875
NPL,298567.5
LSO,80257.8203125
CMR,655674.0625
GAB,427693.09375
NER,1620132.75
BFA,385091.71875
TGO,94717.6015625
GHA,696713.25
GNB,47044.078125
US1,4228.06005859375
MEX,8452412.0
BLZ,52250.98828125
PAN,243573.859375
VEN,5084329.0
PNG,405441.40625
EGY,4645382.0
YEM,897986.8125
MRT,1548662.75
GNQ,60668.55078125
GMB,20040.609375
VAT,
CYN,27111.5390625
CNM,8508.98046875
KAS,3886.18994140625
SPI,3770.419921875
BRT,2800.110107421875
AU1,2.869999885559082
FJI,27128.44921875
NZ1,300.67999267578125
MDG,1028456.5
PHL,843040.9375
LKA,213039.4375
BHS,42284.12890625
TWN,806488.75
JPN,3541891.75
ISL,2548.010009765625
SYC,1916.25
MHL,350.94000244140625
TTO,156210.21875
GRD,2100.9599609375
VCT,1496.530029296875
BRB,9457.8203125
LCA,6587.56005859375
DMA,1954.780029296875
ATG,4870.830078125
KNA,3071.909912109375
JAM,78926.390625
MUS,20430.2109375
COM,2802.97998046875
STP,2868.110107421875
CPV,11761.73046875
MLT,25734.44921875
SGP,133120.0
TON,1534.8900146484375
WSM,4273.31005859375
SLB,30100.0
TUV,38.66999816894531
MDV,2709.050048828125
NRU,455.3699951171875
FSM,1375.760009765625
VUT,14380.150390625
PLW,986.3599853515625
BHR,232357.046875
PGA,30.43000030517578
BJN,
SER,0.5
SCR,0.0
