Region Code,annual_ntl_sum
IDN,2682094.8
MYS,1502646.4
CHL,972539.5
BOL,311785.88
PER,723396.5
ARG,3605997.8
GB1,2936.42
CYP,118039.7
IND,18793070.0
CH1,2170.22
IS1,213311.38
LBN,255907.38
ETH,110548.61
SDS,22406.54
SOM,6756.4
KEN,128818.38
MWI,62031.35
TZA,113911.97
SYR,1269438.2
SOL,5499.31
FR1,0.0
SUR,43376.66
GUY,20963.57
KOR,2864018.0
PRK,55857.12
MAR,991369.1
SAH,1314.41
CRI,313778.34
NIC,116552.84
COG,96730.91
COD,110721.27
BTN,15997.08
UKR,3981806.8
BLR,1905686.9
NAM,87708.8
ZAF,2755999.2
NL1,6248.89
OMN,969038.9
UZB,1321417.2
KA1,7439.0
TJK,137024.78
LTU,848409.44
BRA,11056122.0
URY,249169.7
MNG,131033.86
CZE,2276366.5
DEU,11547327.0
EST,633208.75
LVA,522935.12
SWE,6008315.5
FI1,17666.42
VNM,1391431.9
KHM,106050.07
LUX,129305.1
ARE,1031712.2
BEL,1875787.6
GEO,165041.11
MKD,154997.58
ALB,130736.8
AZE,397265.88
KOS,98419.23
TUR,4161879.8
ESP,6766299.0
LAO,81588.22
KGZ,267241.7
ARM,110010.76
DN1,25828.43
LBY,1540536.8
TUN,788017.94
ROU,1856531.0
HUN,1084231.2
SVK,718775.5
POL,8974851.0
IRL,1221508.8
GRC,1419179.2
ZMB,141598.62
SLE,4971.78
GIN,18913.43
LBR,9195.55
CAF,5642.0
SDN,403183.8
DJI,7821.43
ERI,14385.56
AUT,1489234.5
IRQ,1772798.8
ITA,8480708.0
CHE,1132559.4
IRN,7734307.0
LIE,6330.52
CIV,281811.97
SRB,929661.6
MLI,57166.94
SEN,75470.22
NGA,1367257.9
BEN,46144.99
AGO,228631.52
HRV,805980.3
SVN,369422.03
QAT,290731.38
SAU,5356428.0
BWA,96413.75
ZWE,127309.69
PAK,3254892.8
BGR,835174.2
THA,2990408.8
SMR,4407.92
HTI,39183.06
DOM,259767.78
TCD,25073.72
KWT,385926.47
SLV,165154.48
GTM,344071.2
TLS,6144.91
BRN,54394.56
MCO,1533.82
DZA,2544146.0
MOZ,123337.93
SWZ,52324.55
BDI,8311.01
RWA,13128.8
MMR,438679.2
BGD,468775.03
AND,15603.81
AFG,155696.83
MNE,64111.78
BIH,344937.56
UGA,47141.44
CU1,446706.2
HND,254218.02
ECU,756555.25
COL,1606415.2
PRY,298975.47
BRI,0.0
PRT,1761509.5
MDA,193659.73
TKM,654267.75
JOR,457008.84
NPL,77975.12
LSO,23598.6
CMR,65200.83
GAB,94744.55
NER,39034.89
BFA,49549.64
TGO,25523.61
GHA,240623.64
GNB,1603.83
US1,5226.85
MEX,6912371.0
BLZ,36519.7
PAN,152779.66
VEN,2025389.0
PNG,45922.54
EGY,3399012.5
YEM,616674.25
MRT,26322.64
GNQ,18014.51
GMB,10784.18
VAT,0.0
CYN,51600.24
CNM,10704.23
KAS,0.0
SPI,0.0
BRT,0.0
AU1,0.0
FJI,28083.21
NZ1,147.13
MDG,30062.07
PHL,737073.25
LKA,429442.75
BHS,37208.52
TWN,846871.06
JPN,7545574.0
ISL,229819.2
SYC,3588.47
MHL,210.68
TTO,152540.34
GRD,4949.92
VCT,3374.46
BRB,16074.43
LCA,10735.11
DMA,3791.28
ATG,8669.8
KNA,4455.62
JAM,131353.08
MUS,39555.76
COM,3586.81
STP,2485.96
CPV,14419.12
MLT,22982.21
SGP,35882.8
TON,2585.68
WSM,4260.58
SLB,1845.53
TUV,49.2
MDV,1341.05
NRU,312.27
FSM,2231.99
VUT,7274.79
PLW,845.12
BHR,44094.17
PGA,4.95
BJN,0.0
SER,0.0
SCR,0.0
