Region_temporal,log_gdp,log_ntl,dummy_vars_sum,log_gdp_hat,spi_error_std,cent_error_std,lambda,log_gdp_revised
BDI_1992_4,5.308093777334823,-0.4489352062332399,4.704774296665556,4.703888535683454,1.534007860362279,1.9773058327003472,0.466,5.026534134725285
BDI_1992_5,5.299775843239868,-0.20743773315581274,4.704823924350433,4.704414644241202,1.534007860362279,1.9773058327003472,0.466,5.02233752450649
BDI_1992_6,5.291388140379676,-0.27807596492754916,4.704896967597215,4.7043483163968345,1.534007860362279,1.9773058327003472,0.466,5.017827582403672
BDI_1992_7,5.282929488440949,-0.10497785513083496,4.702955331264864,4.702748207192685,1.534007860362279,1.9773058327003472,0.466,5.012565011379259
BDI_1992_8,5.274398676902751,0.04253217138221651,4.701294203091669,4.701378120185653,1.534007860362279,1.9773058327003472,0.466,5.007371097472584
BDI_1992_9,5.265794463996843,0.17105397342975256,4.69928367265817,4.699621166651498,1.534007860362279,1.9773058327003472,0.466,5.001957707433913
BDI_1992_10,5.257115575622882,0.024930755040093386,4.696824308797989,4.696873497834096,1.534007860362279,1.9773058327003472,0.466,4.996042767373307
BDI_1992_11,5.248360704216139,-0.2675044914408425,4.694227962658344,4.693700169253493,1.534007860362279,1.9773058327003472,0.466,4.989888894923546
BDI_1992_12,5.239528507565217,-0.5214494853059857,4.689688292172438,4.688659458608466,1.534007860362279,1.9773058327003472,0.466,4.9828235307513715
BDI_1993_1,5.230821994195027,-0.16024643946657313,4.687648255229149,4.687332084784885,1.534007860362279,1.9773058327003472,0.4675,4.976740461545786
BDI_1993_2,5.2220390111784765,-0.12038423392349977,4.687549531071762,4.6873120098085845,1.534007860362279,1.9773058327003472,0.46900000000000003,4.971252047535997
BDI_1993_3,5.213178203332381,0.3893926162873103,4.6870081461939215,4.6877764280783385,1.534007860362279,1.9773058327003472,0.47050000000000003,4.9659766680753545
BDI_1993_4,5.20423817912673,0.6052507104533301,4.686728260735908,4.687922436323532,1.534007860362279,1.9773058327003472,0.47200000000000003,4.9605371485236205
BDI_1993_5,5.195217509373161,0.042493416090774574,4.686544829569388,4.686628670198162,1.534007860362279,1.9773058327003472,0.47350000000000003,4.954400694023798
BDI_1993_6,5.1861147258537414,-0.1053409290612098,4.68616704823027,4.685959207803666,1.534007860362279,1.9773058327003472,0.475,4.9485408547799565
BDI_1993_7,5.176928319886764,0.07318177320192104,4.685331320418296,4.685475709983657,1.534007860362279,1.9773058327003472,0.4765,4.9427511512679345
BDI_1993_8,5.1676567408260485,0.35106991436699636,4.684273474967,4.684966145151513,1.534007860362279,1.9773058327003472,0.478,4.936930636093621
BDI_1993_9,5.1582983944900285,0.3525886409822868,4.683147411074692,4.683843077746804,1.534007860362279,1.9773058327003472,0.4795,4.930797070111652
BDI_1993_10,5.148851641516629,0.2383552224939775,4.681510557335468,4.681980838465202,1.534007860362279,1.9773058327003472,0.481,4.924286785248893
BDI_1993_11,5.139314795639699,0.16904100392118998,4.680017964017014,4.680351486368503,1.534007860362279,1.9773058327003472,0.4825,4.917864998916347
BDI_1993_12,5.129686121882458,-0.00029812686642158607,4.678401192262209,4.6784006040500525,1.534007860362279,1.9773058327003472,0.484,4.911263931251574
BDI_1994_1,5.128018628262206,-0.0006037024525389708,4.6804307681303285,4.680429577009495,1.534007860362279,1.9773058327003472,0.48416666666666663,4.911310929280685
BDI_1994_2,5.126348349462063,0.024821886139440343,4.682492793476683,4.682541767711582,1.534007860362279,1.9773058327003472,0.48433333333333334,4.91139802836758
BDI_1994_3,5.124675276162407,0.3006178658881721,4.68375729407791,4.684350421042402,1.534007860362279,1.9773058327003472,0.4845,4.911337883856765
BDI_1994_4,5.122999398996756,0.22923751812900786,4.6848643834581685,4.685316675117128,1.534007860362279,1.9773058327003472,0.48466666666666663,4.9108691721564295
BDI_1994_5,5.12132070855146,0.14123084665915037,4.685635932405437,4.685914584584421,1.534007860362279,1.9773058327003472,0.48483333333333334,4.910221306114774
BDI_1994_6,5.11963919536538,-0.03617095817434278,4.686000669879099,4.685929303626261,1.534007860362279,1.9773058327003472,0.485,4.909289897871908
BDI_1994_7,5.117954849929573,0.11880381724120198,4.68569330231301,4.685927705372462,1.534007860362279,1.9773058327003472,0.48516666666666663,4.908349680295282
BDI_1994_8,5.11626766268696,0.29729362310442836,4.684829392804211,4.685415960950165,1.534007860362279,1.9773058327003472,0.48533333333333334,4.907160970110702
BDI_1994_9,5.114577624032012,0.03602024352749976,4.6837471826053605,4.683818251494232,1.534007860362279,1.9773058327003472,0.4855,4.90544394866492
BDI_1994_10,5.112884724310414,0.1603465887937208,4.6820959557575765,4.682412323799099,1.534007860362279,1.9773058327003472,0.48566666666666664,4.903818628462085
BDI_1994_11,5.111188953818735,0.2098608352517527,4.67962184353492,4.680035904488386,1.534007860362279,1.9773058327003472,0.48583333333333334,4.9017204306857405
BDI_1994_12,5.109490302804099,-0.1268439804365571,4.676587805462717,4.6763375389495865,1.534007860362279,1.9773058327003472,0.486,4.898978059570807
BDI_1995_1,5.111019673862524,-0.03316360916572599,4.687715797010187,4.6876503643361245,1.534007860362279,1.9773058327003472,0.48633333333333334,4.905121066329519
BDI_1995_2,5.1125467095163595,0.06792091818980918,4.698994832112198,4.6991288418721044,1.534007860362279,1.9773058327003472,0.48666666666666664,4.911350013929489
BDI_1995_3,5.114071416887227,0.5073916773180935,4.709619498859027,4.710620595997705,1.534007860362279,1.9773058327003472,0.487,4.917590867114029
