Region_temporal,log_gdp,log_ntl,dummy_vars_sum,log_gdp_hat,spi_error_std,cent_error_std,lambda,log_gdp_revised
BDI_2013_1,5.474304009137598,-2.779028436431367,5.478909204524547,5.4618349350974515,2.1895836509338094,1.4129899423872312,0.5,5.468069472117525
BDI_2013_2,5.475471021719887,-2.779028436431367,5.480293859637628,5.4632195902105325,2.1895836509338094,1.4129899423872312,0.5,5.469345305965209
BDI_2013_3,5.476636673971178,-3.1034989062320646,5.482426671668537,5.463358865165719,2.1895836509338094,1.4129899423872312,0.5,5.469997769568448
BDI_2013_4,5.477800969059125,-2.680580195696695,5.486976332955023,5.470506926639398,2.1895836509338094,1.4129899423872312,0.5,5.474153947849262
BDI_2013_5,5.47896391014033,-3.5514558076668807,5.491146700325521,5.469326659722987,2.1895836509338094,1.4129899423872312,0.5,5.474145284931659
BDI_2013_6,5.480125500360397,-3.4561387944335387,5.494777669927877,5.473543254266635,2.1895836509338094,1.4129899423872312,0.5,5.476834377313516
BDI_2013_7,5.481285742853979,-2.735874266792142,5.500260423383007,5.483451291911919,2.1895836509338094,1.4129899423872312,0.5,5.482368517382949
BDI_2013_8,5.482444640744832,-2.321531028546457,5.500811598937602,5.486548180202792,2.1895836509338094,1.4129899423872312,0.5,5.484496410473812
BDI_2013_9,5.4836021971458635,-2.4834937855490336,5.5032462441850685,5.487987731008631,2.1895836509338094,1.4129899423872312,0.5,5.485794964077247
BDI_2013_10,5.484758415159183,-3.432989260048369,5.503616898317053,5.482524712717951,2.1895836509338094,1.4129899423872312,0.5,5.483641563938567
BDI_2013_11,5.485913297876153,-2.806761837304286,5.507097028345841,5.489852365714982,2.1895836509338094,1.4129899423872312,0.5,5.4878828317955675
BDI_2013_12,5.487066848377439,-4.297110242784531,5.5119117801332775,5.4855104604917075,2.1895836509338094,1.4129899423872312,0.5,5.486288654434573
BDI_2014_1,5.492664564560797,-3.101953107963995,5.51269577145689,5.4936374622934165,2.1895836509338094,1.4129899423872312,0.5,5.493151013427107
BDI_2014_2,5.498231120662069,-3.478952831160697,5.513568214127196,5.492193629691611,2.1895836509338094,1.4129899423872312,0.5,5.49521237517684
BDI_2014_3,5.503766861671321,-2.8882721376938156,5.514195911600511,5.496450452068227,2.1895836509338094,1.4129899423872312,0.5,5.500108656869774
BDI_2014_4,5.509272126880788,-2.627599954664732,5.5164393569534855,5.500295459689094,2.1895836509338094,1.4129899423872312,0.5,5.5047837932849415
BDI_2014_5,5.5147472500096635,-3.69726664706493,5.520141615906362,5.497425717771521,2.1895836509338094,1.4129899423872312,0.5,5.506086483890592
BDI_2014_6,5.52019255932549,-3.5508780429906612,5.52294469968468,5.5011282088514175,2.1895836509338094,1.4129899423872312,0.5,5.510660384088453
BDI_2014_7,5.525608377762253,-3.4232080036536674,5.523603288831325,5.502571198985411,2.1895836509338094,1.4129899423872312,0.5,5.514089788373832
