Region Code,annual_ntl_sum
IDN,2944321.5
MYS,1515580.1
CHL,977139.2
BOL,312058.25
PER,786401.25
ARG,3732923.5
GB1,2433.36
CYP,105706.22
IND,18586370.0
CH1,1851.45
IS1,208209.94
LBN,198298.05
ETH,110295.47
SDS,17220.64
SOM,6638.47
KEN,159433.66
MWI,52304.52
TZA,108901.05
SYR,857255.5
SOL,6577.28
FR1,0.0
SUR,45492.8
GUY,21399.71
KOR,2673181.5
PRK,53151.18
MAR,1012140.75
SAH,618.5
CRI,290006.84
NIC,106256.3
COG,84097.05
COD,114905.35
BTN,15204.0
UKR,3738191.8
BLR,1576707.2
NAM,84462.8
ZAF,2734424.8
NL1,6940.38
OMN,1059622.6
UZB,1037024.5
KA1,7761.81
TJK,149349.39
LTU,532298.8
BRA,11466424.0
URY,273207.56
MNG,150957.55
CZE,1846612.1
DEU,8785288.0
EST,479294.1
LVA,342094.88
SWE,4607209.5
FI1,15674.54
VNM,1241543.4
KHM,46391.42
LUX,104817.05
ARE,1109645.8
BEL,1633595.0
GEO,218396.73
MKD,159744.45
ALB,134605.52
AZE,424478.8
KOS,116621.43
TUR,4790156.0
ESP,6104690.0
LAO,71680.25
KGZ,223851.8
ARM,143518.2
DN1,16114.1
LBY,1156122.5
TUN,730097.8
ROU,2068873.6
HUN,974945.75
SVK,655754.9
POL,7311119.5
IRL,968177.94
GRC,1275755.8
ZMB,146214.4
SLE,6425.0
GIN,20463.06
LBR,12412.88
CAF,4574.27
SDN,391943.53
DJI,7071.5
ERI,10849.71
AUT,1349743.5
IRQ,1936950.2
ITA,8497754.0
CHE,993669.25
IRN,7117431.5
LIE,6461.93
CIV,227257.95
SRB,943622.2
MLI,55747.98
SEN,74591.47
NGA,1260610.0
BEN,47112.7
AGO,257987.34
HRV,816835.94
SVN,307628.9
QAT,325424.03
SAU,5782753.5
BWA,95487.22
ZWE,124789.52
PAK,3084399.8
BGR,791619.06
THA,2669113.2
SMR,4474.71
HTI,30695.2
DOM,255308.34
TCD,31166.14
KWT,418021.9
SLV,134767.36
GTM,326791.0
TLS,6941.87
BRN,53795.3
MCO,1678.25
DZA,2525285.0
MOZ,142601.69
SWZ,53014.78
BDI,8484.98
RWA,18041.01
MMR,304759.2
BGD,466647.3
AND,14473.64
AFG,175028.55
MNE,71176.46
BIH,380509.03
UGA,46200.31
CU1,374363.28
HND,229936.27
ECU,845138.06
COL,1581322.2
PRY,345442.0
BRI,11.09
PRT,1690716.1
MDA,215247.44
TKM,615120.94
JOR,434981.53
NPL,44444.2
LSO,21426.63
CMR,71610.14
GAB,93629.45
NER,45878.04
BFA,54518.9
TGO,30064.56
GHA,263740.1
GNB,2125.8
US1,4714.57
MEX,6460458.0
BLZ,35162.78
PAN,158978.36
VEN,2225113.8
PNG,48493.52
EGY,3337543.2
YEM,451306.03
MRT,30118.02
GNQ,18475.14
GMB,9145.21
VAT,0.0
CYN,50047.48
CNM,10760.66
KAS,87.47
SPI,0.0
BRT,0.0
AU1,0.0
FJI,13668.18
NZ1,48.63
MDG,27150.22
PHL,589737.1
LKA,439535.8
BHS,35316.1
TWN,857983.8
JPN,7070564.0
ISL,215973.14
SYC,3472.59
MHL,239.33
TTO,148170.98
GRD,4631.44
VCT,3350.12
BRB,16438.78
LCA,10607.46
DMA,3601.42
ATG,8095.92
KNA,4780.58
JAM,122658.06
MUS,36986.92
COM,1930.76
STP,2505.72
CPV,13001.83
MLT,21599.36
SGP,36564.19
TON,2298.36
WSM,2569.72
SLB,1458.15
TUV,43.58
MDV,1308.71
NRU,342.28
FSM,1539.75
VUT,5737.16
PLW,492.34
BHR,45886.69
PGA,0.0
BJN,0.0
SER,0.0
SCR,0.0
