Region Code,annual_ntl_sum,annual_ntl_sum_sq,calibrated_ntl_sum,avg_ntl,avg_calibrated,rescaled_calibrated_ntl_sum,avg_rescaled_calibrated
IDN,5381527.5,32879564.0,13419701.628449999,0.4827418971717919,1.203794317430755,33952362.293898195,3.0456460154148477
MYS,1569115.0,26371850.0,3017927.7849,0.8513113791752704,1.6373537088196772,6360054.384891714,3.450599012839653
PRK,342264.0,841868.4,739654.0131599999,0.6845553822152887,1.47936720100804,1651452.1931534878,3.303036507767286
CHL,1649251.6,19538656.0,15793134.678,0.06926529095173799,0.663280283318599,60497987.09665177,2.540795278442704
BOL,2726045.5,10083437.0,4920837.76605,1.1725153820181466,2.1165303268450355,9063045.180846222,3.8981593969974564
MAR,1637638.8,13158427.0,4039184.001899999,0.4898859612228671,1.2082881385851436,10195315.177340684,3.0498433327432317
SAH,195384.95,340997.6,740703.736665,0.2331740729602261,0.8839621840629833,2301740.2355789593,2.7469165134078968
PER,3556543.0,17604642.0,6575126.664299999,1.0640431655537206,1.96714016667265,12563132.398486888,3.7586260496657835
CRI,226461.72,3386758.8,499886.74853999994,0.6052731004843004,1.3360668733763108,1185746.5430304343,3.169191183784049
NIC,300831.6,1782375.6,569961.0554399999,0.9725452923148542,1.8426021111843889,1126652.3693961785,3.642305056821257
COG,804179.75,2479643.0,1604572.656525,0.8488352762109032,1.6936734282377306,3318906.2486371472,3.50320273829328
ARG,7553977.0,77354540.0,15169351.1268,0.7912191169343508,1.588869095446517,32511422.918491226,3.4053134305079085
GB1,0.0,0.0,41393.9727,0.0,0.5751,176950.64354103166,2.458433159773701
CYP,69907.04,1811216.5,92587.32968999998,4.672930481283422,6.188992626336898,115220.71226367822,7.701919268962447
COD,5738606.5,22737298.0,10514161.06695,1.1083333494280267,2.0306663911802367,19768217.41617322,3.8179607925876637
BTN,81347.47,150590.03,154176.922092,1.0067756188118813,1.908130223910891,299243.57589867525,3.7035096027063767
UKR,4421446.0,58310480.0,6667654.3806,2.378558871059716,3.586928004127225,9799138.710723734,5.2715397426852215
IND,13181821.0,144154260.0,23803009.6182,1.089167527428068,1.9667590032668034,45485053.15362994,3.7582700355492134
CH1,1892.75,109178.75,2039.6330999999998,15.021825396825397,16.187564285714284,2147.1385091860093,17.040781818936583
IS1,134400.34,4052362.5,173925.92724,5.028823617451171,6.5077425443388455,213798.32413328908,7.999637960536147
LBN,240520.73,7076337.5,305151.41290500003,6.745400061698965,8.55796653966963,353524.44611173554,9.914587489461692
BLR,1573424.1,18717386.0,2393209.0711499997,2.3171848123188576,3.524483775463017,3539898.513077017,5.213215605158311
ETH,3261638.5,13023388.0,5710488.880949999,1.3140111594553219,2.300575651015228,10102706.28046461,4.070061348990658
NAM,1527667.9,3317080.2,3368660.40483,0.6515431024629247,1.4367176604986924,7651201.274955969,3.2632009982360026
SDS,1916987.2,8058225.5,3369238.1827499997,1.29088656283838,2.2688228158821184,6000063.957652587,4.040403576562533
MNG,5145680.0,11524614.0,9617041.613999998,1.0516080221468607,1.9654075089400411,18383617.320223454,3.757007713271124
SOM,1217051.0,2771015.2,2795363.1529800002,0.5898794117932165,1.3548546218919941,6574944.279911463,3.1867393103553976
CZE,1500205.0,31932614.0,1977294.4148999997,6.179073924576174,8.144119210587013,2313295.219104705,9.528045945865138
KEN,1424226.2,4199484.5,2521532.2027499997,1.2723575971983991,2.252655269752358,4505762.909237752,4.025302770545447
MWI,260406.27,1129584.2,550303.9406249999,0.7171948277286623,1.5156130453193422,1211591.6947768286,3.3368908391220597
DEU,5869915.5,116404970.0,7827066.5194500005,5.690814195634976,7.588249142439156,9292378.972954202,9.008852371129999
TZA,2007915.2,4934593.0,3644307.1725,1.1641599836732421,2.112916212018256,6717629.5245617535,3.8947837426783267
EST,588750.06,10191653.0,847209.11271,2.9677893940921467,4.270637729156165,1172453.1905033924,5.910138070891181
ZAF,3882329.5,52284830.0,9338430.007650001,0.5042298069335195,1.2128580945588325,23515206.80627469,3.0541117614900206
LVA,618087.8,8258019.0,927368.6933999999,2.4470002771289443,3.671438668989271,1351476.3199951372,5.350474365553415
SYR,915981.5,11162252.0,1441155.79485,1.9043353610617924,2.9961783517810883,2270198.9446104104,4.719767950408132
NL1,6356.79,282515.34,7393.088330999999,10.236376811594203,11.905134188405796,8098.403802690572,13.04090789483184
SOL,424413.7,966212.2,744068.51433,1.3334769194032852,2.33780905355729,1306471.4444805372,4.104838079153116
FR1,9.17,14.36,21.356558999999997,0.573125,1.3347849374999998,50.68790128746457,3.1679938304665356
SUR,438476.38,1578400.1,718410.2104199999,1.7789387460341932,2.9146558792122748,1144569.8189849134,4.64362435790408
GUY,638211.25,1878742.8,1142610.4261949998,1.2188303292808225,2.1821117098749867,2073251.9572350204,3.959413698393549
KOR,2061187.4,68524100.0,2725715.1770999995,3.6295411803652806,4.7997069462151245,3636950.2379422514,6.404299123675367
OMN,1143691.2,16293043.0,2077877.0108999999,1.0344061864061864,1.8793261980735314,4065039.5080933557,3.676606076148289
SWE,6663544.5,107200850.0,9821600.434949998,2.58498144924028,3.810082595861108,14126224.165814435,5.479970519659629
UZB,1716887.9,15535916.0,3403208.1802499997,0.8276663491408484,1.6405968554579409,7164109.58582529,3.4536281755756875
FI1,14917.92,288330.1,26111.649809999995,1.115775617053104,1.953002977561705,50076.28728710282,3.745421637030877
KA1,23844.08,121046.77,39287.652152999995,1.6910695035460994,2.786358308723404,63785.46584807504,4.523791904118797
TJK,402573.62,1439723.5,813301.18242,0.8157520162107396,1.6480267120972645,1707790.2131412122,3.4605678077836113
LTU,661271.44,10628036.0,952656.8264399997,3.0410555167212387,4.381078816268716,1307578.3662323721,6.013292218058442
VNM,1279555.5,13463235.0,2541030.9475499997,0.8145531642378608,1.6175967347670204,5391447.71096465,3.432145610557125
KHM,599191.2,2731006.0,973827.3521999998,1.8258227292672222,2.967393569913704,1540091.3738776937,4.692882398096429
LUX,75079.83,2078875.6,94379.15824499998,8.879932584269664,11.162526108219986,104396.39904930141,12.347297344683787
ARE,833060.4,29322328.0,1099530.0740999999,3.466967975529059,4.5759413783631935,1488637.1037577246,6.195297682991966
BEL,1199635.6,39407972.0,1463171.07,10.706634775003124,13.058664030844476,1581902.117644966,14.118327451626708
GEO,239019.22,1100775.8,454495.00629,0.9722947565390717,1.8488183146483341,896815.1549326618,3.648111113097107
MKD,149715.3,1942063.5,222261.0084,2.6476258687463523,3.9305534935540347,316238.6851108371,5.592492707143387
ALB,121675.22,956810.75,201753.487845,1.5767574642338793,2.614470866745283,336702.9405642517,4.363245653175561
AZE,364501.7,3878870.5,636489.0986999999,1.2315786094883483,2.150569830350415,1163120.668685434,3.929952962652203
KOS,76035.24,913939.8,117603.42876,2.095096439986774,3.2404780326242695,179570.95263897622,4.9479486564250035
KGZ,616454.1,2132015.2,1183789.9323299997,0.9514281745572404,1.8270477791874056,2350527.415875814,3.62777700486293
ARM,120770.62,1050361.2,219671.80485,1.08555909107252,1.9745425237299103,418923.85571545915,3.7655399967232874
DN1,16298.28,123644.38,32679.933041999997,0.809651266766021,1.62344426438152,69199.03531552074,3.437607318207687
TUR,4069864.8,49186452.0,6174106.554599999,2.3457569207891686,3.5585833662441857,9100135.83358735,5.245065293510251
ESP,5188002.5,133398376.0,9249805.765049998,0.9905987677858505,1.766160712743871,18701694.911329657,3.5709072874714436
LBY,4268845.5,27374036.0,7353856.89645,1.3631698662454919,2.348306145519259,12885241.855561273,4.114642569469022
TUN,654917.06,9329409.0,1067181.76911,1.5600506425602365,2.5420892297852573,1803331.0582135913,4.2956397808830085
LAO,531563.3,1620247.5,1239548.0412,0.5671950609221932,1.3226374483423124,2958344.062964787,3.156647836715064
ROU,1656158.5,20420246.0,2467586.4667499997,2.62209712863512,3.906782707768644,3518284.4944025534,5.570290325771597
HUN,872258.9,14561946.0,1248251.52855,3.1478127029953087,4.504696963370624,1698277.7329511761,6.128753998380282
BRA,23441646.0,194231020.0,44857462.1466,0.9240972826351764,1.7683339674860437,90634968.23075625,3.572937150137298
SVK,667433.5,12030075.0,916518.5902499999,4.369307060325357,5.999925306863932,1149531.2761784957,7.525326674599821
URY,600071.9,6140213.0,984903.30495,1.5975249317139921,2.6220317681683376,1641601.1940307252,4.370307683788463
POL,5706803.0,122340700.0,7472451.476399999,6.747951127397249,8.835724198749213,8604259.100497551,10.174018605096494
IRL,792175.8,13241057.0,1135767.0372,3.1006622672083797,4.445515751156619,1551688.4936130845,6.073477582384493
GRC,1116998.1,22133016.0,1872463.92525,1.2955884962680726,2.171841403517929,3405357.9503716812,3.949821030292327
ZMB,1339415.5,4239227.0,2722114.82595,0.8043841853917739,1.634762414511898,5741714.061574877,3.4481786929988503
