Region Code,annual_ntl_sum
IDN,3560518.5
MYS,911400.875
CHL,1771209.625
BOL,1718623.5
PER,1823975.0
ARG,8129255.5
GB1,17014.779296875
CYP,79908.9765625
IND,11376831.0
CH1,9186.6396484375
IS1,222560.0625
LBN,211623.546875
ETH,1221991.125
SDS,612053.8125
SOM,564689.5
KEN,851100.9375
MWI,167407.171875
TZA,1353509.75
SYR,645420.3125
SOL,203370.90625
FR1,5.409999847412109
SUR,188245.3125
GUY,240512.234375
KOR,2116068.0
PRK,189789.8125
MAR,2068264.75
SAH,168261.015625
CRI,177122.15625
NIC,200581.71875
COG,528439.4375
COD,2355413.0
BTN,80445.65625
UKR,2265679.25
BLR,687695.625
NAM,1102471.125
ZAF,3472709.0
NL1,5589.10009765625
OMN,1624441.625
UZB,1377709.25
KA1,15335.9501953125
TJK,372279.25
LTU,316506.59375
BRA,21317636.0
URY,491257.5625
MNG,2356203.5
CZE,780750.375
DEU,3630559.75
EST,57.13999938964844
LVA,221785.9375
SWE,207819.421875
FI1,0.0
VNM,2175966.0
KHM,107956.8203125
LUX,69327.2890625
ARE,1762797.0
BEL,1062537.875
GEO,260993.15625
MKD,135714.5625
ALB,147328.8125
AZE,382497.84375
KOS,89632.3828125
TUR,6451089.5
ESP,4637241.0
LAO,309823.4375
KGZ,538075.1875
ARM,91751.84375
DN1,0.0
LBY,3066855.75
TUN,745235.5
ROU,1264546.25
HUN,629230.125
SVK,304423.78125
POL,3235499.0
IRL,496348.1875
GRC,1078427.75
ZMB,1088712.0
SLE,74304.8125
GIN,261865.203125
LBR,112221.1171875
CAF,478046.1875
SDN,2341665.5
DJI,31724.689453125
ERI,133860.5
AUT,501432.6875
IRQ,7179811.0
ITA,5732072.5
CHE,304416.8125
IRN,9951261.0
LIE,1874.9599609375
CIV,565621.1875
SRB,769838.5625
MLI,1601797.5
SEN,293329.09375
NGA,1446240.125
BEN,157471.015625
AGO,1687915.5
HRV,427045.375
SVN,121409.2734375
QAT,1011202.1875
SAU,11917027.0
BWA,829784.625
ZWE,557368.5625
PAK,2614000.5
BGR,504602.75
THA,1946533.5
SMR,3345.050048828125
HTI,38501.87109375
DOM,294857.9375
TCD,1297180.0
KWT,923367.8125
SLV,80092.296875
GTM,262707.71875
TLS,21477.419921875
BRN,38722.69140625
MCO,2455.889892578125
DZA,7528641.5
MOZ,1221854.75
SWZ,52822.16015625
BDI,39115.828125
RWA,46570.21875
MMR,791110.9375
BGD,233652.453125
AND,6453.43017578125
AFG,1279072.0
MNE,67081.8984375
BIH,231144.953125
UGA,264309.71875
CU1,290537.15625
HND,254924.5625
ECU,994213.1875
COL,2075215.5
PRY,1000931.5
BRI,5.409999847412109
PRT,1089826.0
MDA,122552.8203125
TKM,1691360.75
JOR,697237.4375
NPL,314752.71875
LSO,52381.3984375
CMR,353803.75
GAB,353961.53125
NER,1466750.375
BFA,324878.15625
TGO,86129.8984375
GHA,566312.625
GNB,31487.9296875
US1,4234.669921875
MEX,7092721.5
BLZ,40310.05078125
PAN,189468.28125
VEN,3897878.75
PNG,490225.53125
EGY,4930946.5
YEM,799154.75
MRT,1645889.0
GNQ,57831.76953125
GMB,14604.1904296875
VAT,
CYN,29570.240234375
CNM,9110.5498046875
KAS,4103.68017578125
SPI,2221.72998046875
BRT,2646.050048828125
AU1,2.0299999713897705
FJI,31465.970703125
NZ1,269.25
MDG,842998.75
PHL,665622.625
LKA,143466.296875
BHS,40256.671875
TWN,896654.875
JPN,2848767.75
ISL,0.0
SYC,1713.8900146484375
MHL,309.75
TTO,143130.8125
GRD,1917.1300048828125
VCT,1424.1099853515625
BRB,8697.0595703125
LCA,6446.35986328125
DMA,1889.300048828125
ATG,4341.27001953125
KNA,3080.18994140625
JAM,72876.0625
MUS,22229.4609375
COM,2003.81005859375
STP,2542.389892578125
CPV,10688.0302734375
MLT,26854.650390625
SGP,34993.19140625
TON,1546.0999755859375
WSM,3743.409912109375
SLB,30067.630859375
TUV,41.59000015258789
MDV,2492.679931640625
NRU,524.0900268554688
FSM,1291.739990234375
VUT,16952.490234375
PLW,556.989990234375
BHR,232474.546875
PGA,12.979999542236328
BJN,
SER,0.41999998688697815
SCR,0.0
