Region Code,annual_ntl_sum
IDN,4617468.0
MYS,1916763.9
CHL,2090089.0
BOL,1900299.2
PER,2866264.8
ARG,8626609.0
GB1,28876.93
CYP,87614.02
IND,17337080.0
CH1,11539.46
IS1,206726.48
LBN,289445.53
ETH,1455435.4
SDS,756273.25
SOM,712870.25
KEN,640351.1
MWI,169868.92
TZA,1193794.4
SYR,517693.12
SOL,228825.84
FR1,6.3
SUR,314392.88
GUY,378572.47
KOR,2234843.0
PRK,105871.95
MAR,1801900.8
SAH,138275.69
CRI,251664.55
NIC,280181.34
COG,681714.4
COD,3735197.0
BTN,81336.48
UKR,958285.25
BLR,0.0
NAM,1015410.75
ZAF,3718128.8
NL1,5062.25
OMN,1797908.5
UZB,1025658.75
KA1,10688.48
TJK,287410.16
LTU,0.0
BRA,22652934.0
URY,515855.25
MNG,1345953.6
CZE,206438.73
DEU,1218382.5
EST,0.0
LVA,0.0
SWE,0.0
FI1,0.0
VNM,2069590.1
KHM,376728.38
LUX,75958.24
ARE,1687121.2
BEL,22694.26
GEO,230806.92
MKD,120595.15
ALB,125268.45
AZE,357553.38
KOS,72551.21
TUR,5889169.5
ESP,4836775.5
LAO,453900.3
KGZ,407042.0
ARM,67661.28
DN1,0.0
LBY,3997389.5
TUN,709810.3
ROU,1125399.6
HUN,669099.2
SVK,303271.16
POL,115.32
IRL,0.0
GRC,992047.6
ZMB,1047096.25
SLE,107190.68
GIN,399342.56
LBR,137652.8
CAF,705621.44
SDN,2622894.2
DJI,37329.69
ERI,158939.78
AUT,563647.25
IRQ,7332829.5
ITA,5992011.5
CHE,375568.9
IRN,10491261.0
LIE,2081.38
CIV,611135.44
SRB,682065.94
MLI,1859797.1
SEN,332072.94
NGA,2335236.2
BEN,161186.02
AGO,1657333.1
HRV,469464.9
SVN,141364.86
QAT,849262.2
SAU,12082020.0
BWA,802911.1
ZWE,589200.1
PAK,2649638.8
BGR,467634.47
THA,2924297.2
SMR,3448.85
HTI,49783.38
DOM,295306.22
TCD,1659353.9
KWT,810841.6
SLV,92247.84
GTM,321565.4
TLS,29421.21
BRN,59962.51
MCO,2788.3
DZA,7749936.0
MOZ,1163092.4
SWZ,44469.82
BDI,33741.33
RWA,48404.27
MMR,1523673.6
BGD,520602.56
AND,7249.58
AFG,1037706.8
MNE,67329.72
BIH,236088.56
UGA,289436.62
CU1,369957.7
HND,330609.66
ECU,1303852.1
COL,2850718.5
PRY,901663.8
BRI,6.74
PRT,1261903.0
MDA,95480.98
TKM,1577476.8
JOR,627304.7
NPL,364362.62
LSO,54415.97
CMR,588316.9
GAB,466659.53
NER,1622472.1
BFA,375321.8
TGO,99784.09
GHA,646097.0
GNB,49631.74
US1,4123.59
MEX,7626866.0
BLZ,46416.61
PAN,242326.1
VEN,4742960.0
PNG,854137.2
EGY,4942393.0
YEM,781066.6
MRT,1646933.0
GNQ,59368.3
GMB,21392.59
VAT,0.0
CYN,31933.1
CNM,10419.54
KAS,3632.06
SPI,4039.11
BRT,2630.36
AU1,2.98
FJI,26814.29
NZ1,214.15
MDG,879220.4
PHL,873402.0
LKA,196192.45
BHS,43306.07
TWN,915146.94
JPN,3342704.2
ISL,0.0
SYC,1945.67
MHL,364.33
TTO,149033.44
GRD,2147.87
VCT,1482.79
BRB,9236.57
LCA,6221.84
DMA,1354.43
ATG,5786.69
KNA,3379.05
JAM,82475.06
MUS,18926.33
COM,2944.77
STP,3470.57
CPV,11899.46
MLT,25389.14
SGP,124459.61
TON,1324.24
WSM,3812.78
SLB,36306.01
TUV,41.66
MDV,2277.5
NRU,513.68
FSM,1121.9
VUT,29167.23
PLW,1040.4
BHR,178869.42
PGA,21.08
BJN,0.0
SER,0.47
SCR,0.0
