Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,22,23,24,25,27,28,29,30,31,32,33,34,35,36,37,38,39
1993_9,1382.79,260.61,213.01,241.67,474.04,286.24,187.48,389.96,186.88,294.84,339.12,187.87,194.26,191.98,188.02,231.84,393.89,364.93,371.04,339.35,194.31,193.45,295.52,198.93,338.86,260.05,190.08,193.83,186.94,302.21,240.8,318.38,198.01,301.15,186.91,187.55,259.31,372.36
1993_10,1350.36,257.59,211.01,238.32,464.6,281.12,186.71,381.99,187.43,289.29,332.53,188.42,193.09,192.45,188.55,230.6,386.0,357.71,363.75,332.59,193.17,192.28,289.83,198.75,332.27,256.8,190.6,192.64,187.47,296.34,237.63,312.18,196.85,295.38,187.44,188.04,256.17,365.0
1993_11,1317.63,254.45,208.96,234.97,455.09,275.95,185.83,373.91,187.9,283.42,325.87,188.89,191.89,192.93,189.05,229.32,377.94,350.44,356.42,325.7,191.95,191.07,284.05,198.55,325.54,253.45,191.11,191.45,187.95,290.47,234.38,305.94,195.6,289.48,187.93,188.56,252.91,357.58
1993_12,1284.27,251.13,206.88,231.55,445.18,270.55,185.01,365.65,188.35,277.49,318.85,189.32,190.68,193.39,189.48,228.07,369.72,342.84,348.79,318.62,190.74,189.94,278.11,198.25,318.56,250.05,191.58,190.37,188.42,284.33,231.08,299.44,194.38,283.44,188.39,189.08,249.55,349.86
1994_1,1291.46,253.62,207.65,233.02,449.45,273.3,183.42,368.93,190.26,280.3,322.06,191.31,191.03,195.31,191.33,228.55,373.12,346.14,352.25,321.6,191.05,190.21,280.95,200.17,321.69,251.32,193.45,190.57,190.2,287.23,232.54,302.41,194.7,286.26,190.14,190.79,251.96,353.24
1994_2,1298.7,256.1,208.42,234.49,453.62,276.02,181.9,372.14,192.06,283.06,325.17,193.11,191.39,197.02,193.08,229.05,376.54,349.44,355.6,324.52,191.38,190.54,283.78,202.03,324.77,252.65,195.22,190.9,191.95,290.05,234.01,305.35,195.05,289.13,191.9,192.61,254.34,356.59
1994_3,1305.97,258.57,209.25,236.15,457.72,278.69,180.3,375.36,193.66,285.91,328.23,194.63,191.74,198.72,194.81,229.62,379.93,352.64,358.93,327.46,191.8,190.88,286.52,203.87,327.82,254.05,196.89,191.33,193.65,292.9,235.45,308.31,195.43,291.94,193.61,194.27,256.8,359.92
1994_4,1312.3,260.89,209.94,237.45,461.59,281.21,178.58,378.39,195.23,288.53,331.14,196.26,191.97,200.4,196.44,230.04,383.12,355.67,362.07,330.19,192.04,191.16,289.15,205.6,330.68,255.27,198.53,191.55,195.32,295.56,236.74,311.05,195.63,294.6,195.26,195.88,258.98,363.0
1994_5,1317.93,263.07,210.54,238.7,465.25,283.58,176.75,381.19,196.76,290.96,333.89,197.78,192.17,201.95,197.97,230.4,386.07,358.55,365.07,332.8,192.25,191.38,291.65,207.24,333.39,256.37,200.06,191.74,196.9,298.06,237.98,313.66,195.82,297.11,196.82,197.45,261.11,365.96
1994_6,1323.38,265.3,211.12,239.96,468.95,286.01,174.83,383.94,198.32,293.46,336.62,199.36,192.36,203.55,199.54,230.69,388.94,361.44,368.0,335.36,192.39,191.53,294.11,208.88,336.12,257.42,201.64,191.9,198.43,300.61,239.17,316.29,196.0,299.58,198.36,198.98,263.17,368.88
1994_7,1328.31,267.33,211.64,241.13,472.31,288.2,172.87,386.56,199.79,295.76,339.17,200.79,192.5,205.04,200.98,230.94,391.74,364.08,370.81,337.74,192.54,191.69,296.47,210.42,338.63,258.39,203.1,192.03,199.91,302.93,240.31,318.68,196.14,301.97,199.82,200.44,265.12,371.59
1994_8,1333.08,269.37,212.15,242.31,475.73,290.41,170.82,389.15,201.2,298.05,341.76,202.25,192.59,206.48,202.41,231.17,394.47,366.7,373.61,340.18,192.65,191.8,298.88,211.94,341.18,259.37,204.56,192.18,201.32,305.25,241.39,321.11,196.23,304.31,201.25,201.89,267.06,374.28
1994_9,1337.99,271.37,212.62,243.4,478.94,292.53,168.63,391.71,202.44,300.19,344.17,203.57,192.7,207.89,203.77,231.36,397.24,369.27,376.25,342.45,192.72,191.81,300.96,213.41,343.56,260.32,205.89,192.25,202.63,307.55,242.49,323.43,196.34,306.63,202.57,203.13,268.91,376.97
1994_10,1341.67,273.21,212.91,244.31,482.0,294.61,166.35,394.0,203.84,302.33,346.38,204.93,192.6,209.25,205.13,231.53,399.66,371.54,378.79,344.56,192.73,191.83,302.93,214.82,345.78,260.99,207.29,192.17,204.0,309.58,243.29,325.51,196.35,308.63,203.93,204.53,270.72,379.29
1994_11,1344.03,274.98,213.32,245.42,484.71,296.47,163.93,395.96,205.08,304.38,348.56,206.08,192.61,210.44,206.31,231.54,401.74,373.86,380.96,346.44,192.71,191.81,305.02,216.08,347.95,261.73,208.43,192.16,205.2,311.65,244.24,327.66,196.27,310.61,205.14,205.79,272.4,381.63
