Unnamed: 0,0,1,2,3,4,5
2001_5,402.95,346.54,349.91,290.02,457.72,250.38
2001_6,402.63,346.22,349.15,289.45,456.94,249.35
2001_7,402.27,345.89,348.37,288.85,456.15,248.26
2001_8,401.89,345.53,347.57,288.27,455.27,247.2
2001_9,401.52,345.16,346.85,287.68,454.43,246.18
2001_10,401.08,344.76,346.01,287.05,453.57,245.07
2001_11,400.54,344.27,345.08,286.31,452.56,243.81
2001_12,399.96,343.68,344.14,285.63,451.55,242.74
2002_1,400.13,344.06,344.46,285.85,451.25,243.3
2002_2,400.48,344.74,344.98,286.3,451.24,244.06
2002_3,400.7,345.24,345.33,286.63,451.14,244.44
2002_4,400.9,345.77,345.66,286.95,450.9,244.95
2002_5,400.92,346.19,345.79,287.14,450.48,245.33
2002_6,400.92,346.53,345.92,287.31,449.93,245.73
2002_7,400.92,346.87,345.91,287.49,449.45,246.06
2002_8,400.97,347.27,346.32,287.72,449.35,246.6
2002_9,400.93,347.53,346.47,287.84,448.85,246.99
2002_10,400.81,347.79,346.59,287.92,448.37,247.35
2002_11,400.59,347.94,346.54,287.92,447.67,247.65
2002_12,400.3,347.88,346.41,287.87,446.92,247.82
2003_1,403.5,350.22,348.88,289.69,450.42,249.28
2003_2,407.49,353.08,352.15,292.05,454.54,251.27
2003_3,411.01,355.55,354.82,294.05,458.3,252.68
2003_4,414.58,358.05,357.58,296.07,461.99,254.2
2003_5,418.02,360.47,360.34,298.08,465.68,255.78
2003_6,421.62,362.86,363.14,300.13,469.45,257.37
2003_7,424.96,365.34,365.72,302.08,472.93,258.82
2003_8,428.5,367.81,368.47,304.1,476.61,260.32
2003_9,432.0,370.21,371.21,306.06,480.3,261.92
2003_10,435.39,372.58,373.85,307.97,483.9,263.42
2003_11,438.54,374.61,376.43,309.69,487.45,264.7
2003_12,441.74,376.89,378.73,311.5,490.45,266.08
2004_1,445.55,380.28,382.7,314.68,494.44,269.79
2004_2,449.0,383.4,386.3,317.64,497.99,273.3
2004_3,452.44,386.51,389.91,320.59,501.47,276.55
2004_4,455.76,389.58,393.34,323.42,504.76,279.74
2004_5,459.06,392.6,396.81,326.26,508.08,283.07
2004_6,462.31,395.58,400.26,329.08,511.36,286.38
2004_7,465.62,398.6,403.73,331.95,514.73,289.7
2004_8,468.97,401.67,407.27,334.8,518.05,293.02
2004_9,472.3,404.67,410.83,337.68,521.48,296.4
2004_10,475.53,407.67,414.21,340.45,524.75,299.64
2004_11,478.75,410.61,417.64,343.22,527.96,302.92
2004_12,481.94,413.44,421.0,345.98,531.17,306.18
2005_1,486.81,416.77,425.46,349.42,536.47,309.6
2005_2,491.89,420.58,429.99,352.83,541.93,312.86
2005_3,497.07,424.3,434.47,356.68,547.38,316.07
2005_4,502.13,427.93,438.92,360.25,552.79,319.32
2005_5,507.13,431.48,443.34,363.76,558.11,322.51
2005_6,512.05,434.92,447.74,367.23,563.37,325.75
2005_7,517.02,438.49,452.18,370.78,568.68,329.02
2005_8,522.09,442.08,456.66,374.33,574.05,332.3
2005_9,527.03,445.58,461.03,377.8,579.36,335.5
2005_10,532.03,449.11,465.51,381.3,584.66,338.74
2005_11,536.88,452.53,469.83,384.71,589.88,341.92
2005_12,541.7,455.8,474.15,388.06,594.91,345.31
2006_1,552.18,459.4,481.73,392.26,606.83,348.35
2006_2,562.82,463.52,489.49,396.69,618.89,351.21
2006_3,573.17,467.28,496.96,400.95,630.66,353.95
2006_4,583.37,470.94,504.45,405.08,641.93,356.95
2006_5,593.46,474.41,511.69,409.07,653.45,359.57
2006_6,603.62,478.01,519.14,413.2,664.99,362.41
2006_7,613.6,481.43,526.4,417.16,676.29,365.14
2006_8,623.71,484.93,533.73,421.23,687.66,367.93
2006_9,633.62,488.31,540.95,425.12,698.88,370.59
2006_10,643.4,491.58,548.1,428.99,709.9,373.32
2006_11,653.11,494.8,555.08,432.72,720.84,375.83
2006_12,662.79,497.95,562.11,436.52,731.69,378.46
2007_1,673.2,504.82,570.31,442.79,743.25,383.69
2007_2,682.63,510.98,577.39,448.32,751.69,388.34
2007_3,690.82,516.1,585.15,452.95,761.81,392.86
2007_4,700.27,522.26,593.05,458.52,771.97,397.5
2007_5,709.48,528.22,600.47,463.87,781.73,402.11
2007_6,718.6,534.17,608.0,469.18,791.58,406.75
2007_7,727.97,540.25,615.71,474.74,801.55,411.52
2007_8,737.22,546.34,623.33,480.09,811.39,416.18
2007_9,746.64,552.45,631.09,485.6,821.62,420.93
2007_10,755.91,558.44,638.71,490.99,831.42,425.68
2007_11,764.78,564.09,646.11,496.17,841.09,430.21
2007_12,773.9,570.03,653.59,501.51,850.56,434.94
2008_1,782.41,578.82,661.3,508.44,859.2,441.31
2008_2,790.86,588.08,668.89,515.98,867.66,447.53
2008_3,799.21,596.63,676.47,522.65,876.16,453.36
2008_4,807.41,605.32,683.8,529.54,884.27,459.28
2008_5,815.44,613.94,691.08,536.27,892.27,465.18
2008_6,823.4,622.54,698.22,543.02,900.1,471.02
2008_7,831.33,631.14,705.48,549.79,908.09,476.92
2008_8,839.55,639.83,712.9,556.69,916.36,482.89
2008_9,847.69,648.41,720.29,563.5,924.37,489.01
2008_10,855.67,657.01,727.58,570.34,932.35,494.8
2008_11,863.52,665.44,734.67,576.88,940.09,500.69
2008_12,872.78,674.94,742.41,584.39,949.43,507.02
2009_1,875.84,674.62,751.67,588.51,952.91,520.83
2009_2,881.01,675.87,761.85,593.7,958.4,535.0
2009_3,885.52,676.66,771.31,598.32,963.29,548.5
2009_4,890.2,677.51,780.89,603.28,968.55,561.82
