Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,38,39,40,41,42,43,44,45,46,47,49,50,51,52,54,55,56,57,58,59,60,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,79,80,81,82,83,85,86,87,89,90,92,93,95,96,97,98,99,100,101,102,103,104,105,106,108,109,110,111,112,113,114,115,116,117,118,119,120,122,123,124,125,127,128,129,130,132,133,134,136,138,139,140,141,142,143,144,145,146,148,149
1993_1,127.23,403.3,336.32,201.39,181.86,181.68,546.02,355.03,190.13,333.91,201.86,381.32,375.06,183.34,254.51,248.59,328.06,207.22,200.7,181.66,344.38,inf,335.75,697.87,202.21,335.62,336.91,39200.24,943.33,200.3,209.36,398.36,199.98,335.71,209.17,201.9,344.31,361.9,199.88,385.02,335.98,337.64,200.39,459.84,369.98,5272.16,444.26,344.67,627.58,496.13,195.14,302.12,224.78,196.52,223.04,271.02,182.22,333.54,335.42,524.68,420.74,183.95,335.52,431.8,200.32,207.44,201.8,182.48,222.95,294.39,182.4,173.88,560.52,337.52,182.12,268.6,335.64,182.11,390.74,3034.62,183.17,336.85,280.27,950.49,462.36,189.5,186.08,183.79,215.39,252.29,204.11,342.91,189.92,205.35,182.26,365.06,350.38,422.83,400.89,258.42,244.86,201.27,182.39,181.55,429.45,4828.99,207.47,182.27,201.43,194.45,220.15,201.69,201.55,182.12,203.41,282.47,345.71,181.56,352.46,553.63,208.02,558.45,454.29,394.7,1111.08,266.16,507.61,336.39,215.68,205.38
1993_2,126.92,397.44,331.52,200.38,182.52,182.36,538.11,350.07,190.74,329.07,200.86,375.83,369.71,184.0,255.18,247.06,323.59,206.05,199.68,182.34,339.12,inf,331.02,685.86,201.11,330.85,332.17,38703.62,929.53,199.24,208.29,392.64,198.96,330.46,208.25,200.83,339.45,356.87,198.78,379.6,331.23,332.82,199.57,452.88,364.61,5184.42,437.89,339.84,618.48,489.06,195.91,301.76,224.11,197.09,222.65,268.17,182.9,329.8,330.44,517.12,414.31,184.66,330.21,425.4,199.16,206.37,200.6,183.0,221.79,291.0,183.14,172.98,552.36,332.79,182.78,267.6,330.94,183.01,385.23,2984.92,183.78,332.09,281.03,936.2,455.92,190.27,186.77,184.38,214.25,251.12,203.11,337.58,190.69,204.28,182.93,359.94,345.47,416.81,395.21,255.52,243.67,200.19,183.28,182.22,423.27,4756.01,206.36,182.87,200.38,195.12,219.73,200.63,200.43,182.81,202.37,279.28,340.8,182.12,347.51,545.59,207.02,549.65,447.45,388.89,1091.06,263.41,500.11,331.08,214.55,204.26
1993_3,126.64,391.78,326.86,199.42,183.27,183.07,530.18,345.06,191.35,324.52,199.95,370.41,364.26,184.72,256.07,245.57,319.32,204.96,198.76,183.01,334.43,inf,326.36,674.22,200.23,326.23,327.45,38181.05,915.18,198.33,207.34,386.95,198.05,325.82,207.36,199.88,334.78,351.63,197.88,374.0,326.56,328.19,198.9,446.2,359.42,5100.24,431.47,335.03,608.96,481.81,196.61,301.33,223.41,197.79,222.12,265.46,183.65,325.91,325.76,509.32,407.85,185.13,325.59,419.09,198.27,205.32,199.7,183.63,220.73,287.77,183.71,172.2,544.03,328.11,183.48,266.21,326.19,183.46,379.51,2937.24,184.47,327.43,281.89,921.57,449.17,190.91,187.52,184.93,213.19,249.85,202.12,332.9,191.38,203.4,183.65,354.68,340.55,410.55,389.47,252.98,242.43,199.26,183.8,182.94,417.01,4680.92,205.37,183.53,199.47,195.82,219.46,199.72,199.53,183.49,201.67,276.32,336.02,182.84,342.56,537.4,206.09,540.74,440.79,382.97,1071.44,260.87,492.66,326.39,213.51,203.33
1993_4,126.19,385.82,321.96,198.43,183.98,183.7,521.93,339.85,192.04,319.8,198.99,364.74,358.61,185.37,256.77,243.91,314.82,203.79,197.82,183.66,329.64,inf,321.5,662.1,199.25,321.36,322.53,37648.08,900.64,197.4,206.33,381.0,197.11,321.03,206.41,198.87,329.71,346.36,196.94,368.28,321.7,323.3,198.18,439.11,354.0,5012.57,424.8,329.87,599.29,474.33,197.3,300.02,222.63,198.44,221.61,262.59,184.33,321.96,320.87,501.31,401.23,185.8,320.82,412.49,197.3,204.29,198.73,184.29,219.63,284.31,184.32,171.37,535.53,323.2,184.15,264.78,321.3,184.08,373.76,2887.29,185.15,322.52,282.56,906.68,442.31,191.56,188.14,185.65,212.08,248.45,201.19,328.06,192.05,202.37,184.33,349.32,335.39,404.21,383.53,250.42,241.1,198.25,184.38,183.58,410.56,4604.96,204.35,184.21,198.52,196.44,219.14,198.75,198.55,184.11,200.44,273.17,330.97,183.51,337.39,528.98,205.07,531.62,433.84,376.81,1051.17,258.21,484.87,321.73,212.46,202.32
1993_5,125.83,379.56,317.03,197.4,184.5,184.23,513.32,334.33,192.55,314.74,197.91,358.83,352.74,185.92,257.43,242.18,310.02,202.56,196.71,184.27,324.72,inf,316.37,649.47,198.11,316.24,317.45,37082.85,885.34,196.28,205.17,374.66,196.03,316.29,205.3,197.88,324.41,340.71,195.88,362.21,316.56,318.11,197.28,431.7,348.22,4920.94,417.75,324.67,589.09,466.39,197.85,299.8,221.69,198.94,220.9,259.57,184.84,317.68,316.28,492.93,394.25,186.31,315.94,405.56,196.2,203.17,197.64,184.81,218.28,280.96,184.86,170.38,526.43,318.04,184.69,263.15,316.26,184.55,367.53,2835.05,185.67,317.41,283.04,890.8,435.01,192.11,188.86,186.16,210.88,246.96,200.04,323.13,192.6,201.25,184.84,343.62,330.0,397.46,377.33,247.5,239.67,197.15,184.9,184.15,403.68,4523.43,203.26,184.72,197.42,196.97,218.6,197.67,197.48,184.64,199.36,269.87,325.66,184.02,331.94,520.18,203.94,522.13,426.53,370.42,1029.85,255.33,476.69,316.98,211.24,201.24
1993_6,125.42,373.19,311.69,196.34,185.04,184.83,504.48,328.83,193.15,309.61,196.83,352.79,346.74,186.48,258.11,240.36,305.24,201.31,195.64,184.89,319.01,inf,311.21,636.78,197.04,311.1,312.27,36505.76,869.76,195.23,204.01,368.37,194.95,310.73,204.27,196.73,319.02,335.04,194.78,356.15,311.42,312.9,196.46,424.1,342.39,4828.3,410.68,319.33,578.86,458.51,198.49,299.06,220.78,199.56,220.23,256.52,185.42,313.43,310.65,484.44,387.2,186.91,310.61,398.55,195.19,202.06,196.55,185.38,217.04,277.07,185.43,169.46,517.41,312.87,185.29,261.49,311.16,185.14,361.39,2782.4,186.27,312.18,283.62,875.03,427.7,192.67,189.27,186.71,209.62,245.44,198.94,317.5,193.21,200.12,185.42,337.96,324.56,390.68,371.02,244.62,238.22,196.04,185.49,184.74,396.85,4443.42,202.14,185.29,196.34,197.53,218.17,196.57,196.39,185.24,198.27,266.5,320.29,184.61,326.48,511.25,202.8,512.47,419.07,363.96,1008.9,252.44,468.51,311.26,210.03,200.09
1993_7,125.03,367.06,306.51,195.33,185.69,185.4,495.9,323.24,193.79,304.46,195.69,346.8,340.96,187.07,258.68,238.57,300.63,200.18,194.64,185.51,313.73,inf,306.24,624.51,195.97,305.91,307.14,35957.06,854.77,194.21,202.89,362.09,193.93,305.84,203.3,195.61,313.8,329.53,193.71,350.14,306.28,307.84,195.66,416.83,336.74,4739.86,403.5,313.97,568.8,450.7,199.17,298.21,219.86,200.11,219.64,253.49,186.02,309.12,305.71,476.16,380.3,187.51,305.55,391.73,194.12,200.98,195.47,186.01,215.83,273.42,186.02,168.59,508.53,308.1,185.88,259.85,305.75,185.72,355.27,2731.91,186.85,307.07,284.23,859.5,420.56,193.26,189.83,187.31,208.5,243.88,197.83,312.14,193.89,199.05,186.03,332.29,319.05,383.97,364.84,241.77,236.75,194.93,186.06,185.31,390.0,4363.87,201.03,185.89,195.32,198.13,217.77,195.5,195.31,185.8,197.24,263.13,315.05,185.22,320.93,502.57,201.64,503.16,411.92,357.66,988.68,249.54,460.12,306.21,208.89,198.99
1993_8,124.49,360.19,301.26,194.2,186.36,186.14,486.72,317.57,194.41,299.23,194.68,340.57,334.61,187.74,259.56,236.81,295.51,198.77,193.5,186.07,308.5,inf,300.61,611.59,194.96,300.51,301.65,35322.73,838.28,193.14,201.78,355.54,192.87,300.55,202.41,194.57,308.16,323.54,192.69,343.78,300.93,302.23,194.89,408.94,330.61,4641.22,396.25,308.38,557.93,442.36,199.76,296.93,218.96,200.75,218.89,250.34,186.72,304.7,300.68,467.22,373.08,188.15,300.19,384.37,193.15,199.86,194.46,186.63,214.56,270.07,186.67,167.72,498.92,302.23,186.51,258.27,300.65,186.39,348.8,2675.91,187.51,301.54,284.65,842.83,412.73,193.9,190.56,188.02,207.28,242.47,196.84,307.22,194.49,197.94,186.77,326.35,313.43,376.99,358.13,239.12,235.31,193.91,186.77,185.97,382.86,4278.85,199.96,186.54,194.23,198.74,217.49,194.43,194.26,186.51,196.09,259.74,309.35,185.83,315.34,493.1,200.55,493.06,404.11,350.89,967.12,246.6,451.88,301.25,207.67,197.89
1993_9,124.22,353.77,295.66,193.1,186.83,186.59,477.81,311.85,195.03,293.84,193.58,334.36,328.49,188.32,260.07,235.03,290.47,197.53,192.46,186.63,302.88,inf,295.25,598.8,193.83,295.13,296.18,34750.18,822.67,192.06,200.62,349.05,191.78,294.78,201.15,193.46,302.63,317.66,191.61,337.56,295.43,296.88,194.08,401.26,324.57,4549.39,389.05,302.66,547.63,434.3,200.43,296.77,217.97,201.24,218.15,247.15,187.19,300.28,294.67,458.59,365.91,188.72,294.58,377.25,191.96,198.71,193.32,187.22,213.32,265.81,187.22,166.75,489.82,296.8,187.05,256.68,295.13,186.92,342.54,2623.16,188.04,296.13,285.36,827.0,405.31,194.49,191.04,188.52,206.09,240.97,195.61,301.37,195.12,196.82,187.19,320.43,307.82,370.05,351.65,235.94,233.86,192.73,187.26,186.5,375.85,4198.11,198.81,187.15,193.15,199.22,217.05,193.34,193.17,187.01,194.99,256.26,303.79,186.42,309.64,484.01,199.42,483.43,396.61,344.24,945.87,243.57,443.37,295.58,206.48,196.77
1993_10,123.79,346.85,289.97,191.95,187.45,187.09,468.35,305.78,195.58,288.29,192.43,327.8,322.02,188.81,260.7,233.14,285.22,196.15,191.3,187.14,297.46,inf,289.58,585.58,192.63,289.44,290.52,34112.12,806.0,190.91,199.43,342.16,190.63,289.2,199.96,192.37,296.84,311.57,190.46,330.97,289.76,291.15,193.23,393.21,318.27,4451.81,381.35,296.91,536.5,425.69,200.97,295.94,216.89,201.8,217.35,243.81,187.69,295.55,289.23,449.42,358.39,189.24,288.81,369.73,190.8,197.52,192.14,187.79,211.98,261.82,187.79,165.75,480.06,291.1,187.58,255.02,289.44,187.45,335.78,2567.62,188.57,290.47,285.81,810.0,397.36,194.98,191.56,189.04,204.77,239.4,194.45,295.68,195.68,195.66,187.66,314.17,301.83,362.74,344.79,232.82,232.34,191.52,187.79,187.03,368.39,4111.34,197.64,187.62,192.0,199.77,216.71,192.18,192.04,187.52,193.88,252.58,297.95,186.93,303.6,474.38,198.23,473.24,388.66,337.35,924.04,240.46,434.5,289.91,205.2,195.61
