Unnamed: 0,0,1,2,3,5,6,7,8,9,10,11,12,13
1996_4,264.63,204.9,230.86,438.25,229.35,227.93,296.53,385.58,402.74,258.03,390.67,233.1,306.04
1996_5,265.62,205.04,233.47,443.83,231.84,230.51,300.32,390.91,408.29,260.46,395.21,235.78,308.64
1996_6,266.42,205.09,235.99,449.27,234.29,233.01,303.93,396.03,413.64,262.8,399.57,238.42,310.82
1996_7,267.33,205.21,238.55,454.73,236.77,235.54,307.65,401.29,419.02,265.2,404.08,241.04,313.25
1996_8,268.2,205.3,241.08,460.1,239.23,238.06,311.25,406.44,424.34,267.59,408.33,243.64,315.59
1996_9,269.05,205.33,243.63,465.46,241.66,240.57,314.92,411.56,429.66,269.88,412.66,246.24,317.9
1996_10,269.94,205.48,246.14,470.93,244.06,243.08,318.5,416.72,434.9,272.27,417.12,248.77,320.31
1996_11,270.77,205.38,248.61,476.11,246.39,245.47,322.04,421.72,440.06,274.52,421.34,251.31,322.56
1996_12,271.57,205.38,250.96,481.18,248.76,247.82,325.48,426.57,445.11,276.73,425.38,253.8,324.65
1997_1,272.02,206.83,252.94,482.17,250.81,249.8,327.12,427.99,446.55,278.21,426.42,255.69,325.58
1997_2,272.33,207.92,255.13,483.39,252.86,251.79,329.23,430.1,448.46,279.73,427.9,257.92,326.63
1997_3,272.58,208.91,256.67,484.68,254.34,253.5,330.57,430.9,449.4,280.86,428.97,259.29,326.82
1997_4,272.73,210.03,258.59,485.42,256.15,255.38,332.19,432.15,450.81,282.11,430.02,261.12,327.45
1997_5,272.93,211.06,260.36,486.79,257.91,257.09,333.76,433.46,452.07,283.33,431.07,262.83,327.89
1997_6,273.14,212.21,262.12,487.74,259.68,258.85,335.24,434.73,453.33,284.57,432.06,264.57,328.43
1997_7,273.44,213.37,263.94,488.87,261.5,260.67,336.88,436.09,454.67,285.9,433.2,266.31,329.1
1997_8,273.6,214.48,265.75,489.94,263.3,262.45,338.42,437.41,455.96,287.14,434.24,268.04,329.68
1997_9,273.94,215.61,267.52,491.09,265.04,264.21,340.0,438.74,457.27,288.44,435.4,269.71,330.27
1997_10,274.13,216.65,269.29,492.05,266.69,265.93,341.53,439.99,458.56,289.63,436.41,271.38,330.8
1997_11,274.31,217.7,270.93,492.91,268.26,267.56,342.95,441.13,459.71,290.75,437.28,273.03,331.29
1997_12,274.49,218.76,272.61,493.91,269.96,269.22,344.43,442.41,460.96,291.92,438.29,274.7,331.85
1998_1,274.15,218.72,278.24,493.45,275.4,274.79,347.58,442.3,460.78,295.06,438.06,279.91,331.54
1998_2,273.96,218.72,283.74,493.01,280.74,280.28,350.72,442.27,460.69,298.18,437.9,284.96,331.33
1998_3,273.55,218.68,289.14,492.58,285.93,285.59,353.75,442.18,460.51,301.15,437.67,289.88,331.06
1998_4,273.0,218.58,294.3,491.94,290.98,290.72,356.5,441.75,460.26,303.98,437.19,294.65,330.52
1998_5,272.52,218.4,299.29,491.29,295.73,295.61,359.24,441.65,459.94,306.67,436.82,299.33,330.2
1998_6,272.12,218.28,304.22,490.7,300.49,300.47,361.96,441.47,459.69,309.36,436.49,303.85,329.84
1998_7,271.61,218.1,308.98,490.02,305.07,305.15,364.49,441.12,459.25,311.94,436.05,308.2,329.37
1998_8,271.11,217.93,313.59,489.37,309.55,309.73,366.99,440.8,458.88,314.43,435.6,312.42,328.9
1998_9,270.61,217.69,318.05,488.55,313.87,314.17,369.36,440.39,458.42,316.76,435.07,316.51,328.4
1998_10,270.02,217.36,322.35,487.7,317.94,318.41,371.56,439.9,457.85,318.99,434.46,320.46,327.84
1998_11,269.43,217.04,326.5,486.79,321.93,322.51,373.68,439.35,457.23,321.17,433.83,324.3,327.23
1998_12,268.76,216.66,330.43,485.61,325.71,326.36,375.59,438.68,456.47,323.11,432.96,327.99,326.53
1999_1,267.59,216.52,330.58,483.14,325.82,326.5,374.88,436.75,454.38,322.58,430.97,328.07,324.97
1999_2,266.3,216.4,330.67,480.61,325.93,326.65,374.08,434.71,452.23,322.05,428.88,328.07,323.45
1999_3,264.62,216.2,330.73,478.01,325.99,326.74,373.21,432.7,450.07,321.55,426.68,328.05,321.66
1999_4,263.29,216.03,330.91,475.36,326.09,326.95,372.49,430.49,447.84,320.73,424.54,328.01,320.01
1999_5,262.0,215.86,330.95,472.77,326.12,326.96,371.5,428.31,445.51,320.18,422.32,327.96,318.55
1999_6,260.41,215.6,330.95,469.96,326.1,326.94,370.54,426.13,443.15,319.46,420.1,327.9,316.59
1999_7,259.04,215.43,331.05,467.21,326.16,327.04,369.67,423.98,440.87,318.85,417.83,327.87,314.97
1999_8,257.53,215.13,330.96,464.55,326.06,326.96,368.63,421.68,438.42,318.05,415.54,327.72,313.16
1999_9,256.15,214.95,331.07,461.84,326.11,327.07,367.75,419.51,436.1,317.46,413.36,327.62,311.48
1999_10,254.62,214.69,331.03,459.05,326.04,327.02,366.73,417.18,433.65,316.68,411.03,327.46,309.69
1999_11,253.11,214.4,331.0,456.2,325.94,327.0,365.72,414.87,431.21,315.94,408.64,327.31,307.83
1999_12,251.62,214.14,330.87,453.36,325.79,326.88,364.65,412.54,428.72,315.18,406.27,327.13,306.06
2000_1,252.3,214.53,331.77,453.14,326.69,327.78,365.18,412.58,428.72,315.82,406.38,328.02,306.43
2000_2,252.82,214.91,332.76,453.01,327.66,328.77,365.78,412.69,428.82,316.58,406.58,328.93,306.79
2000_3,253.23,215.26,333.68,452.82,328.61,329.72,366.33,412.7,428.77,317.23,406.72,329.75,307.06
2000_4,253.52,215.57,334.56,452.46,329.46,330.62,366.83,412.65,428.64,317.9,406.71,330.51,307.23
2000_5,253.77,215.77,335.28,451.82,330.17,331.28,367.05,412.31,428.29,318.29,406.48,331.25,307.29
2000_6,254.08,215.97,335.93,451.26,330.86,331.95,367.31,412.03,427.94,318.76,406.25,331.91,307.37
2000_7,254.38,216.19,336.68,450.79,331.58,332.66,367.62,411.75,427.63,319.26,406.11,332.55,307.48
2000_8,254.7,216.37,337.38,450.26,332.26,333.37,367.88,411.47,427.28,319.71,405.96,333.13,307.58
2000_9,254.97,216.52,337.99,449.56,332.87,333.98,368.04,411.07,426.81,320.1,405.64,333.67,307.58
2000_10,255.1,216.56,338.56,448.82,333.36,334.51,368.17,410.64,426.31,320.36,405.27,334.2,307.49
2000_11,255.35,216.65,339.03,448.11,333.84,335.02,368.27,410.16,425.75,320.68,404.92,334.67,307.48
2000_12,255.48,216.67,339.49,447.19,334.28,335.47,368.24,409.55,425.11,320.87,404.39,335.13,307.28
2001_1,254.68,216.18,339.35,446.7,334.03,335.06,368.02,409.33,424.96,320.43,403.95,335.07,306.6
2001_2,253.71,215.63,339.09,446.11,333.8,334.81,367.77,409.11,424.68,320.0,403.46,334.83,305.94
2001_3,252.69,215.13,338.93,445.67,333.65,334.7,367.62,408.99,424.49,319.65,403.09,334.6,305.26
2001_4,251.69,214.57,338.71,445.08,333.41,334.48,367.39,408.73,424.17,319.17,402.61,334.33,304.44
2001_5,250.62,213.94,338.37,444.32,333.05,334.14,367.05,408.42,423.76,318.65,401.95,334.08,303.73
