Unnamed: 0,0,1,4,5,6,7,8,9,10,11
1997_5,217.91,265.83,287.56,327.53,454.14,433.72,515.91,260.63,482.92,297.8
1997_6,219.23,267.57,287.84,328.09,455.39,434.97,517.09,262.42,483.89,299.44
1997_7,220.57,269.36,288.22,328.76,456.74,436.34,518.48,264.26,485.03,301.16
1997_8,221.87,271.14,288.52,329.32,458.04,437.65,519.71,266.07,486.13,302.82
1997_9,223.16,272.89,288.91,329.96,459.34,438.98,521.11,267.84,487.29,304.51
1997_10,224.38,274.62,289.17,330.49,460.63,440.23,522.31,269.52,488.27,306.12
1997_11,225.58,276.25,289.42,330.98,461.78,441.37,523.38,271.11,489.14,307.64
1997_12,226.81,277.93,289.69,331.54,463.03,442.66,524.58,272.84,490.15,309.2
1998_1,228.0,283.31,289.37,331.26,462.84,442.54,524.21,278.41,489.72,313.42
1998_2,229.2,288.58,289.22,331.08,462.74,442.51,523.9,283.88,489.3,317.61
1998_3,230.32,293.73,288.84,330.84,462.56,442.41,523.58,289.22,488.9,321.63
1998_4,231.37,298.65,288.25,330.36,462.29,442.02,522.97,294.4,488.29,325.4
1998_5,232.3,303.44,287.79,330.06,461.97,441.89,522.42,299.29,487.67,329.12
1998_6,233.26,308.15,287.4,329.74,461.71,441.71,521.94,304.17,487.1,332.78
1998_7,234.15,312.67,286.9,329.31,461.26,441.35,521.33,308.86,486.45,336.26
1998_8,235.01,317.07,286.42,328.87,460.87,441.03,520.71,313.44,485.82,339.68
1998_9,235.79,321.33,285.92,328.39,460.4,440.63,519.97,317.89,485.03,342.92
1998_10,236.44,325.42,285.34,327.85,459.83,440.13,519.15,322.1,484.21,346.05
1998_11,237.08,329.37,284.75,327.29,459.2,439.58,518.31,326.2,483.32,349.04
1998_12,237.62,333.12,284.08,326.59,458.42,438.9,517.16,330.08,482.18,351.83
1999_1,237.57,333.2,282.83,325.06,456.32,436.98,514.65,330.21,479.74,351.49
1999_2,237.56,333.22,281.49,323.53,454.16,434.94,512.01,330.32,477.25,351.12
1999_3,237.47,333.2,279.72,321.84,451.98,432.86,509.36,330.4,474.68,350.78
1999_4,237.38,333.28,278.35,320.13,449.72,430.77,506.57,330.51,472.07,350.29
1999_5,237.32,333.23,276.95,318.68,447.39,428.47,503.81,330.56,469.52,349.85
1999_6,237.16,333.15,275.31,316.74,445.02,426.36,501.01,330.55,466.75,349.31
1999_7,237.09,333.16,273.84,315.12,442.72,424.21,498.15,330.62,464.05,348.86
1999_8,236.87,333.0,272.27,313.33,440.26,421.9,495.32,330.53,461.41,348.27
1999_9,236.79,333.0,270.82,311.66,437.93,419.73,492.57,330.6,458.74,347.86
1999_10,236.62,332.87,269.23,309.88,435.46,417.41,489.66,330.56,455.98,347.24
1999_11,236.43,332.75,267.65,308.03,433.0,415.08,486.7,330.47,453.17,346.72
1999_12,236.25,332.54,266.09,306.26,430.49,412.76,483.75,330.32,450.37,346.1
2000_1,236.73,333.42,266.75,306.62,430.48,412.78,483.55,331.22,450.16,346.79
2000_2,237.22,334.37,267.22,306.99,430.57,412.89,483.48,332.2,450.04,347.58
2000_3,237.68,335.24,267.59,307.27,430.52,412.92,483.33,333.16,449.87,348.27
2000_4,238.11,336.08,267.83,307.47,430.39,412.85,483.03,334.02,449.53,348.98
2000_5,238.39,336.76,268.05,307.53,430.04,412.53,482.42,334.74,448.92,349.37
2000_6,238.68,337.39,268.3,307.62,429.68,412.23,481.84,335.42,448.38,349.84
2000_7,239.0,338.09,268.58,307.73,429.37,411.94,481.38,336.14,447.92,350.34
2000_8,239.28,338.73,268.86,307.83,429.01,411.66,480.87,336.83,447.4,350.81
2000_9,239.51,339.3,269.06,307.84,428.54,411.25,480.18,337.44,446.73,351.19
2000_10,239.63,339.83,269.15,307.76,428.03,410.83,479.45,337.94,446.01,351.48
2000_11,239.8,340.28,269.34,307.75,427.47,410.35,478.73,338.42,445.31,351.78
2000_12,239.9,340.7,269.42,307.56,426.82,409.74,477.78,338.87,444.42,351.95
2001_1,239.47,340.59,268.68,306.87,426.63,409.48,477.31,338.63,443.96,351.73
2001_2,239.02,340.33,267.8,306.19,426.34,409.26,476.78,338.41,443.4,351.51
2001_3,238.64,340.15,266.8,305.53,426.13,409.13,476.41,338.27,442.97,351.39
2001_4,238.18,339.91,265.86,304.73,425.82,408.88,475.89,338.03,442.42,351.15
2001_5,237.65,339.59,264.85,303.98,425.4,408.56,475.16,337.67,441.68,350.84
2001_6,237.11,339.26,263.85,303.16,425.03,408.25,474.51,337.33,441.03,350.53
2001_7,236.58,338.93,262.82,302.31,424.61,407.88,473.84,336.97,440.39,350.17
2001_8,236.04,338.58,261.79,301.47,424.17,407.52,473.11,336.65,439.66,349.84
2001_9,235.48,338.21,260.84,300.64,423.69,407.15,472.46,336.26,438.96,349.5
2001_10,234.91,337.8,259.77,299.76,423.21,406.72,471.71,335.77,438.23,349.1
2001_11,234.21,337.31,258.6,298.76,422.61,406.18,470.84,335.23,437.37,348.59
2001_12,233.63,336.72,257.52,297.82,421.91,405.6,469.9,334.74,436.5,348.08
2002_1,233.71,337.14,258.09,298.15,421.99,405.73,469.76,335.09,436.32,348.45
2002_2,233.96,337.86,258.8,298.72,422.26,406.04,469.92,335.8,436.41,349.09
2002_3,234.15,338.4,259.17,299.08,422.38,406.22,469.95,336.35,436.41,349.57
2002_4,234.34,338.96,259.65,299.46,422.47,406.38,469.85,336.97,436.27,350.06
2002_5,234.4,339.42,259.99,299.69,422.44,406.34,469.5,337.42,435.96,350.37
2002_6,234.44,339.8,260.35,299.93,422.32,406.3,469.14,337.79,435.56,350.66
2002_7,234.51,340.18,260.6,300.16,422.23,406.27,468.62,338.21,435.18,350.98
2002_8,234.6,340.62,261.15,300.46,422.22,406.26,468.66,338.66,435.16,351.33
2002_9,234.59,340.92,261.52,300.67,422.02,406.18,468.32,338.96,434.78,351.58
2002_10,234.54,341.23,261.89,300.82,421.81,406.01,467.94,339.23,434.41,351.78
2002_11,234.43,341.42,262.1,300.91,421.49,405.74,467.34,339.37,433.83,351.87
2002_12,234.28,341.4,262.24,300.94,421.03,405.41,466.66,339.46,433.19,351.9
2003_1,235.61,343.6,263.87,302.96,424.53,408.73,470.35,341.51,436.76,354.19
2003_2,237.25,346.33,266.09,305.62,428.73,412.87,474.84,344.16,440.76,357.23
2003_3,238.71,348.66,267.65,307.79,432.53,416.52,478.79,346.39,444.48,359.81
2003_4,240.18,351.03,269.36,309.99,436.2,420.23,482.8,348.68,448.15,362.46
2003_5,241.55,353.31,271.11,312.3,439.91,423.8,486.74,350.92,451.82,364.99
2003_6,243.03,355.57,272.86,314.58,443.65,427.55,490.8,353.13,455.56,367.63
2003_7,244.41,357.91,274.49,316.72,447.34,431.02,494.5,355.43,459.02,370.12
2003_8,245.84,360.24,276.21,318.95,451.07,434.69,498.45,357.73,462.69,372.76
2003_9,247.2,362.51,277.97,321.19,454.74,438.33,502.4,359.86,466.35,375.28
2003_10,248.54,364.73,279.64,323.32,458.38,441.86,506.22,362.01,469.93,377.78
2003_11,249.69,366.63,281.13,325.34,461.69,445.14,509.99,363.82,473.48,379.94
2003_12,250.96,368.78,282.66,327.31,465.18,448.48,513.26,365.87,476.47,382.34
2004_1,253.56,372.11,286.43,331.0,469.12,452.32,517.52,369.14,480.43,385.79
2004_2,256.0,375.19,289.9,334.43,472.68,455.79,521.29,372.27,483.96,388.95
2004_3,258.43,378.26,293.24,337.79,476.19,459.26,525.03,375.34,487.43,392.15
2004_4,260.77,381.29,296.43,341.04,479.63,462.62,528.56,378.34,490.7,395.18
2004_5,263.11,384.27,299.78,344.35,483.02,465.94,532.09,381.3,494.02,398.19
2004_6,265.43,387.22,303.13,347.62,486.36,469.22,535.61,384.27,497.29,401.2
2004_7,267.81,390.2,306.44,350.93,489.76,472.55,539.18,387.24,500.64,404.23
2004_8,270.15,393.23,309.85,354.22,493.21,475.93,542.79,390.26,503.97,407.31
2004_9,272.49,396.2,313.24,357.6,496.61,479.28,546.45,393.16,507.38,410.39
2004_10,274.76,399.17,316.51,360.8,499.93,482.53,549.9,396.08,510.64,413.39
2004_11,277.05,402.06,319.84,364.02,503.26,485.77,553.34,398.93,513.84,416.33
2004_12,279.33,404.86,323.1,367.25,506.5,488.99,556.74,401.63,517.05,419.25
2005_1,282.28,407.98,326.71,371.14,511.49,494.08,562.38,405.12,522.32,422.71
2005_2,285.26,411.6,330.2,374.86,517.27,499.31,568.14,408.18,527.68,426.47
2005_3,288.61,415.15,333.54,379.0,522.63,504.68,573.91,411.73,533.05,430.59
2005_4,291.74,418.59,336.95,382.87,528.03,509.92,579.65,415.14,538.4,434.43
