Unnamed: 0,1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1992_4,212.34,218.56,386.4,215.05,247.98,195.65,210.36,473.87,198.79,347.21,269.99,213.37,396.18,617.24,362.7,381.05,578.64,355.79,343.91,272.93,482.09,449.4,425.68,524.29,426.71,346.54,195.3,717.22,inf,424.18,4003.74,328.88,195.71,196.95,195.64,424.98,345.59,200.67
1992_5,211.43,217.67,385.76,214.11,246.49,194.1,209.43,472.31,197.14,346.71,269.29,211.85,395.39,612.79,362.15,380.55,577.4,355.33,342.98,271.76,481.16,448.1,424.77,523.22,425.57,346.2,193.71,715.43,inf,423.45,3983.74,328.12,194.15,195.36,194.01,424.19,345.28,200.19
1992_6,210.52,216.77,385.32,213.19,245.62,192.6,208.54,470.95,195.63,346.57,268.52,210.42,394.78,608.21,361.9,380.09,576.44,354.83,343.18,270.93,480.56,446.88,423.96,522.39,424.51,345.86,192.26,713.59,inf,422.68,3964.46,327.97,192.7,193.89,192.53,423.55,344.88,199.77
1992_7,209.46,215.71,384.46,212.12,243.91,190.95,207.49,469.18,193.96,345.65,267.58,208.79,393.86,603.34,361.03,379.33,575.03,354.25,341.79,269.55,479.54,445.3,422.79,521.14,423.21,345.2,190.58,711.47,inf,421.69,3942.28,326.84,191.03,192.23,190.88,422.58,344.25,199.2
1992_8,208.41,214.67,383.69,211.06,242.69,189.31,206.46,467.46,192.28,345.13,266.66,207.17,392.96,598.49,360.37,378.63,573.65,353.65,341.34,268.43,478.55,443.77,421.65,519.93,421.94,344.62,188.94,709.37,inf,420.74,3920.57,326.28,189.38,190.61,189.23,421.63,343.65,198.63
1992_9,207.32,213.57,382.82,209.94,241.39,187.62,205.38,465.64,190.57,344.51,265.68,205.5,391.96,593.51,359.69,377.84,572.14,352.95,340.78,267.23,477.44,442.15,420.43,518.6,420.58,343.96,187.25,707.11,inf,419.69,3898.16,325.6,187.86,188.93,187.53,420.59,342.97,198.07
1992_10,206.17,212.4,381.88,208.76,239.95,185.88,204.24,463.58,188.77,343.9,264.62,203.85,390.81,588.31,358.85,376.95,570.44,352.0,340.24,265.94,476.14,440.39,419.06,517.1,419.03,343.17,185.52,704.49,inf,418.49,3874.65,324.86,186.11,187.2,185.81,419.45,342.17,197.42
1992_11,205.05,211.22,380.85,207.58,238.56,184.12,203.07,461.36,187.0,342.97,263.54,202.02,389.85,583.17,357.97,375.96,568.3,351.18,339.11,264.71,474.41,438.21,417.56,515.19,417.29,342.32,183.8,701.31,inf,416.96,3833.42,323.92,184.38,185.44,184.04,418.04,341.34,196.73
1992_12,203.63,209.82,379.31,206.1,236.73,182.01,201.83,459.1,184.91,341.72,262.18,199.99,387.97,577.02,356.57,374.53,566.16,349.78,337.94,262.95,472.84,436.42,415.84,513.27,415.44,341.21,181.7,698.56,inf,415.58,3823.7,322.7,182.28,183.42,181.97,416.46,340.25,195.76
1993_1,202.42,208.54,373.75,204.99,235.38,182.55,200.6,451.52,185.61,336.85,259.56,200.13,382.15,573.54,351.39,369.09,557.62,344.67,333.51,260.76,465.81,429.27,409.42,505.58,408.88,336.27,182.3,687.62,inf,409.36,3753.54,318.57,182.74,183.86,182.65,410.28,335.36,194.8
1993_2,201.36,207.37,368.55,203.91,234.13,183.22,199.51,444.46,186.28,332.03,257.01,200.49,376.66,570.94,346.46,363.87,549.53,339.84,328.43,258.83,459.32,422.7,403.31,498.36,402.76,331.54,183.21,677.07,inf,403.36,3687.47,313.99,183.36,184.47,183.24,404.42,330.63,193.93
1993_3,200.44,206.26,363.14,202.92,232.93,183.93,198.6,437.35,186.84,327.36,254.61,200.7,371.07,568.43,341.53,358.67,541.29,335.03,323.84,256.84,452.51,416.08,397.27,490.91,396.54,326.84,183.71,666.82,inf,397.56,3622.66,309.87,184.06,185.1,183.87,398.4,325.95,193.2
1993_4,199.48,205.12,357.67,201.91,231.6,184.61,197.66,430.04,187.53,322.47,252.08,200.96,365.29,565.54,336.39,353.24,532.8,329.87,319.08,254.75,445.59,409.25,391.0,483.26,390.1,321.96,184.29,656.06,inf,391.4,3555.14,305.59,184.7,185.67,184.53,392.28,321.06,192.41
1993_5,198.38,203.91,351.82,200.82,230.23,185.14,196.55,422.43,188.03,317.44,249.38,201.07,359.28,562.45,330.96,347.55,523.94,324.67,314.52,252.48,438.23,402.07,384.41,475.18,383.42,316.86,184.79,644.79,inf,384.91,3485.16,301.16,185.16,186.19,185.06,385.74,316.01,191.44
1993_6,197.28,202.68,345.97,199.72,228.72,185.73,195.49,414.71,188.61,312.16,246.66,201.23,353.14,559.44,325.5,341.82,514.94,319.33,308.96,250.23,430.85,394.82,377.72,467.11,376.65,311.72,185.38,633.23,inf,378.35,3415.42,296.36,185.67,186.71,185.63,379.26,310.85,190.56
1993_7,196.22,201.5,340.2,198.64,227.27,186.34,194.45,407.18,189.23,307.03,244.0,201.42,347.22,556.53,319.98,336.46,506.23,313.97,304.06,247.94,423.64,387.88,371.23,459.15,370.02,306.49,185.95,622.19,inf,371.99,3347.75,291.89,186.25,187.22,186.24,372.81,305.74,189.7
1993_8,195.15,200.22,334.09,197.55,226.07,187.06,193.41,399.25,189.91,301.73,241.2,201.58,340.73,553.01,314.38,330.07,496.66,308.38,299.08,245.63,415.78,380.3,364.28,450.59,362.98,301.15,186.63,610.39,inf,365.15,3276.44,287.12,186.88,187.77,186.87,365.98,300.28,188.88
1993_9,194.05,198.96,328.03,196.42,224.25,187.51,192.3,391.39,190.45,296.12,238.36,201.72,334.47,550.44,308.73,324.11,487.51,302.66,293.25,243.22,408.27,372.95,357.45,442.36,356.05,295.69,187.15,598.49,inf,358.39,3205.28,282.1,187.3,188.23,187.45,359.3,294.85,187.97
1993_10,192.88,197.62,321.7,195.27,222.61,188.02,191.15,383.22,190.96,290.41,235.4,201.78,327.86,547.32,302.72,317.82,477.8,296.91,287.83,240.68,400.25,365.3,350.28,433.56,348.83,290.01,187.69,586.42,inf,351.34,3132.66,277.05,187.79,188.68,187.99,352.19,289.21,187.04
