Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,12,13,14,16,17,18,19,20,21,22,24,25,26,28,30,32,33,34,35,36,37,38,41,42,43,44,46,47,49,50,51,52,53,54,55,56,57,58,59,62,64,66,68,69,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,96,97,98,99,100,101,102,103,104,105,106,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,126,127,129,130,131,132,133,134,135,137,138,139,140,141,143,144,145,146,147,148,149
1993_1,338.18,183.32,182.57,102.74,824.31,336.11,385.18,181.43,336.06,182.0,200.98,182.83,295.67,256.72,199.89,335.28,182.75,459.86,6356.6,182.79,363.04,275.18,252.52,209.04,336.6,191.16,181.83,186.82,485.14,191.83,182.1,342.83,366.81,12.96,199.79,802.65,182.71,335.54,594.99,229.89,389.33,203.16,189.34,209.66,210.01,376.99,514.44,182.23,200.9,40318.04,183.55,335.62,360.76,181.99,205.88,337.25,181.48,426.22,337.46,444.32,1918.52,200.12,176.32,181.76,258.57,316.74,398.18,363.08,190.41,443.21,252.78,364.63,203.83,204.59,260.01,409.67,363.26,336.0,181.45,335.69,335.34,361.41,254.0,181.78,475.7,240.0,233.55,464.96,453.9,336.11,182.03,8.7,199.77,201.62,454.96,325.3,355.97,182.56,181.59,443.88,335.52,185.32,412.43,346.44,345.58,206.85,336.45,214.74,400.78,966.04,1056.15,206.52,200.32,337.12,183.77,200.88,372.35,185.16,395.2,336.09,328.81,201.51,420.18,297.92,341.41,218.38,340.32
1993_2,333.41,184.19,183.25,102.38,825.91,331.39,379.76,182.1,331.31,182.67,199.81,183.58,292.34,254.28,198.86,330.57,183.58,453.42,6260.75,183.46,363.66,272.0,250.21,208.8,331.46,191.82,182.53,187.52,478.31,192.44,182.71,337.96,361.69,12.76,198.8,791.08,183.35,330.26,586.28,228.65,383.86,202.02,190.06,209.68,208.94,371.54,507.11,182.9,199.72,38926.34,184.24,330.78,355.67,182.51,204.78,332.52,182.14,419.89,332.7,437.9,1887.59,199.13,175.45,182.45,256.01,312.57,392.58,357.95,190.95,436.36,251.63,359.55,202.78,203.5,260.77,403.8,357.97,331.23,182.15,331.33,330.65,356.31,253.04,182.47,468.72,238.58,231.38,458.22,447.03,331.27,182.71,8.57,198.74,200.53,448.24,321.04,351.0,183.47,182.21,437.47,330.2,185.88,406.59,341.58,340.72,205.83,331.49,213.61,395.04,951.86,1036.47,205.3,199.32,332.26,184.44,199.85,367.02,185.86,389.48,331.0,324.56,200.46,414.2,296.56,336.59,217.22,335.46
1993_3,328.68,184.75,184.0,102.02,827.95,326.7,374.15,182.78,326.66,183.39,198.92,184.16,289.2,251.99,197.96,325.84,184.11,446.65,6161.74,184.16,364.3,269.08,248.01,208.7,326.68,192.38,183.24,188.29,471.24,192.96,183.38,333.3,356.43,12.56,197.87,779.3,183.89,325.59,577.36,227.54,378.16,201.1,190.75,209.68,207.99,366.02,499.51,183.63,198.81,37652.28,184.91,326.12,350.58,183.17,203.8,327.85,182.86,413.62,328.04,431.25,1857.87,198.16,174.73,183.16,253.54,308.6,386.83,352.84,191.7,429.46,250.35,354.27,201.84,202.58,261.61,397.82,353.05,326.58,182.86,326.77,325.98,351.22,251.78,183.2,461.76,237.23,229.54,451.4,440.37,326.64,183.36,8.44,197.82,199.65,441.74,317.06,345.89,183.94,182.89,430.93,325.64,186.57,400.65,336.74,335.92,204.8,326.84,212.56,389.33,937.0,1017.25,204.24,198.36,327.62,185.14,198.95,361.58,186.38,383.95,326.36,320.27,199.55,407.96,294.93,331.85,216.2,330.78
1993_4,323.75,185.32,184.69,101.47,827.6,321.86,368.44,183.44,321.74,184.01,197.96,184.76,285.86,249.56,197.03,320.95,184.74,439.76,6061.38,184.82,364.74,266.08,245.72,208.54,321.97,192.94,183.86,188.93,464.0,193.49,184.08,328.29,351.03,12.35,196.9,767.18,184.56,320.8,568.18,226.3,372.38,200.11,191.41,209.62,206.99,360.22,491.75,184.31,197.85,36428.63,185.57,321.22,345.23,183.83,202.79,322.91,183.49,407.09,323.15,424.6,1826.66,197.17,173.95,183.85,250.94,304.4,380.96,347.49,192.32,422.39,248.96,348.96,200.88,201.6,262.27,391.67,348.05,321.71,183.49,322.22,321.13,345.89,250.47,183.89,454.48,235.73,227.67,444.35,433.4,321.77,183.98,8.31,196.86,198.66,434.9,312.84,340.69,184.55,183.56,424.23,320.8,187.23,394.53,331.65,330.88,203.8,321.95,211.47,383.34,922.04,997.38,203.09,197.37,322.71,185.78,198.0,355.93,187.07,378.11,321.55,315.79,198.58,401.71,293.13,326.79,215.06,325.84
1993_5,318.64,185.85,185.17,101.11,830.22,316.68,362.37,184.03,316.66,184.7,196.9,185.31,282.34,246.96,195.92,315.91,185.26,432.48,5953.97,185.37,364.88,262.76,243.25,208.19,317.1,193.37,184.41,189.49,456.35,193.89,184.6,323.0,345.3,12.14,195.85,754.47,185.1,316.22,558.56,224.99,366.27,199.03,191.95,209.44,205.75,354.24,483.5,184.82,196.76,35294.12,186.15,316.46,339.64,184.35,201.71,317.78,184.07,400.31,317.97,417.36,1794.02,196.16,173.02,184.37,248.13,299.95,374.66,341.83,192.92,414.97,247.49,343.26,199.73,200.49,262.75,385.29,342.65,316.57,184.05,317.25,316.02,340.29,248.96,184.4,446.84,234.21,225.51,436.82,426.04,316.67,184.51,8.17,195.84,197.59,427.69,308.4,335.15,185.03,184.08,417.08,315.91,187.75,388.1,326.36,325.58,202.65,317.29,210.27,377.0,905.98,976.83,201.84,196.37,317.6,186.32,196.92,350.06,187.55,371.97,316.65,311.04,197.5,394.97,291.23,321.62,213.86,320.62
1993_6,313.44,186.44,185.76,100.65,831.3,311.55,356.29,184.66,311.45,185.2,195.77,185.87,278.76,244.36,194.86,310.83,185.85,425.16,5848.37,185.94,365.17,259.5,240.79,207.9,311.56,193.86,185.02,190.05,448.58,194.33,185.2,317.67,339.57,11.93,194.8,741.6,185.66,310.54,548.88,223.67,360.09,197.94,192.53,209.3,204.64,348.18,475.31,185.41,195.69,34231.09,186.79,310.98,334.02,184.92,200.59,312.6,184.67,393.38,312.75,410.26,1761.09,195.14,172.15,184.97,245.33,295.49,368.43,336.18,193.44,407.45,245.95,337.57,198.64,199.37,263.32,378.73,337.21,311.4,184.64,312.33,310.88,334.66,247.5,185.0,439.16,232.5,223.39,429.38,418.58,311.5,185.11,8.03,194.76,196.47,420.26,303.92,329.67,185.62,184.64,409.97,310.56,188.33,381.59,320.95,320.27,201.55,311.61,209.03,370.67,890.14,956.27,200.57,195.29,312.38,186.9,195.84,344.07,188.15,365.76,311.23,306.3,196.41,388.28,289.31,316.4,212.59,315.37
1993_7,308.28,187.0,186.33,100.19,832.13,306.34,350.27,185.26,306.37,185.76,194.68,186.45,275.15,241.82,193.84,305.42,186.43,417.95,5743.96,186.52,365.53,256.19,238.37,207.69,306.27,194.45,185.57,190.67,441.14,194.78,185.79,312.47,333.8,11.72,193.84,729.09,186.27,305.77,539.33,222.28,353.94,196.82,193.12,209.12,203.52,342.26,467.24,186.02,194.64,33237.04,187.41,305.83,328.26,185.54,199.51,307.81,185.28,386.6,307.63,403.21,1729.33,194.14,171.32,185.58,242.66,291.15,362.25,330.5,193.99,400.11,244.4,331.81,197.55,198.3,263.94,372.44,331.79,306.41,185.21,307.6,305.77,328.96,245.97,185.63,431.4,230.89,221.3,421.95,411.41,306.49,185.66,7.89,193.73,195.41,413.21,299.45,324.19,186.19,185.25,402.91,305.57,188.93,375.26,315.52,315.42,200.48,306.45,207.9,364.31,874.61,936.38,199.31,194.31,307.37,187.49,194.72,338.29,188.74,359.58,306.19,301.49,195.34,381.59,287.44,311.15,211.34,310.26
1993_8,302.77,187.68,187.11,99.6,832.2,301.07,343.92,185.83,300.85,186.5,193.66,187.11,271.56,239.08,192.77,300.3,187.16,410.18,5631.05,187.2,365.47,252.88,235.76,207.52,301.32,194.88,186.2,191.38,432.88,195.27,186.47,306.83,327.91,11.49,192.65,715.32,186.91,300.58,529.19,220.96,347.62,195.78,193.77,208.97,202.38,335.88,458.43,186.68,193.63,32251.2,187.94,300.78,322.51,186.16,198.43,301.98,185.89,379.4,302.09,395.75,1694.3,192.99,170.5,186.33,239.65,286.42,355.6,324.6,194.77,392.4,242.98,325.92,196.53,197.2,264.39,365.46,326.65,300.8,185.85,302.27,300.32,323.18,244.52,186.41,423.52,229.53,219.36,414.2,403.66,301.08,186.38,7.74,192.67,194.35,405.62,294.84,318.39,186.87,185.89,395.46,300.12,189.56,368.28,310.06,309.36,199.35,301.6,206.71,357.78,857.5,915.72,198.14,193.15,302.07,188.12,193.71,331.99,189.45,353.07,300.85,296.6,194.27,374.62,285.42,305.66,210.17,304.59
1993_9,297.28,188.22,187.55,99.29,834.63,295.57,337.71,186.39,295.46,186.95,192.58,187.66,267.89,236.42,191.7,294.8,187.62,402.73,5525.08,187.76,366.05,249.4,233.22,207.24,295.68,195.38,186.77,191.86,425.04,195.71,186.97,301.33,321.97,11.27,191.61,702.32,187.47,294.62,519.31,219.63,341.26,194.68,194.35,208.8,201.23,329.59,450.17,187.17,192.51,31435.39,188.49,294.99,316.7,186.74,197.29,296.55,186.43,372.31,296.74,388.47,1661.4,191.92,169.6,186.74,236.78,281.75,349.29,318.78,195.24,384.81,241.49,320.05,195.35,196.08,265.1,358.83,320.56,295.44,186.4,297.09,294.93,317.35,243.04,186.8,415.76,227.49,217.04,406.56,396.05,295.43,186.87,7.6,191.58,193.25,397.95,290.21,312.63,187.4,186.44,388.2,294.59,190.19,361.66,304.43,303.79,198.23,295.66,205.53,351.22,841.65,895.16,196.8,192.06,296.41,188.7,192.62,325.84,189.96,346.74,295.2,291.65,193.18,367.76,283.59,300.09,208.93,299.2
1993_10,291.59,188.75,188.04,98.82,835.61,289.87,331.11,186.91,289.81,187.47,191.42,188.21,264.03,233.58,190.54,289.13,188.15,394.75,5410.69,188.25,366.21,245.82,230.55,207.01,289.96,195.81,187.32,192.37,416.67,196.07,187.5,295.55,315.72,11.04,190.44,688.4,188.04,289.25,508.87,218.25,334.63,193.53,194.86,208.49,200.01,323.09,441.21,187.69,191.37,30605.15,189.0,289.34,310.52,187.3,196.14,290.86,186.96,364.84,291.02,380.69,1626.55,190.75,168.67,187.26,233.74,276.85,342.45,312.56,195.73,376.83,239.96,313.82,194.16,194.93,265.57,351.74,314.71,289.76,186.94,291.77,289.27,311.13,241.5,187.28,407.41,225.65,214.75,398.43,388.09,289.77,187.39,7.45,190.43,192.12,390.19,285.32,306.53,187.92,186.95,380.47,288.83,190.66,354.56,298.52,297.94,197.01,290.11,204.22,344.33,824.5,874.12,195.43,190.94,290.61,189.22,191.47,319.43,190.48,339.97,289.53,286.42,192.02,360.48,281.55,294.29,207.64,293.42
