Unnamed: 0,0,1,2,3,4,5,6,7
1992_4,414.89,197.66,468.86,212.25,198.34,266.31,215.19,321.43
1992_5,414.08,196.05,467.32,211.34,197.65,265.2,214.25,320.97
1992_6,413.39,194.58,465.96,210.46,197.04,264.53,213.33,320.48
1992_7,412.38,192.92,464.22,209.39,196.27,263.18,212.26,319.74
1992_8,411.42,191.27,462.53,208.34,195.49,262.18,211.19,319.05
1992_9,410.36,189.57,460.75,207.24,194.76,261.11,210.07,318.29
1992_10,409.17,187.84,458.83,206.09,193.91,259.99,208.89,317.41
1992_11,407.84,186.08,456.76,204.93,193.02,258.71,207.69,316.49
1992_12,406.16,183.99,454.44,203.51,191.82,257.17,206.23,315.3
1993_1,400.05,184.59,446.99,202.34,191.2,254.97,205.1,311.11
1993_2,394.29,185.22,440.01,201.31,190.68,252.73,204.03,307.1
1993_3,388.43,185.79,433.02,200.45,190.28,250.67,203.04,303.14
1993_4,382.38,186.4,425.84,199.4,189.83,248.49,202.03,299.02
1993_5,376.02,186.88,418.23,198.33,189.2,246.26,200.95,294.7
1993_6,369.62,187.41,410.62,197.23,188.65,243.78,199.85,290.34
1993_7,363.3,187.96,403.13,196.2,188.14,241.48,198.78,285.97
1993_8,356.6,188.57,395.44,195.11,187.66,239.17,197.68,281.42
1993_9,350.03,189.07,387.66,193.99,187.08,236.51,196.55,276.82
1993_10,343.1,189.56,379.59,192.87,186.51,233.92,195.39,272.02
1993_11,336.08,190.0,371.4,191.67,185.83,231.23,194.15,267.13
1993_12,328.82,190.4,363.06,190.47,185.2,228.48,192.94,262.12
1994_1,331.96,192.33,366.17,190.75,183.93,230.35,193.26,264.45
1994_2,335.06,194.12,369.2,191.16,182.74,232.22,193.61,266.77
1994_3,338.15,195.73,372.28,191.51,181.46,234.1,193.98,269.07
1994_4,341.03,197.35,375.14,191.75,180.07,235.84,194.21,271.22
1994_5,343.78,198.89,377.78,191.95,178.57,237.46,194.4,273.26
1994_6,346.5,200.47,380.36,192.15,176.98,239.08,194.57,275.27
1994_7,349.01,201.93,382.87,192.3,175.37,240.6,194.71,277.18
1994_8,351.55,203.37,385.27,192.35,173.66,242.09,194.81,279.13
1994_9,353.99,204.68,387.71,192.53,171.81,243.48,194.91,280.83
1994_10,356.19,206.07,389.83,192.43,169.89,244.84,194.88,282.38
1994_11,358.29,207.26,391.61,192.43,167.82,246.11,194.84,284.05
1994_12,360.23,208.43,393.44,192.31,165.52,247.2,194.69,285.46
1995_1,365.47,213.2,398.8,194.35,169.6,251.2,196.78,289.61
1995_2,370.95,217.88,404.44,196.48,173.52,255.29,198.91,293.82
