Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,28,29,30,32,33,34,35,36,37,38,39,40,41,42,43,44,45,47,48,49,50,51,52,53,55,56,57,58,60,61,62,63,64,65,66,67,68,70,71,72,73,74,75,76,77,79,80,81,82,84,85,86,87,88,91,92,93,94,95,98,99,101,103,104,105,106,107,108,109,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,131,134,135,136,138,140,142,143,144,145,146,147,148,149
1993_1,59.61,368.12,265.34,181.95,415.05,342.17,182.66,383.12,201.42,221.34,437.49,200.1,181.62,204.02,418.4,200.09,335.7,184.09,276.75,335.7,189.22,374.97,201.79,470.06,447.76,484.91,208.66,339.87,397.69,189.08,335.35,182.5,286.88,353.16,200.23,267.48,207.36,600.99,183.33,213.62,182.87,340.0,184.93,335.76,199.95,200.24,355.99,181.65,205.71,204.37,203.39,7523.12,200.82,369.54,296.75,410.12,200.6,367.71,66.03,200.47,214.58,344.69,255.56,380.19,533.42,457.46,204.44,352.53,200.36,208.48,637.38,183.0,266.17,367.28,203.86,415.53,336.22,77895.07,338.58,573.07,186.86,386.92,352.03,575.87,182.31,335.79,227.94,622.36,379.36,335.92,206.71,1703.42,487.44,181.79,204.01,378.22,181.43,182.81,9178.06,182.46,208.21,578.73,181.88,434.33,186.33,469.78,375.02,615.05,89.3,193.1,342.17,236.62,335.3,510.65,194.49,189.18,181.61,344.7,352.26,407.11,337.59,295.15,559.9,181.61,397.43,335.29,201.22,218.25
1993_2,59.45,362.92,263.24,182.61,409.17,337.38,183.19,377.73,200.35,220.24,430.82,199.07,182.29,203.14,412.18,199.04,330.94,184.72,273.33,330.32,189.86,369.71,200.76,463.19,440.84,477.77,207.55,336.08,391.85,189.21,330.35,183.18,283.61,348.26,199.22,265.3,206.25,592.27,184.13,212.61,183.53,336.11,185.66,330.9,198.96,199.22,350.88,182.2,204.66,203.26,202.27,7409.05,199.66,364.35,293.33,404.27,199.59,362.45,65.21,199.36,213.24,339.74,253.08,374.71,525.52,450.26,203.38,347.49,199.22,207.44,626.65,183.62,263.4,362.12,202.75,409.64,331.36,77986.37,333.84,564.29,187.61,381.36,347.17,567.48,183.14,331.07,226.23,620.69,374.0,330.58,205.58,1675.79,480.56,182.47,202.95,372.76,182.11,183.64,9026.6,183.15,206.94,570.54,182.8,427.8,187.1,463.15,369.62,606.04,89.36,192.22,337.32,237.3,330.59,503.36,195.0,189.84,182.3,339.38,347.29,401.32,332.61,293.27,551.71,182.29,391.74,330.57,200.15,217.1
1993_3,59.3,357.7,261.2,183.31,403.21,332.62,183.83,372.16,199.46,219.19,424.02,198.16,182.97,201.99,406.08,198.14,326.31,185.42,270.33,325.71,190.62,364.33,199.86,456.08,433.8,470.65,206.6,332.1,385.86,189.4,325.66,183.92,280.48,343.2,198.3,263.1,205.3,583.25,184.75,211.51,184.05,332.05,186.31,326.25,198.0,198.3,345.96,182.88,203.68,202.33,201.37,7291.43,198.75,359.06,290.01,398.31,198.63,357.11,64.37,198.45,212.02,335.0,250.8,369.42,517.53,443.07,202.43,342.6,198.36,206.52,616.23,184.31,260.67,356.91,201.76,403.49,326.71,78013.77,329.14,555.38,188.1,375.89,342.1,559.0,183.68,326.42,224.66,617.37,368.51,325.9,204.55,1649.24,473.38,183.16,202.04,367.24,182.82,184.15,8881.65,183.89,205.85,561.87,183.29,421.3,187.75,456.26,364.43,596.89,89.44,191.5,332.58,238.14,325.87,495.84,195.48,190.39,183.02,334.73,342.37,395.36,327.93,291.26,543.54,183.0,386.02,325.88,199.25,216.01
1993_4,59.09,352.23,258.99,184.01,397.05,327.62,184.49,366.47,198.49,218.04,416.95,197.2,183.62,200.93,399.72,197.19,321.43,186.07,267.23,320.91,191.27,358.82,198.93,448.98,426.61,463.2,205.59,328.03,379.66,189.53,320.77,184.6,277.21,338.02,197.36,260.76,204.28,574.09,185.35,210.42,184.74,327.96,186.97,321.35,197.01,197.36,340.75,183.55,202.67,201.34,200.37,7171.79,197.8,353.57,286.47,392.18,197.65,351.52,63.5,197.5,210.74,330.0,248.36,363.75,509.34,435.69,201.43,337.47,197.38,205.52,605.35,184.96,257.79,351.48,200.73,397.28,321.84,77822.79,324.19,546.25,188.77,370.16,337.03,550.18,184.27,321.55,222.98,613.88,362.94,321.22,203.53,1621.5,466.07,183.79,201.05,361.47,183.45,184.8,8727.98,184.52,204.74,553.13,183.87,414.55,188.41,449.23,358.91,587.49,89.49,190.71,327.55,238.83,321.01,488.11,195.91,191.07,183.66,329.94,337.19,389.36,323.08,289.04,535.05,183.64,380.11,320.98,198.3,214.89
1993_5,58.89,346.51,256.67,184.53,390.59,322.38,185.02,360.44,197.41,216.83,409.64,196.13,184.22,199.83,393.07,196.12,316.32,186.62,263.77,316.24,191.84,353.1,197.76,441.29,419.16,455.37,204.45,323.73,373.23,189.47,316.24,185.1,273.73,332.56,196.21,258.23,203.17,564.27,185.9,209.23,185.25,323.51,187.49,316.53,196.0,196.28,335.24,184.06,201.6,200.25,199.26,7044.6,196.73,347.82,283.0,385.64,196.64,345.73,62.54,196.41,209.28,324.69,245.75,357.79,500.53,427.86,200.36,332.05,196.32,204.3,594.06,185.42,254.8,345.75,199.53,390.66,316.77,77890.18,319.03,536.74,189.29,364.13,331.52,540.83,184.78,316.42,221.19,610.02,356.94,316.46,202.45,1592.5,458.34,184.32,199.95,355.51,184.02,185.31,8566.72,185.25,203.42,543.79,184.37,407.46,188.93,441.75,353.06,577.63,89.46,189.76,322.33,239.43,315.93,480.01,196.25,191.59,184.21,325.06,331.77,382.81,318.02,286.7,526.13,184.18,373.79,315.95,197.2,213.66
1993_6,58.68,340.76,254.28,185.12,384.05,317.08,185.58,354.41,196.33,215.55,402.26,195.06,184.85,198.73,386.29,195.03,311.17,187.18,260.36,310.65,192.41,347.17,196.7,433.73,411.56,447.52,203.29,319.35,366.71,189.51,310.55,185.68,270.24,327.11,195.13,255.71,202.0,554.59,186.49,208.07,185.83,319.07,188.07,311.1,194.97,195.2,329.68,184.64,200.48,199.15,198.21,6918.83,195.64,342.05,279.05,379.15,195.56,339.87,61.59,195.35,207.87,319.36,243.12,351.75,491.8,420.03,199.24,326.58,195.21,203.18,582.62,185.92,251.76,340.03,198.36,384.02,311.58,77821.81,313.85,527.07,189.88,358.01,326.05,531.56,185.39,311.26,219.38,606.18,350.99,310.89,201.34,1563.14,450.55,184.92,198.84,349.4,184.63,185.89,8405.26,185.65,202.15,534.48,184.95,400.25,189.52,434.31,347.15,567.69,89.47,188.88,317.07,240.07,310.83,471.83,196.61,192.19,184.81,319.31,326.25,376.38,312.7,284.29,517.07,184.77,367.51,310.79,196.14,212.38
1993_7,58.48,334.89,251.88,185.73,377.63,311.72,186.21,348.43,195.22,214.27,394.91,193.98,185.46,197.68,379.7,193.95,305.99,187.77,256.96,305.86,193.01,341.53,195.68,426.2,404.13,439.5,202.18,314.98,360.34,189.58,305.66,186.27,266.81,321.61,194.1,253.15,200.9,545.03,187.05,206.94,186.42,314.6,188.73,305.94,193.98,194.18,324.27,185.25,199.41,198.03,197.1,6795.12,194.56,336.22,275.31,372.69,194.57,334.16,60.67,194.32,206.53,314.33,240.52,345.89,483.4,412.37,198.15,321.16,194.2,202.1,571.56,186.51,248.82,334.23,197.32,377.42,306.56,77728.43,309.15,517.81,190.48,352.08,320.79,522.3,185.96,306.34,217.6,602.16,345.04,305.83,200.25,1535.01,442.95,185.49,197.71,343.54,185.19,186.48,8248.77,186.21,200.89,525.35,185.52,393.27,190.11,426.99,341.43,557.99,89.47,188.03,311.86,240.63,305.51,463.81,196.97,192.8,185.38,314.05,320.75,370.01,307.52,281.94,508.14,185.34,361.25,305.68,195.11,211.23
1993_8,58.17,328.97,249.54,186.45,370.68,306.31,186.83,342.1,194.21,213.08,387.37,192.95,186.02,196.62,372.65,192.92,300.57,188.42,253.69,300.48,193.72,335.21,194.58,418.28,396.27,431.53,201.06,310.49,353.51,189.76,300.67,187.0,263.11,315.93,193.04,250.58,199.78,534.7,187.72,205.76,187.09,310.01,189.28,300.78,192.84,193.11,318.35,185.87,198.33,196.97,196.05,6660.57,193.53,330.27,271.87,365.86,193.42,327.96,59.61,193.28,205.01,308.61,237.88,339.6,474.25,404.42,197.11,315.36,193.11,201.0,559.96,187.1,245.53,328.32,196.03,370.6,301.16,77498.67,303.17,507.64,191.15,345.6,314.92,512.69,186.7,300.68,215.88,598.57,338.85,300.73,199.16,1503.87,434.68,186.29,196.67,337.11,185.87,187.17,8080.8,186.94,199.76,515.36,186.19,385.81,190.77,418.99,335.16,547.37,89.32,187.22,306.33,241.43,300.35,455.16,197.37,193.45,186.0,308.93,315.2,363.21,302.16,279.55,498.73,186.07,354.67,300.23,194.01,210.01
1993_9,58.07,323.04,247.13,186.89,363.98,300.81,187.42,335.93,193.11,211.82,379.86,191.87,186.58,195.49,365.69,191.85,295.2,189.0,250.01,294.65,194.22,329.23,193.5,410.53,388.6,423.57,199.92,305.96,346.81,189.63,294.57,187.46,259.49,310.23,191.96,247.93,198.64,524.95,188.27,204.59,187.62,305.38,189.87,295.11,191.76,192.03,312.62,186.46,197.22,195.85,194.88,6534.99,192.44,324.29,267.52,359.21,192.33,321.85,58.68,192.17,203.61,302.97,235.14,333.41,465.37,396.45,195.99,309.77,192.03,199.83,548.37,187.55,242.36,322.41,194.89,363.77,295.5,77598.07,297.72,497.92,191.7,339.35,309.2,503.17,187.14,295.29,213.92,594.68,332.67,295.03,197.99,1474.54,426.77,186.7,195.56,330.9,186.37,187.68,7917.24,187.42,198.36,506.01,186.73,378.55,191.3,411.48,329.1,537.27,89.47,186.33,300.75,241.94,294.84,446.82,197.73,194.02,186.57,303.26,309.45,356.62,296.57,277.17,489.55,186.53,348.21,294.79,192.94,208.79
1993_10,57.85,316.72,244.6,187.41,356.86,294.96,187.99,329.37,191.97,210.54,372.03,190.71,187.1,194.31,358.4,190.69,289.51,189.51,246.25,289.07,194.72,322.8,192.33,402.25,380.49,415.04,198.73,301.17,339.86,189.53,289.18,187.97,255.67,304.2,190.76,245.11,197.44,514.41,188.8,203.29,188.16,300.53,190.4,289.45,190.59,190.88,306.62,186.97,196.03,194.7,193.68,6399.3,191.29,317.96,263.41,352.12,191.21,315.56,57.62,191.02,202.08,297.12,232.28,326.93,455.97,388.15,194.83,303.78,190.9,198.6,536.48,188.07,239.03,316.09,193.62,356.63,289.85,77504.39,292.0,487.62,192.22,332.72,303.3,493.06,187.68,289.63,211.95,590.7,326.18,289.38,196.86,1443.45,418.32,187.2,194.4,324.34,186.91,188.21,7748.42,187.94,196.99,495.92,187.28,370.9,191.84,403.35,322.7,526.55,89.48,185.43,294.92,242.54,289.17,437.96,197.99,194.58,187.1,297.79,303.41,349.59,290.89,274.69,479.82,187.04,341.35,289.16,191.79,207.45
1993_11,57.61,310.37,242.0,187.91,349.66,289.13,188.44,322.73,190.76,209.16,364.06,189.54,187.59,193.05,350.97,189.52,283.73,189.99,242.52,283.25,195.22,316.36,191.11,393.98,372.35,406.48,197.48,296.25,332.77,189.45,283.2,188.49,251.78,298.13,189.54,242.27,196.2,503.73,189.3,201.96,188.64,295.56,190.91,283.72,189.44,189.69,300.45,187.49,194.8,193.47,192.51,6263.08,190.1,311.58,259.26,344.99,190.01,309.11,56.56,189.8,200.52,291.19,229.35,320.27,446.5,379.75,193.59,297.68,189.72,197.35,524.38,188.49,235.61,309.76,192.34,349.35,284.08,77381.85,286.16,477.34,192.76,325.97,297.23,482.89,188.2,283.84,209.94,586.57,319.62,283.43,195.6,1411.89,409.83,187.72,193.18,317.7,187.38,188.72,7573.76,188.45,195.6,485.76,187.76,363.15,192.36,395.14,316.18,515.72,89.44,184.39,289.09,243.01,283.4,429.01,198.27,195.07,187.59,291.68,297.39,342.5,285.13,272.14,469.94,187.56,334.45,283.38,190.59,206.08
1993_12,57.38,303.78,239.39,188.37,342.18,283.0,188.89,315.79,189.56,207.79,355.93,188.35,188.07,191.89,343.4,188.43,277.77,190.42,238.7,277.33,195.66,309.66,189.95,385.37,364.0,397.61,196.21,291.15,325.49,189.37,277.29,188.96,247.81,291.8,188.37,239.25,194.95,492.7,189.73,200.72,189.1,290.38,191.34,277.74,188.25,188.56,294.15,187.92,193.57,192.26,191.32,6121.22,189.04,304.91,254.91,337.52,188.84,302.49,55.44,188.78,198.92,285.09,226.38,313.46,436.59,371.18,192.37,291.41,188.52,196.11,512.12,188.89,232.13,303.16,191.03,341.79,278.14,77274.36,280.16,466.58,193.31,319.03,290.91,472.3,188.63,277.9,207.93,582.4,312.76,277.5,194.38,1379.73,400.97,188.15,191.97,310.84,187.85,189.2,7398.49,188.89,194.26,475.22,188.21,355.16,192.8,386.6,309.51,504.45,89.34,183.44,283.04,243.46,277.48,419.68,198.45,195.66,188.02,285.74,291.26,335.1,279.18,269.54,459.77,187.99,327.24,277.51,189.4,204.7
1994_1,57.56,306.78,240.2,190.14,345.57,285.85,190.83,318.89,189.88,208.06,359.02,188.71,189.85,192.14,346.63,188.69,280.6,192.35,240.36,280.12,197.48,312.82,190.24,388.94,367.16,401.34,196.5,294.11,328.48,190.62,280.1,190.72,249.51,294.74,188.62,241.59,195.24,497.27,191.62,200.96,191.11,293.24,193.12,280.57,188.63,188.86,297.05,189.79,193.92,192.54,191.59,6174.48,189.23,307.93,257.44,340.78,189.14,305.4,56.08,188.97,199.45,287.92,227.62,316.5,440.63,374.33,192.63,294.35,188.84,196.42,515.9,190.47,233.73,306.14,191.43,345.06,280.99,77864.67,283.01,470.64,195.14,322.15,293.84,476.77,190.56,280.7,208.66,582.65,315.82,280.3,194.72,1390.98,404.84,189.95,192.26,313.82,189.62,191.03,7455.55,190.66,194.68,479.69,190.24,358.36,194.6,390.37,312.53,509.19,89.95,180.86,285.88,245.61,280.33,423.75,200.29,197.49,189.81,288.56,294.0,338.36,282.0,270.17,464.07,189.76,330.4,280.31,189.71,204.97
1994_2,57.75,309.78,241.14,191.9,348.89,288.69,192.61,322.0,190.21,208.36,362.04,189.04,191.6,192.53,349.83,188.98,283.4,194.12,242.05,282.83,199.27,315.82,190.58,392.51,370.22,405.0,196.83,296.93,331.43,191.88,282.89,192.53,251.28,297.59,188.93,243.95,195.56,501.89,193.34,201.35,192.83,296.08,194.89,283.37,188.98,189.16,300.0,191.63,194.24,192.88,191.92,6226.8,189.55,310.93,259.98,344.03,189.55,308.26,56.72,189.34,199.98,290.79,228.88,319.61,444.65,377.4,193.02,297.23,189.15,196.74,519.8,192.11,235.34,309.15,191.85,348.31,283.81,78451.85,285.82,474.6,196.82,325.26,296.74,481.12,192.33,283.5,209.43,583.39,318.88,283.03,195.07,1402.28,408.62,191.71,192.6,316.75,191.37,192.81,7513.18,192.4,195.09,484.12,192.05,361.55,196.41,394.09,315.6,513.81,90.51,178.35,288.76,247.67,283.18,427.68,202.11,199.26,191.56,291.33,296.9,341.61,284.76,270.83,468.33,191.5,333.58,283.12,190.05,205.3
1994_3,57.92,312.76,242.11,193.6,352.19,291.57,194.19,324.99,190.63,208.75,365.1,189.41,193.27,193.03,353.02,189.38,286.21,195.75,243.92,285.71,201.07,318.84,190.92,395.98,373.3,408.62,197.24,299.78,334.37,193.16,285.68,194.19,253.01,300.51,189.29,246.24,195.97,506.3,195.02,201.75,194.38,298.91,196.65,286.15,189.31,189.53,302.91,193.26,194.64,193.29,192.34,6277.48,189.93,313.9,262.5,347.23,189.9,311.16,57.33,189.64,200.56,293.67,230.19,322.62,448.53,380.51,193.39,300.18,189.57,197.11,523.65,193.69,236.88,312.12,192.27,351.53,286.57,78852.81,288.63,478.59,198.54,328.37,299.58,485.45,193.93,286.3,210.24,584.13,321.88,286.1,195.44,1413.5,412.39,193.44,193.0,319.63,193.07,194.45,7570.52,194.16,195.68,488.42,193.51,364.73,198.15,397.7,318.6,518.4,91.05,175.73,291.57,249.85,285.87,431.61,203.96,200.95,193.34,294.59,299.8,344.76,287.57,271.66,472.68,193.27,336.72,285.88,190.41,205.66
1994_4,58.09,315.53,242.94,195.26,355.26,294.2,195.79,327.85,190.88,208.99,367.91,189.67,194.94,193.11,356.03,189.64,288.82,197.39,245.44,288.39,202.75,321.69,191.2,399.28,376.18,412.06,197.49,302.44,337.11,194.35,288.29,195.81,254.59,303.21,189.5,248.4,196.22,510.51,196.7,201.89,196.02,301.58,198.31,288.78,189.55,189.81,305.67,194.8,194.86,193.53,192.59,6325.4,190.21,316.67,264.84,350.22,190.14,313.83,57.93,189.93,200.99,296.36,231.36,325.53,452.17,383.41,193.64,302.9,189.84,197.36,527.17,195.2,238.27,314.88,192.56,354.54,289.2,79632.55,291.29,482.32,200.2,331.3,302.28,489.47,195.56,288.95,210.9,584.51,324.71,288.58,195.64,1423.78,415.93,195.07,193.26,322.36,194.75,196.09,7622.51,195.81,195.92,492.52,195.12,367.75,199.81,401.12,321.5,522.75,91.53,172.96,294.21,251.85,288.49,435.27,205.67,202.64,194.95,296.96,302.5,347.74,290.25,272.23,476.69,194.89,339.61,288.49,190.67,205.88
