Unnamed: 0,0,2,3,4,5,6,7,8,9
1997_11,442.68,502.52,215.99,367.24,272.26,375.79,310.33,724.32,274.04
1997_12,443.97,503.54,217.33,368.68,273.94,376.48,311.27,724.51,274.22
1998_1,443.88,503.05,219.68,370.95,279.44,376.2,312.21,722.6,273.88
1998_2,443.86,502.61,221.99,373.18,284.84,375.99,313.19,720.81,273.68
1998_3,443.79,502.15,224.22,375.32,290.1,375.72,314.09,718.92,273.31
1998_4,443.42,501.5,226.36,377.35,295.14,375.16,314.79,716.85,272.74
1998_5,443.3,500.83,228.33,379.31,300.02,374.78,315.54,714.63,272.26
1998_6,443.13,500.24,230.32,381.22,304.84,374.42,316.28,712.71,271.87
1998_7,442.79,499.55,232.2,382.96,309.47,373.94,316.91,710.46,271.35
1998_8,442.49,498.84,234.06,384.68,313.98,373.48,317.51,708.41,270.86
1998_9,442.11,498.01,235.82,386.29,318.34,372.95,318.03,706.15,270.36
1998_10,441.63,497.12,237.42,387.79,322.53,372.35,318.46,703.73,269.76
1998_11,441.09,496.19,238.97,389.2,326.58,371.73,318.85,701.26,269.17
1998_12,440.42,494.98,240.41,390.48,330.42,370.94,319.09,698.49,268.5
1999_1,438.5,492.46,240.34,389.43,330.55,369.2,318.17,693.89,267.3
1999_2,436.45,489.87,240.29,388.31,330.61,367.4,317.26,689.19,266.07
1999_3,434.35,487.22,240.17,387.17,330.63,365.39,316.29,684.53,264.39
1999_4,432.27,484.51,240.1,385.98,330.79,363.59,315.2,679.83,263.03
1999_5,429.95,481.85,239.98,384.74,330.78,361.66,314.33,675.04,261.76
1999_6,427.86,478.97,239.81,383.48,330.74,359.75,313.11,669.92,260.17
1999_7,425.7,476.16,239.71,382.28,330.8,357.77,312.12,664.52,258.81
1999_8,423.38,473.41,239.48,380.92,330.68,355.77,310.96,660.28,257.32
1999_9,421.22,470.65,239.36,379.66,330.73,353.91,309.96,655.51,255.92
1999_10,418.89,467.79,239.17,378.3,330.66,351.89,308.82,650.57,254.39
1999_11,416.56,464.89,238.97,376.95,330.59,349.82,307.67,645.75,252.87
1999_12,414.23,461.98,238.7,375.56,330.43,347.77,306.55,640.7,251.38
2000_1,414.25,461.73,239.41,375.98,331.33,348.05,306.9,639.45,252.06
2000_2,414.36,461.59,240.15,376.46,332.3,348.35,307.29,638.47,252.59
2000_3,414.39,461.38,240.86,376.82,333.2,348.59,307.6,637.29,253.0
2000_4,414.32,461.01,241.53,377.12,334.06,348.71,307.87,636.01,253.28
2000_5,414.0,460.35,242.06,377.28,334.75,348.68,307.94,634.21,253.55
2000_6,413.7,459.76,242.59,377.41,335.4,348.63,308.06,632.57,253.85
2000_7,413.42,459.26,243.14,377.55,336.12,348.67,308.21,631.04,254.15
2000_8,413.13,458.7,243.67,377.64,336.79,348.7,308.32,629.49,254.48
2000_9,412.72,457.99,244.14,377.65,337.38,348.58,308.36,627.72,254.74
2000_10,412.29,457.22,244.52,377.65,337.93,348.39,308.28,625.86,254.86
2000_11,411.82,456.47,244.9,377.58,338.4,348.26,308.28,623.96,255.12
2000_12,411.21,455.52,245.25,377.47,338.84,347.97,308.12,621.93,255.24
2001_1,410.93,455.0,244.98,377.37,338.69,347.29,307.59,619.98,254.39
2001_2,410.69,454.39,244.73,377.13,338.43,346.63,307.05,617.94,253.48
2001_3,410.57,453.92,244.56,376.94,338.26,346.03,306.55,616.14,252.45
2001_4,410.31,453.3,244.32,376.66,338.04,345.38,305.93,614.15,251.45
2001_5,409.98,452.51,243.99,376.34,337.71,344.57,305.31,611.95,250.38
2001_6,409.66,451.8,243.66,376.04,337.38,343.79,304.63,609.87,249.35
2001_7,409.29,451.09,243.33,375.68,337.04,342.99,303.94,607.77,248.26
2001_8,408.92,450.3,243.02,375.3,336.7,342.18,303.25,605.67,247.2
2001_9,408.54,449.55,242.65,374.89,336.33,341.45,302.57,603.55,246.18
2001_10,408.11,448.76,242.28,374.46,335.93,340.58,301.83,601.56,245.07
2001_11,407.56,447.85,241.78,373.96,335.43,339.64,300.98,599.19,243.81
2001_12,406.98,446.89,241.38,373.36,334.85,338.69,300.19,596.87,242.74
2002_1,407.1,446.67,241.43,373.65,335.28,339.02,300.48,595.54,243.3
2002_2,407.41,446.72,241.66,374.09,336.01,339.55,301.0,594.66,244.06
2002_3,407.59,446.69,241.84,374.4,336.56,339.91,301.37,593.62,244.44
2002_4,407.75,446.51,242.03,374.69,337.13,340.25,301.74,592.52,244.95
2002_5,407.71,446.15,242.1,374.92,337.6,340.39,301.95,591.14,245.33
2002_6,407.67,445.7,242.12,375.07,337.98,340.54,302.17,589.6,245.73
2002_7,407.63,445.25,242.17,375.21,338.37,340.55,302.4,588.2,246.06
2002_8,407.62,445.19,242.25,375.38,338.82,340.96,302.67,587.07,246.6
2002_9,407.54,444.77,242.23,375.42,339.14,341.13,302.84,585.59,246.99
2002_10,407.36,444.35,242.16,375.45,339.46,341.26,302.96,584.14,247.35
2002_11,407.09,443.73,242.02,375.39,339.66,341.23,303.0,582.46,247.65
2002_12,406.76,443.03,241.84,375.16,339.67,341.12,303.0,580.68,247.82
2003_1,410.08,446.62,243.07,378.07,341.81,343.51,305.04,584.31,249.28
2003_2,414.23,450.68,244.7,381.52,344.51,346.73,307.65,588.94,251.27
2003_3,417.88,454.44,246.07,384.59,346.8,349.34,309.87,593.04,252.68
2003_4,421.6,458.16,247.47,387.6,349.16,352.03,312.12,597.05,254.2
2003_5,425.17,461.86,248.8,390.62,351.39,354.72,314.36,600.93,255.78
2003_6,428.93,465.66,250.14,393.61,353.62,357.46,316.68,605.14,257.37
2003_7,432.39,469.16,251.52,396.66,355.92,359.97,318.82,608.83,258.82
2003_8,436.07,472.85,252.89,399.68,358.22,362.66,321.08,612.82,260.32
2003_9,439.72,476.56,254.16,402.65,360.47,365.34,323.29,616.75,261.92
2003_10,443.24,480.17,255.43,405.6,362.66,367.91,325.43,620.63,263.42
2003_11,446.53,483.71,256.48,408.22,364.53,370.43,327.39,624.01,264.7
2003_12,449.87,486.77,257.67,411.1,366.63,372.66,329.41,627.44,266.08
2004_1,453.72,490.78,260.15,414.66,369.97,376.63,332.84,631.83,269.79
2004_2,457.2,494.33,262.49,417.92,373.03,380.22,336.03,635.6,273.3
2004_3,460.68,497.84,264.81,421.15,376.11,383.82,339.2,639.28,276.55
2004_4,464.03,501.15,267.06,424.35,379.12,387.24,342.25,642.82,279.74
2004_5,467.37,504.49,269.3,427.5,382.09,390.7,345.31,646.29,283.07
2004_6,470.65,507.79,271.54,430.62,385.03,394.15,348.35,649.63,286.38
2004_7,473.99,511.16,273.79,433.77,388.0,397.61,351.44,653.17,289.7
2004_8,477.38,514.53,276.06,436.94,391.02,401.14,354.5,656.73,293.02
2004_9,480.74,517.97,278.27,440.06,393.98,404.7,357.62,660.34,296.4
2004_10,484.0,521.24,280.46,443.16,396.94,408.08,360.6,663.74,299.64
2004_11,487.24,524.48,282.63,446.24,399.83,411.5,363.59,667.12,302.92
2004_12,490.46,527.7,284.74,449.27,402.62,414.85,366.58,670.4,306.18
2005_1,495.55,533.04,287.47,453.32,405.67,419.25,370.33,675.95,309.6
2005_2,500.79,538.46,290.12,458.11,409.21,423.71,374.02,682.45,312.86
2005_3,506.17,543.91,293.14,462.47,412.77,428.13,378.17,688.66,316.07
2005_4,511.42,549.32,295.98,466.89,416.16,432.51,382.03,694.76,319.32
2005_5,516.61,554.65,298.75,471.22,419.49,436.87,385.81,700.83,322.51
2005_6,521.72,559.91,301.41,475.45,422.68,441.21,389.6,706.54,325.75
2005_7,526.88,565.22,304.23,479.79,426.03,445.59,393.43,712.5,329.02
2005_8,532.15,570.62,307.01,484.16,429.38,450.0,397.28,718.58,332.3
2005_9,537.27,575.92,309.69,488.42,432.65,454.31,401.04,724.44,335.5
2005_10,542.46,581.23,312.4,492.75,435.94,458.73,404.86,730.41,338.74
2005_11,547.5,586.44,315.04,496.99,439.12,462.98,408.55,736.15,341.92
2005_12,552.51,591.51,317.57,501.16,442.17,467.25,412.22,741.72,345.31
2006_1,563.93,603.4,319.75,508.47,444.68,474.56,417.26,755.44,348.35
2006_2,575.43,615.45,322.21,516.39,447.74,482.06,422.48,769.31,351.21
2006_3,586.68,627.18,324.58,523.8,450.44,489.25,427.54,782.93,353.95
2006_4,597.75,638.53,326.7,531.14,453.05,496.49,432.48,796.07,356.95
2006_5,608.73,649.97,328.81,538.27,455.46,503.48,437.25,809.04,359.57
2006_6,619.76,661.49,330.99,545.51,458.0,510.67,442.19,822.2,362.41
2006_7,630.62,672.79,333.05,552.62,460.37,517.67,446.94,835.04,365.14
2006_8,641.61,684.15,335.21,559.72,462.83,524.75,451.8,848.04,367.93
2006_9,652.39,695.37,337.18,566.7,465.17,531.71,456.48,860.75,370.59
2006_10,663.04,706.36,339.14,573.53,467.41,538.61,461.15,873.2,373.32
2006_11,673.61,717.31,340.97,580.41,469.56,545.33,465.67,885.54,375.83
2006_12,684.16,728.16,342.98,587.11,471.66,552.11,470.24,897.71,378.46
2007_1,694.99,739.71,347.19,595.98,477.93,560.09,477.3,908.66,383.69
2007_2,704.88,748.5,350.85,603.91,483.56,567.07,483.55,920.01,388.34
2007_3,713.44,758.26,353.87,610.57,488.24,574.65,488.78,931.22,392.86
2007_4,723.31,768.41,357.6,618.47,493.9,582.39,495.05,942.62,397.5
2007_5,732.94,778.19,361.17,626.09,499.34,589.63,501.09,953.35,402.11
2007_6,742.46,788.05,364.73,633.8,504.75,597.0,507.07,964.14,406.75
