Unnamed: 0,0,1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1994_2,294.28,201.75,283.49,254.94,193.07,192.02,514.71,215.82,217.64,191.73,388.37,194.35,321.22,192.01,222.56,193.27,195.3,454.81,206.6,266.88,279.59,189.56,300.73,325.23,165.56,292.3,356.73,327.01,332.97
1994_3,297.17,199.82,286.22,256.95,194.61,193.7,518.63,216.81,219.21,192.11,391.97,194.77,324.29,193.62,224.62,193.63,195.73,458.9,208.48,269.44,282.34,189.91,303.67,328.15,165.36,295.14,359.99,329.98,335.96
1994_4,299.85,197.72,288.85,258.79,196.24,195.35,522.22,217.66,220.56,192.37,395.34,194.91,327.15,195.18,226.57,193.87,196.01,462.75,210.26,271.84,284.86,190.15,306.43,330.76,165.1,297.84,363.06,332.71,338.75
1994_5,302.36,195.48,291.35,260.57,197.75,196.92,525.55,218.42,221.87,192.58,398.57,195.11,329.85,196.71,228.4,194.06,196.22,466.32,211.94,274.1,287.2,190.35,309.04,333.3,164.78,300.34,365.98,335.34,341.4
1994_6,304.94,193.11,293.81,262.31,199.33,198.47,528.69,219.16,223.12,192.73,401.76,195.28,332.48,198.26,230.27,194.24,196.38,469.78,213.63,276.39,289.61,190.56,311.58,335.72,164.4,302.82,368.9,337.89,344.01
1994_7,307.28,190.68,296.17,263.98,200.78,199.92,531.73,219.83,224.31,192.89,404.73,195.44,335.05,199.73,232.0,194.37,196.52,473.14,215.21,278.49,291.83,190.72,314.03,338.18,164.05,305.24,371.58,340.28,346.45
1994_8,309.62,188.11,298.6,265.57,202.22,201.35,534.75,220.49,225.48,192.99,407.73,195.52,337.56,201.14,233.71,194.47,196.65,476.44,216.77,280.6,294.04,190.8,316.45,340.46,163.63,307.6,374.25,342.72,348.94
1994_9,311.93,185.37,300.64,267.18,203.55,202.62,537.73,221.13,226.59,193.02,410.59,195.61,340.05,202.37,235.36,194.59,196.72,479.8,218.28,282.63,296.1,190.91,318.81,342.86,163.13,309.96,376.84,345.0,351.25
1994_10,314.01,182.51,302.61,268.45,204.91,204.01,540.24,221.54,227.62,193.04,413.28,195.63,342.2,203.78,236.95,194.53,196.71,482.66,219.73,284.56,298.14,190.82,320.87,344.88,162.63,312.04,379.13,347.07,353.43
1994_11,316.08,179.45,304.71,269.88,206.05,205.23,542.29,222.1,228.57,193.01,415.66,195.56,344.31,205.02,238.38,194.5,196.73,485.16,221.03,286.32,300.12,190.84,322.99,346.6,162.03,313.96,381.48,348.97,355.32
1994_12,317.89,176.08,306.5,271.09,207.24,206.33,544.48,222.41,229.37,192.87,417.92,195.38,346.23,206.17,239.77,194.37,196.58,487.69,222.24,287.99,301.77,190.72,324.84,348.43,161.31,315.84,383.54,350.85,357.21
