Unnamed: 0,0,2,3,5,6,7,8,9,10,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,34,36,37,38,39,40,41,43,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,98,100,101,103,104,107,108,111,112,113,114,115,116,117,118,119,123,124,125,127,128,129,130,131,132,133,134,135,136,137,138,140,141,144,145,146,148,149
1993_1,335.52,192.88,199.87,341.66,500.94,200.22,402.24,335.77,401.75,201.42,240.77,400.71,335.45,335.4,199.87,400.84,202.23,193.49,181.54,214.13,336.08,491.83,181.61,182.34,203.23,183.68,176.56,351.15,335.57,195.64,224.69,363.62,608.75,197.55,573.84,336.1,844.24,134.28,393.79,199.8,565.45,252.37,514.98,389.06,337.79,530.89,184.83,340.54,402.7,181.81,902.01,346.02,260.35,448.66,337.13,336.06,336.91,382.41,335.68,350.21,185.1,204.85,336.84,224.45,335.73,202.75,392.06,354.73,182.62,182.52,200.28,418.45,561.97,201.42,480.54,200.7,26.72,381.6,207.82,401.08,215.62,217.31,186.1,183.49,183.24,336.16,209.47,181.65,305.9,200.74,202.71,345.36,248.36,183.31,267.69,336.68,448.68,181.64,386.09,201.76,202.52,182.5,182.9,401.35,413.4,352.24,43357.64,443.3,4011.4,200.36,340.0,211.82,184.07,205.43,392.51,207.5,403.33,346.52,181.85,251.57,369.35,204.29,386.84,182.03
1993_2,330.29,193.56,198.86,336.86,493.56,199.18,396.53,331.05,396.03,200.25,239.16,394.79,330.75,330.47,198.75,395.2,201.33,194.22,182.22,213.73,331.33,484.71,182.27,183.18,202.14,184.49,175.68,346.88,330.59,196.34,224.01,358.45,598.6,198.31,570.77,331.32,830.89,133.92,388.22,198.73,557.2,250.41,507.63,383.4,333.1,523.33,185.53,335.82,396.91,182.52,888.8,341.15,258.59,441.75,332.37,330.95,331.69,376.87,330.25,345.32,185.71,203.79,332.09,222.81,330.94,201.59,386.54,349.78,183.51,183.04,199.28,412.5,558.8,200.26,472.91,199.61,26.36,376.22,206.77,395.23,214.16,216.16,186.85,184.1,183.97,331.4,208.2,182.32,301.69,199.68,201.62,340.61,245.73,183.96,266.96,331.95,441.67,182.21,380.62,200.66,202.07,183.2,183.53,395.71,407.5,347.18,41858.27,436.55,3950.84,200.39,338.73,212.5,184.78,204.36,391.04,206.38,397.6,341.67,182.81,249.22,364.12,203.2,381.67,182.71
1993_3,325.66,194.14,197.95,332.11,486.06,198.26,390.64,326.38,390.14,199.37,237.63,388.76,326.02,325.82,197.85,389.31,200.41,194.9,182.9,213.49,326.66,477.48,182.99,183.69,201.22,185.04,174.92,342.39,325.93,197.1,223.33,353.2,588.32,199.01,567.74,326.67,817.93,133.59,382.47,197.81,548.92,248.58,500.01,377.97,328.36,515.47,186.05,331.03,391.1,183.23,874.97,336.32,256.75,434.96,327.71,326.31,327.06,371.54,325.59,340.41,186.44,202.81,327.39,221.22,326.33,200.67,380.79,344.7,184.02,183.68,198.32,406.44,555.76,199.36,465.24,198.74,26.0,370.68,205.78,389.46,212.86,215.16,187.5,184.74,184.41,326.75,207.08,183.02,297.91,198.78,200.71,335.65,243.48,184.66,266.1,327.3,434.6,182.88,375.07,199.76,201.77,183.89,184.11,389.91,401.56,342.36,40487.57,429.93,3888.48,200.44,336.91,213.28,185.39,203.4,388.85,205.45,391.66,336.83,183.3,246.99,358.89,202.17,377.0,183.47
1993_4,320.85,194.72,197.01,327.15,478.34,197.31,384.67,321.51,384.18,198.41,235.91,382.51,321.15,320.92,196.92,383.36,199.46,195.56,183.56,213.07,321.76,470.0,183.62,184.31,200.24,185.71,174.11,337.84,321.03,197.8,222.55,347.69,577.73,199.74,564.52,321.8,804.37,133.04,376.59,196.88,540.32,246.6,492.22,372.25,323.41,507.47,186.75,325.95,385.11,183.85,861.04,331.26,254.83,427.91,322.83,321.51,322.24,365.86,320.94,335.27,187.09,201.8,322.47,219.54,321.46,199.7,375.02,339.5,184.6,184.33,197.33,400.23,552.16,198.4,457.33,197.77,25.62,365.06,204.78,383.41,211.47,214.06,188.16,185.31,185.09,321.87,205.87,183.72,294.04,197.83,199.75,330.7,241.21,185.33,265.17,322.4,427.38,183.56,369.34,198.79,201.41,184.56,184.75,384.0,395.41,337.28,39169.38,423.0,3825.53,200.38,335.02,213.93,186.01,202.41,386.5,204.41,385.7,331.77,183.87,244.66,353.4,201.15,371.99,184.15
1993_5,315.88,195.19,195.92,321.91,470.31,196.25,378.27,316.37,377.77,197.34,234.14,376.02,316.08,316.32,195.81,377.0,198.37,196.11,184.15,212.76,316.75,462.05,184.2,184.82,199.17,186.22,173.13,333.01,316.35,198.32,221.61,341.99,566.78,200.32,560.76,316.67,790.16,132.67,370.36,195.79,531.27,244.51,484.02,366.19,318.29,498.95,187.23,320.89,378.71,184.39,846.14,325.99,252.72,420.45,317.66,316.57,317.45,359.87,316.25,329.85,187.64,200.74,317.39,217.77,316.33,198.6,368.81,333.99,185.11,184.87,196.35,393.74,548.63,197.31,449.05,196.7,25.22,359.05,203.62,377.15,209.97,212.87,188.69,185.77,185.59,316.74,204.55,184.24,289.93,196.76,198.59,325.31,238.6,185.86,264.03,317.26,419.83,184.06,363.23,197.71,200.88,185.11,185.3,377.66,388.87,331.93,37951.02,415.74,3757.89,200.25,332.86,214.42,186.55,201.31,383.97,203.27,379.23,326.42,184.36,242.13,347.64,200.07,367.1,184.64
1993_6,310.64,195.68,194.84,316.67,462.12,195.15,371.89,311.24,371.38,196.21,232.28,369.43,310.98,310.66,194.74,370.62,197.26,196.7,184.77,212.07,311.52,454.17,184.81,185.41,198.03,186.79,172.22,328.11,310.81,198.91,220.71,336.21,555.86,200.97,557.25,311.5,775.68,132.2,364.15,194.73,522.06,242.38,475.72,360.1,312.99,490.48,187.83,315.49,372.33,185.0,831.34,320.59,250.63,412.93,312.44,311.17,311.94,353.81,310.58,324.44,188.2,199.64,312.2,215.97,311.18,197.51,362.63,328.54,185.72,185.42,195.26,387.08,545.09,196.23,440.72,195.59,24.82,353.05,202.5,370.74,208.44,211.62,189.27,186.31,186.17,311.61,203.23,184.84,285.52,195.69,197.53,319.96,236.04,186.45,262.95,312.08,412.17,184.64,357.16,196.62,200.41,185.71,185.87,371.37,382.34,326.53,36807.17,408.39,3691.45,200.11,330.84,214.99,187.13,200.19,381.38,202.21,372.85,321.07,184.94,239.61,341.87,198.98,361.43,185.23
1993_7,305.46,196.19,193.79,311.88,454.23,194.09,365.55,306.15,365.08,195.12,230.43,363.02,305.63,305.63,193.67,364.27,196.15,197.29,185.38,211.56,306.4,446.31,185.37,185.99,196.95,187.38,171.37,323.23,305.79,199.55,219.79,330.59,544.67,201.64,553.93,306.49,761.79,131.74,357.97,193.72,512.94,240.22,467.65,354.27,307.79,482.16,188.43,310.33,365.93,185.55,816.89,315.25,248.5,405.7,307.26,306.09,307.06,347.94,305.77,318.92,188.79,198.57,307.07,214.3,306.03,196.45,356.5,323.02,186.28,186.05,194.28,380.69,541.4,195.13,432.71,194.53,24.43,347.0,201.43,364.42,206.94,210.41,189.95,186.82,186.76,306.32,201.91,185.45,281.26,194.55,196.46,314.83,233.53,187.03,261.91,307.29,404.64,185.25,351.12,195.59,199.98,186.29,186.48,365.16,375.83,321.14,35735.95,401.18,3625.53,199.96,328.51,215.53,187.72,199.09,378.84,201.05,366.53,315.62,185.51,237.18,335.99,197.89,356.08,185.84
1993_8,300.19,196.76,192.75,305.89,445.49,193.07,358.96,300.67,358.32,194.1,228.65,356.13,300.47,300.74,192.72,357.74,195.12,197.93,185.96,211.21,301.06,438.11,186.07,186.69,195.88,188.07,170.51,318.19,300.75,200.23,218.9,324.47,533.8,202.25,549.93,300.88,747.03,131.07,351.48,192.66,503.6,238.14,458.83,347.72,302.35,473.06,189.14,304.89,359.3,186.19,801.09,309.78,246.34,397.95,301.79,300.84,301.57,341.58,300.6,313.35,189.43,197.48,301.58,212.33,300.62,195.36,350.0,317.3,187.02,186.68,193.12,373.61,537.64,194.11,424.06,193.47,23.99,340.82,200.28,357.76,205.42,209.19,190.5,187.57,187.44,300.99,200.65,186.22,277.29,193.55,195.39,309.06,231.08,187.73,260.82,301.48,396.82,185.88,344.75,194.49,199.61,186.9,187.11,358.44,368.98,315.57,34677.04,393.56,3555.19,199.92,326.52,216.18,188.38,198.01,376.36,199.94,359.86,310.15,186.19,234.48,330.02,196.82,350.93,186.55
1993_9,294.66,197.26,191.68,300.39,437.22,191.97,352.4,295.27,351.88,193.0,226.79,349.41,294.97,294.71,191.56,351.16,194.04,198.54,186.51,210.58,295.49,430.0,186.56,187.18,194.77,188.58,169.56,313.1,294.82,200.73,217.91,318.45,522.75,202.99,546.75,295.53,732.2,130.82,345.08,191.57,494.33,235.98,450.46,341.4,296.87,464.51,189.64,299.36,352.75,186.76,786.18,304.13,244.17,390.31,296.45,295.15,295.86,335.35,294.8,307.73,190.01,196.35,296.12,210.5,295.22,194.27,343.69,311.57,187.47,187.26,192.02,366.87,534.37,192.99,415.6,192.39,23.59,334.62,199.17,351.17,203.89,208.04,191.09,187.88,187.97,295.61,199.26,186.61,272.6,192.46,194.29,303.47,228.32,188.25,259.67,296.06,389.08,186.47,338.49,193.39,199.13,187.47,187.67,352.1,362.28,309.95,33800.33,386.12,3487.88,199.68,324.39,216.71,188.93,196.88,373.85,198.76,353.29,304.55,186.72,231.9,324.1,195.68,345.2,187.02
1993_10,288.87,197.68,190.51,294.61,428.4,190.84,345.45,289.62,344.92,191.85,224.86,342.38,289.29,289.2,190.39,344.31,192.89,199.03,187.03,209.94,289.8,421.4,187.08,187.71,193.61,189.12,168.56,307.8,289.3,201.23,216.83,312.25,511.3,203.53,543.12,289.84,717.06,130.33,338.33,190.43,484.48,233.73,441.48,334.76,291.18,455.27,190.17,293.59,345.78,187.3,770.21,298.19,241.79,382.31,290.73,289.52,290.2,328.82,289.21,301.75,190.54,195.19,290.46,208.53,289.53,193.13,336.94,305.5,188.02,187.84,190.91,359.66,530.64,191.84,406.86,191.27,23.14,328.07,197.93,344.22,202.25,206.77,191.63,188.31,188.47,289.9,197.82,187.12,268.04,191.31,193.12,297.71,225.54,188.75,258.34,290.39,380.94,186.97,331.87,192.27,198.69,187.99,188.23,345.21,355.16,304.05,32906.6,378.31,3415.95,199.45,322.16,217.23,189.45,195.71,371.2,197.55,346.3,298.63,187.27,229.15,317.75,194.55,339.43,187.51
