Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,30,31,32,33,36,37,38,39
1993_10,298.12,437.98,319.14,191.24,185.99,289.78,187.69,204.58,338.13,302.67,282.01,334.95,189.42,196.07,188.2,187.7,287.53,195.93,223.44,238.67,191.78,191.0,424.17,508.19,191.49,400.67,194.6,196.15,239.29,198.86,187.58,377.73,214.2,302.06,216.28
1993_11,292.14,429.03,312.69,190.03,185.21,284.0,188.21,202.79,331.29,296.64,276.51,328.03,189.9,194.85,188.69,188.18,281.88,194.69,221.49,235.39,190.6,189.8,415.41,496.84,191.97,391.9,193.33,194.91,237.25,197.41,188.07,370.13,213.03,296.01,215.04
1993_12,286.05,419.71,306.1,188.96,184.48,278.06,188.71,200.97,324.15,290.35,270.94,320.91,190.34,193.62,189.15,188.62,276.16,193.47,219.53,232.06,189.4,188.63,406.27,485.35,192.44,382.92,192.05,193.7,235.07,195.93,188.54,362.18,211.78,289.79,213.67
1994_1,288.91,423.76,309.09,189.19,182.91,280.9,190.44,201.67,327.31,293.26,273.55,323.93,192.21,193.93,191.15,190.53,278.93,193.8,220.1,233.47,189.77,188.94,410.04,489.02,194.18,386.04,192.38,193.98,237.37,196.42,190.33,365.7,213.82,292.7,215.77
1994_2,291.79,427.71,312.13,189.53,181.41,283.73,192.23,202.36,330.47,296.14,276.12,326.88,194.04,194.23,192.9,192.34,281.7,194.14,220.74,234.93,190.13,189.35,413.79,492.85,195.93,389.13,192.74,194.33,239.63,196.88,192.08,369.15,215.83,295.59,217.81
1994_3,294.62,431.63,315.1,189.88,179.82,286.47,193.91,203.04,333.53,299.06,278.8,329.84,195.67,194.64,194.44,193.94,284.49,194.52,221.45,236.41,190.46,189.69,417.47,496.6,197.68,392.24,193.18,194.72,241.9,197.39,193.77,372.6,217.86,298.46,219.81
1994_4,297.27,435.28,317.94,190.16,178.11,289.1,195.54,203.59,336.44,301.73,281.23,332.6,197.29,194.9,196.07,195.51,287.05,194.74,221.99,237.74,190.7,189.93,420.91,500.06,199.35,395.12,193.48,194.94,244.03,197.78,195.43,375.84,219.75,301.19,221.7
1994_5,299.81,438.79,320.57,190.36,176.29,291.6,197.1,204.11,339.2,304.26,283.48,335.23,198.82,195.09,197.57,197.05,289.51,194.93,222.45,238.96,190.91,190.14,424.18,503.24,200.91,397.75,193.71,195.15,246.03,198.1,197.02,378.92,221.55,303.74,223.48
1994_6,302.31,442.23,323.15,190.52,174.37,294.06,198.64,204.58,341.96,306.85,285.8,337.81,200.4,195.24,199.15,198.6,291.96,195.11,222.86,240.15,191.1,190.34,427.46,506.28,202.46,400.34,193.89,195.3,248.07,198.41,198.56,382.05,223.31,306.26,225.29
1994_7,304.73,445.46,325.68,190.67,172.42,296.42,200.09,205.01,344.51,309.19,287.95,340.23,201.84,195.37,200.6,200.07,294.22,195.24,223.22,241.28,191.25,190.51,430.43,509.19,203.92,402.87,194.04,195.47,249.94,198.64,200.04,384.87,225.0,308.68,226.95
1994_8,307.05,448.7,328.15,190.79,170.37,298.85,201.53,205.4,347.04,311.55,290.07,342.69,203.32,195.49,202.04,201.49,296.49,195.34,223.59,242.4,191.33,190.59,433.4,512.09,205.34,405.24,194.19,195.56,251.81,198.86,201.45,387.72,226.63,311.06,228.62
1994_9,309.37,451.82,330.61,190.83,168.18,300.9,202.79,205.83,349.49,313.87,292.09,344.98,204.62,195.54,203.38,202.72,298.54,195.46,223.89,243.48,191.44,190.69,436.29,514.93,206.71,407.67,194.28,195.58,253.6,199.08,202.72,390.4,228.22,313.37,230.21
1994_10,311.32,454.72,332.82,190.83,165.9,302.87,204.19,206.0,351.69,315.94,293.99,347.13,205.94,195.47,204.74,204.13,300.77,195.45,224.08,244.29,191.33,190.61,438.82,517.37,208.06,409.8,194.31,195.61,255.33,199.1,204.12,392.93,229.77,315.41,231.77
1994_11,313.4,457.27,334.77,190.79,163.47,304.97,205.43,206.3,353.92,317.99,295.96,349.02,207.19,195.46,205.86,205.37,302.67,195.39,224.28,245.26,191.35,190.63,441.42,519.36,209.25,411.52,194.34,195.57,256.91,199.26,205.32,395.3,231.16,317.5,233.14
1994_12,315.26,459.69,336.7,190.68,160.8,306.76,206.5,206.44,355.9,319.84,297.49,350.9,208.3,195.32,207.06,206.52,304.46,195.24,224.33,245.97,191.24,190.51,443.68,521.43,210.35,413.3,194.2,195.39,258.39,199.21,206.43,397.53,232.43,319.33,234.44
