Unnamed: 0,1,2,3,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,29,30,31,32,35,36,37,40,41,42,43,44,45,46,47,48,49,50,51,53,54,56,57,58,59,60,61,62,64,67,68,69,71,72,73,74,75,76,77,78,79,81,82,83,84,86,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,106,107,108,109,110,111,112,113,114,115,117,118,119,120,122,123,124,125,126,127,128,129,131,132,133,134,135,136,137,138,139,140,141,142,145,146,148,150,151,152,153,154,155,156,157,158,159,162,164,165,166,167,168,169,170,171,173,174,175,176,177,179,180,181,182,183,184,185,186,187,189,190,191,192,193,196,197,198,199
1993_1,367.92,561.39,199.82,219.36,475.96,335.27,423.62,219.51,23.65,336.21,378.39,335.64,335.72,199.85,2188.36,425.1,202.01,196.92,181.55,182.15,409.44,384.78,230.16,341.45,182.45,200.43,181.61,335.4,182.04,203.37,427.87,335.15,200.17,406.33,183.13,208.34,509.59,181.63,644.67,205.26,207.24,348.03,335.62,206.05,187.14,187.28,200.13,29.2,379.3,532.66,191.94,336.18,425.48,844.24,241.47,865.66,392.56,414.88,181.95,199.8,597.04,355.71,255.84,182.18,336.43,401.54,335.26,183.2,1099.9,500.12,185.4,2563.79,200.34,216.24,345.85,420.22,678.6,343.0,400.87,145.51,336.46,365.8,335.91,454.25,798.45,181.68,184.58,200.28,226.67,200.46,336.16,203.93,416.53,358.07,182.29,246.39,182.55,181.59,335.63,394.0,997.53,201.51,200.67,184.37,378.47,239.99,214.36,186.49,181.91,183.0,163.6,199.74,203.51,473.08,181.55,314.87,385.04,206.53,337.15,200.69,202.28,200.08,345.45,222.82,29.55,392.33,182.62,336.41,181.44,448.84,338.21,181.67,411.68,201.94,184.79,182.52,163.11,351.77,93.42,520.49,318.96,1460.31,2746.06,181.46,200.59,183.63,218.0,213.16,199.86,183.37,212.01,181.93,297.48,206.56,431.8,344.56,182.29,47478.25,544.5,336.35,377.9,389.21,208.21,371.93,241.48,335.47,181.75
1993_2,363.01,558.82,198.81,218.31,469.22,330.58,417.32,218.26,23.35,331.43,373.07,330.68,330.47,198.65,2155.67,419.08,201.08,197.64,182.23,182.96,404.04,379.13,230.83,336.67,183.12,199.43,182.26,330.82,182.92,202.28,421.8,330.06,199.14,404.91,183.89,207.2,502.32,182.33,635.47,204.16,206.57,343.77,330.68,205.02,187.9,187.97,200.35,28.8,373.82,529.79,192.66,331.41,419.0,830.89,239.38,864.05,387.02,408.92,182.65,198.69,587.64,350.7,253.69,182.86,331.71,395.68,330.55,183.93,1083.5,492.77,186.09,2548.09,199.27,215.12,341.0,414.29,667.76,338.15,395.02,145.25,331.46,360.55,330.47,447.89,795.45,182.37,185.2,199.28,225.13,199.45,331.35,202.84,410.58,353.08,183.24,245.46,183.06,182.21,330.24,388.45,991.67,200.33,199.58,185.04,373.02,237.92,213.18,187.26,182.57,183.78,162.7,198.71,202.63,471.33,182.23,310.36,379.65,205.42,332.34,199.63,201.2,198.9,340.69,220.95,29.13,387.02,183.26,331.67,182.13,441.86,335.43,182.21,405.82,200.83,185.49,183.25,162.91,346.72,92.96,512.03,317.63,1463.22,2704.78,182.15,199.58,184.34,216.81,213.83,198.81,184.12,210.93,182.58,295.98,205.49,425.58,339.72,182.9,46740.25,536.33,331.59,372.55,383.71,207.13,366.77,240.03,330.04,182.42
1993_3,357.92,554.87,197.89,217.28,462.19,325.9,411.21,217.24,23.03,326.79,367.56,326.01,325.71,197.78,2121.88,412.77,200.16,198.3,182.91,183.51,398.93,373.52,231.67,331.91,183.84,198.47,182.99,326.23,183.46,201.35,415.6,325.49,198.21,402.46,184.46,206.24,494.84,183.04,625.72,203.18,206.04,339.3,326.02,203.93,188.48,188.7,200.57,28.37,368.24,526.94,193.4,326.76,412.58,817.93,237.44,862.51,381.28,402.92,183.36,197.79,578.55,345.68,251.67,183.61,327.02,390.06,325.81,184.63,1066.67,485.25,186.62,2533.22,198.34,214.1,336.16,408.19,657.2,333.4,389.05,145.0,326.81,355.51,325.83,441.28,790.63,183.08,185.94,198.32,223.76,198.53,326.73,201.91,404.4,347.96,183.73,244.28,183.7,182.9,325.63,382.77,985.92,199.43,198.71,185.71,367.72,236.05,212.2,187.9,183.27,184.22,161.92,197.8,201.72,468.63,182.96,306.31,374.02,204.49,327.7,198.73,200.3,198.01,335.73,219.42,28.71,381.42,183.95,327.02,182.85,434.78,332.49,182.88,399.85,199.94,186.16,183.8,162.57,341.89,92.54,503.56,315.92,1466.84,2662.24,182.87,198.69,185.03,215.85,214.62,197.92,184.7,209.94,183.29,294.29,204.57,419.15,334.92,183.57,45986.48,528.23,326.94,367.18,378.07,206.13,362.14,238.64,325.4,183.15
1993_4,352.78,550.8,196.95,216.13,455.03,321.06,404.85,216.15,22.71,321.92,362.02,321.12,320.97,196.83,2087.48,406.39,199.21,198.92,183.56,184.13,393.66,367.7,232.38,326.93,184.5,197.48,183.62,321.44,184.04,200.37,409.21,320.75,197.29,399.95,185.14,205.22,487.15,183.67,615.94,202.18,205.45,334.76,321.12,202.9,189.13,189.4,200.71,27.95,362.4,523.91,194.04,321.89,405.94,804.37,235.38,859.16,375.43,396.72,183.98,196.86,569.0,340.46,249.49,184.32,322.13,384.14,320.93,185.23,1049.47,477.6,187.32,2517.03,197.4,213.0,331.1,401.97,646.15,328.42,382.88,144.61,321.98,350.11,321.24,434.54,785.38,183.75,186.59,197.33,222.26,197.56,321.86,200.93,398.21,342.69,184.29,243.1,184.35,183.56,320.86,376.95,979.29,198.47,197.74,186.36,362.13,234.03,211.12,188.58,183.9,184.89,161.11,196.84,200.75,465.71,183.6,302.16,368.37,203.49,322.78,197.77,199.34,197.07,330.78,217.85,28.27,375.66,184.63,322.13,183.48,427.55,329.45,183.56,393.69,198.96,186.83,184.43,161.76,336.81,92.06,494.83,314.18,1468.34,2619.25,183.5,197.76,185.67,214.74,215.26,196.96,185.3,208.91,183.91,292.42,203.54,412.69,329.89,184.26,45227.25,519.77,322.03,361.57,372.33,205.11,357.2,237.09,320.65,183.85
1993_5,347.26,546.43,195.88,214.95,447.47,315.94,398.09,214.86,22.36,316.78,356.02,316.55,316.21,195.74,2051.05,399.61,198.12,199.45,184.16,184.64,387.96,361.58,233.02,321.71,185.03,196.48,184.21,316.4,184.53,199.3,402.57,315.52,196.17,397.19,185.64,204.09,479.01,184.19,605.43,201.1,204.67,329.94,316.4,201.79,189.65,189.96,200.73,27.48,356.37,520.38,194.59,316.74,398.93,790.16,233.17,857.71,369.23,390.1,184.52,195.76,559.05,334.9,247.2,184.85,317.06,377.87,315.89,185.77,1031.3,469.32,187.81,2499.82,196.32,211.8,325.83,395.3,634.54,323.16,376.48,144.24,316.95,344.42,316.53,427.42,779.86,184.3,187.14,196.32,220.63,196.49,316.71,199.83,391.54,337.13,184.8,241.6,184.89,184.08,316.16,370.87,972.67,197.38,196.67,186.91,356.23,231.86,209.96,189.12,184.41,185.37,160.15,195.78,199.66,462.66,184.15,297.79,362.27,202.34,317.69,196.71,198.18,196.01,325.39,216.06,27.8,369.54,185.15,316.99,184.03,420.02,326.11,184.06,387.11,197.88,187.35,184.96,161.55,331.46,91.54,485.73,312.2,1470.87,2573.1,184.04,196.62,186.23,213.57,215.75,195.88,185.86,207.74,184.54,290.46,202.42,405.74,324.6,184.78,44411.57,510.92,316.93,355.67,366.17,204.02,352.34,235.55,316.02,184.34
1993_6,341.75,541.9,194.8,213.68,439.85,310.81,391.26,213.64,22.01,311.61,350.08,310.84,310.88,194.66,2014.85,392.78,197.0,199.99,184.78,185.24,382.14,355.36,233.65,316.48,185.63,195.4,184.8,311.34,185.12,198.16,395.79,310.34,195.11,394.41,186.21,202.96,470.88,184.81,595.01,199.99,203.98,325.06,310.9,200.69,190.25,190.55,200.78,27.03,350.26,517.08,195.22,311.57,391.84,775.68,230.96,855.26,363.03,383.51,185.14,194.69,549.02,329.38,244.85,185.37,311.9,371.57,310.81,186.37,1013.12,461.24,188.4,2483.38,195.26,210.56,320.44,388.69,622.89,317.83,369.95,143.84,311.66,338.67,310.75,420.2,774.27,184.9,187.7,195.28,219.09,195.43,311.55,198.75,384.91,331.59,185.39,240.22,185.45,184.64,310.61,364.66,966.07,196.29,195.56,187.47,350.26,229.68,208.72,189.71,185.02,185.96,159.24,194.71,198.54,459.47,184.74,293.03,356.19,201.23,312.45,195.63,197.12,194.9,320.04,214.29,27.34,363.44,185.74,311.82,184.64,412.37,322.8,184.65,380.6,196.78,187.97,185.53,161.06,326.05,91.04,476.57,310.22,1472.84,2527.86,184.64,195.56,186.83,212.42,216.33,194.82,186.42,206.55,185.12,288.45,201.3,398.84,319.27,185.39,43603.73,501.96,311.71,349.75,360.03,202.89,346.7,233.77,310.35,184.94
1993_7,336.19,537.54,193.76,212.39,432.39,305.66,384.67,212.36,21.67,306.57,344.21,305.84,305.58,193.59,1979.61,386.02,195.9,200.58,185.39,185.81,376.34,349.32,234.21,311.7,186.19,194.42,185.36,306.21,185.7,197.08,389.29,305.11,194.04,391.7,186.8,201.81,462.87,185.36,584.81,198.91,203.33,320.2,305.85,199.62,190.81,191.16,200.84,26.58,344.28,513.96,195.87,306.57,384.94,761.79,228.78,852.76,356.87,376.95,185.69,193.69,539.2,323.88,242.47,186.0,306.8,365.55,305.4,186.91,995.31,453.19,189.01,2467.78,194.24,209.35,315.16,382.16,611.56,312.54,363.65,143.49,306.59,333.08,305.82,413.21,768.57,185.48,188.29,194.28,217.44,194.47,306.48,197.69,378.33,326.0,185.95,238.72,186.08,185.24,305.9,358.64,959.38,195.22,194.51,188.06,344.34,227.52,207.56,190.37,185.58,186.54,158.37,193.63,197.4,456.25,185.33,288.47,350.1,200.12,307.35,194.5,196.05,193.81,314.95,212.6,26.89,357.39,186.32,306.89,185.2,404.84,319.56,185.26,374.12,195.76,188.56,186.13,160.51,320.65,90.56,467.66,308.18,1474.47,2482.83,185.21,194.55,187.38,211.09,216.86,193.7,187.0,205.41,185.7,286.41,200.18,391.96,313.84,185.97,42808.56,493.13,306.62,343.74,353.96,201.79,341.4,232.07,305.61,185.57
1993_8,330.5,533.34,192.72,211.24,424.29,300.29,377.52,211.18,21.29,300.98,337.92,300.92,300.33,192.65,1940.79,379.01,194.87,201.18,185.99,186.6,370.36,342.88,235.08,305.7,186.89,193.26,186.08,300.98,186.37,196.01,381.99,300.08,193.07,389.06,187.49,200.72,454.25,185.98,573.56,197.84,202.71,315.17,300.76,198.51,191.45,191.98,200.94,26.08,337.86,510.26,196.47,300.95,377.57,747.03,226.56,849.16,350.41,370.07,186.32,192.61,528.61,318.09,240.16,186.7,301.33,358.77,300.28,187.59,976.15,444.62,189.71,2447.09,193.19,208.13,309.66,375.12,599.61,306.99,356.76,142.86,301.21,327.03,300.81,405.6,763.25,186.09,188.92,193.14,215.83,193.27,300.98,196.57,371.41,320.23,186.62,237.34,186.7,185.91,300.29,352.06,952.24,194.19,193.45,188.75,338.15,225.36,206.34,190.95,186.41,187.22,157.49,192.59,196.38,453.33,185.94,284.26,343.88,198.99,302.06,193.48,194.99,192.81,309.14,210.93,26.39,350.86,186.97,301.24,185.84,397.01,316.2,185.87,367.28,194.66,189.16,186.78,159.72,315.07,89.87,458.25,306.38,1474.88,2434.76,185.86,193.47,188.01,209.95,217.52,192.72,187.65,204.27,186.43,284.51,199.09,384.75,308.4,186.64,41966.06,483.85,301.11,337.61,347.59,200.71,336.31,230.6,300.39,186.28
1993_9,324.79,529.07,191.63,210.0,416.57,294.86,370.5,210.03,20.95,295.65,331.9,294.88,294.82,191.51,1904.43,372.01,193.79,201.74,186.52,187.0,364.47,336.51,235.56,300.19,187.38,192.17,186.57,295.66,186.9,194.9,375.07,294.53,191.87,386.29,188.01,199.58,445.96,186.58,563.12,196.69,201.99,310.09,294.9,197.37,192.02,192.32,200.96,25.62,331.52,507.21,197.1,295.59,370.42,732.2,224.21,847.97,344.02,363.32,186.9,191.53,518.51,312.32,237.78,187.16,295.88,352.21,294.78,188.14,957.88,436.41,190.22,2437.06,192.09,206.92,304.03,368.45,587.71,301.53,350.11,142.7,295.59,321.11,295.16,398.23,757.83,186.66,189.5,192.06,214.13,192.23,295.59,195.48,364.62,314.45,187.15,235.95,187.29,186.48,294.5,345.7,946.13,193.06,192.36,189.34,332.06,223.08,205.23,191.55,186.76,187.75,156.58,191.53,195.28,450.26,186.49,279.21,337.59,197.89,296.41,192.41,193.89,191.72,303.54,209.01,25.92,344.64,187.54,295.83,186.38,389.29,312.76,186.45,360.6,193.56,189.75,187.33,159.53,309.46,89.55,448.96,304.43,1478.97,2388.89,186.41,192.4,188.6,208.72,218.03,191.62,188.22,203.09,186.87,282.51,197.95,377.71,302.88,187.15,41156.1,474.78,295.7,331.53,341.26,199.58,330.61,228.61,294.49,186.73
1993_10,318.78,524.59,190.47,208.75,408.29,289.2,363.18,208.71,20.56,289.94,325.38,289.39,288.99,190.31,1865.27,364.69,192.64,202.21,187.04,187.54,358.54,329.8,236.15,294.42,187.92,191.05,187.08,290.1,187.43,193.74,367.7,288.76,190.75,383.5,188.55,198.39,437.1,187.1,551.84,195.56,201.28,304.8,289.35,196.19,192.52,192.82,200.9,25.12,324.97,503.8,197.67,289.91,362.9,717.06,221.78,845.45,337.3,356.13,187.44,190.39,507.81,306.31,235.28,187.74,290.25,345.35,289.12,188.68,938.31,427.55,190.74,2421.4,190.95,205.64,298.07,361.21,575.35,295.71,343.12,142.28,289.93,314.9,289.48,390.42,752.15,187.18,190.04,190.9,212.4,191.07,289.89,194.32,357.4,308.32,187.7,234.43,187.87,186.98,288.9,338.97,939.31,191.89,191.24,189.78,325.58,220.71,203.98,192.09,187.25,188.26,155.62,190.37,194.09,447.01,187.03,274.31,331.04,196.67,290.68,191.25,192.72,190.59,297.78,207.11,25.42,337.96,188.05,290.14,186.94,381.15,309.02,186.98,353.48,192.43,190.27,187.89,158.98,303.55,89.04,439.36,302.42,1480.6,2339.72,186.94,191.23,189.09,207.47,218.57,190.5,188.75,201.87,187.38,280.44,196.74,370.17,296.99,187.69,40292.72,465.2,290.05,325.05,334.56,198.37,324.89,226.72,288.98,187.25
