Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,26,27,28,31,32,33,34,35,37,38,39,40,41,43,44,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,63,64,66,67,68,69,70,72,73,74,75,76,77,79,80,81,82,83,84,85,86,87,88,89,90,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,113,114,115,117,118,120,121,122,123,124,125,126,127,128,129,130,132,133,135,136,137,138,139,143,144,146,147,148,149
1993_1,203.49,335.87,312.09,182.81,203.98,530.87,182.07,184.78,217.23,182.82,359.23,711.59,1056.01,182.22,503.43,535.67,356.45,360.13,335.52,320.75,338.88,401.39,181.84,323.05,257.95,204.83,409.27,486.96,200.77,335.72,200.18,181.45,335.56,185.95,199.91,385.89,200.36,211.74,201.09,349.46,335.51,204.56,204.78,364.44,463.98,522.92,215.48,426.77,338.13,432.54,13.65,335.16,206.64,329.28,479.04,186.6,359.77,338.14,184.97,339.13,201.2,215.78,199.19,415.46,359.67,602.15,655.23,182.02,226.7,379.23,187.18,233.91,422.35,367.95,182.24,202.51,181.44,1021.2,188.84,206.57,185.88,182.03,335.96,7858.02,948.41,342.53,198.7,191.82,209.07,1511.68,205.79,200.9,335.72,188.25,336.07,204.88,234.36,200.42,336.65,383.28,373.63,181.48,181.77,425.87,188.81,359.91,420.43,183.89,254.29,335.09,889.58,454.29,336.34,427.5,199.73,422.16,209.35,160.33,182.04,183.32,182.15,334.2,436.11,364.51,222.23,202.72,248.7,335.58,182.31
1993_2,202.22,330.99,308.37,183.45,202.87,522.58,182.72,185.47,216.1,183.62,354.17,701.28,1040.47,183.06,495.29,528.18,351.51,355.06,330.8,316.09,334.04,395.64,182.53,318.9,255.89,203.71,403.48,479.79,199.66,331.01,199.14,182.13,330.15,186.61,198.78,380.39,199.36,210.63,200.05,344.51,330.47,203.51,203.67,359.29,457.26,515.41,214.11,420.64,333.37,425.93,13.46,330.44,205.53,325.11,472.3,187.39,354.67,333.41,185.72,334.27,200.1,214.66,198.37,409.35,354.66,593.4,652.01,182.75,224.97,373.76,187.87,232.55,416.1,362.74,182.97,201.44,182.12,1005.06,189.55,206.49,186.44,182.55,331.29,7738.88,933.09,337.66,199.35,192.6,208.17,1514.07,204.73,199.81,330.58,188.94,331.36,203.84,233.2,199.24,331.73,381.89,368.41,182.2,182.43,419.55,189.46,354.93,414.43,184.71,252.8,330.37,873.77,447.77,331.56,421.37,198.74,415.77,208.29,159.45,182.7,183.99,182.82,329.52,429.9,359.41,222.28,201.66,247.46,330.41,183.01
1993_3,201.24,326.34,304.61,184.16,201.94,514.17,183.46,185.98,215.09,184.26,349.1,690.55,1024.48,183.55,487.13,520.19,346.38,349.88,326.13,311.93,329.37,389.86,183.24,314.86,253.92,202.78,397.45,472.52,198.76,326.33,198.23,182.84,325.48,187.31,197.88,374.81,198.4,209.65,199.14,339.76,325.78,202.55,202.76,354.14,450.54,507.71,212.87,414.33,328.7,419.46,13.25,325.71,204.54,321.2,465.28,187.87,349.5,328.69,186.39,329.55,199.21,213.6,197.71,403.43,349.47,584.41,649.52,183.39,223.4,368.39,188.58,231.43,409.93,357.56,183.52,200.52,182.81,988.98,190.25,206.53,187.17,183.21,326.57,7616.89,918.21,332.95,200.06,193.27,207.06,1516.65,203.79,198.91,326.0,189.7,326.7,202.73,232.06,198.35,327.08,379.74,362.98,182.83,183.12,413.44,190.01,349.72,408.31,185.24,251.58,325.69,857.85,441.18,326.93,415.06,197.78,409.25,207.34,158.67,183.42,184.71,183.55,324.87,423.53,354.22,222.32,200.75,246.14,325.79,183.76
1993_4,200.21,321.43,300.68,184.76,200.95,505.52,184.11,186.68,214.0,184.86,343.8,679.66,1008.16,184.17,478.74,512.14,341.2,344.53,321.27,307.65,324.46,383.89,183.91,310.56,251.77,201.78,391.35,465.04,197.8,321.5,197.3,183.47,320.8,187.96,196.94,369.06,197.41,208.61,198.2,334.61,320.9,201.55,201.75,348.73,443.54,499.78,211.57,407.91,323.81,412.73,13.05,320.83,203.53,316.88,458.11,188.51,344.06,323.77,187.03,324.58,198.24,212.53,196.98,397.22,344.2,575.26,646.58,184.0,221.72,362.76,189.28,230.22,403.48,352.12,184.13,199.57,183.45,972.33,190.89,206.52,187.83,183.88,321.69,7492.81,902.66,327.95,200.7,193.97,206.01,1514.89,202.81,197.94,321.21,190.35,321.81,201.7,230.8,197.4,322.24,377.49,357.49,183.5,183.82,407.05,190.59,344.49,402.01,185.88,250.21,320.8,841.6,434.37,322.03,408.69,196.78,402.54,206.31,157.86,184.09,185.36,184.24,320.03,417.02,348.83,222.2,199.76,244.76,320.98,184.45
1993_5,199.0,316.69,296.49,185.44,199.88,496.58,184.63,187.17,212.8,185.4,338.24,668.08,990.85,184.66,469.99,503.54,335.64,338.95,316.17,303.17,319.26,377.5,184.45,306.07,249.62,200.67,384.83,457.25,196.72,316.34,196.19,184.03,316.09,188.5,195.88,362.96,196.42,207.43,197.06,329.22,316.37,200.47,200.66,343.08,436.18,491.42,210.1,401.07,318.65,405.58,12.83,315.8,202.45,312.95,450.53,189.03,338.45,318.63,187.56,319.49,197.16,211.3,196.08,390.74,338.61,565.45,643.35,184.53,219.92,356.88,189.82,228.85,396.69,346.37,184.69,198.42,184.04,954.92,191.45,206.31,188.37,184.4,316.66,7360.18,886.41,322.69,201.27,194.52,204.86,1518.48,201.66,196.87,316.01,190.93,316.67,200.61,229.47,196.3,317.08,374.99,351.61,184.01,184.34,400.26,191.02,338.88,395.28,186.4,248.68,315.77,824.82,427.14,316.96,401.8,195.78,395.58,205.17,156.91,184.63,185.89,184.74,315.01,410.22,343.16,221.96,198.67,243.21,316.18,184.93
1993_6,197.85,311.19,292.32,185.86,198.74,487.5,185.23,187.76,211.6,186.0,332.65,656.54,973.62,185.24,461.16,494.98,330.08,333.24,311.02,298.25,314.05,371.16,185.05,301.48,247.22,199.56,378.31,449.3,195.64,311.2,195.12,184.64,310.51,189.06,194.78,356.88,195.34,206.27,196.0,323.74,310.67,199.36,199.53,337.39,428.75,483.05,208.66,394.26,313.39,398.39,12.61,310.71,201.33,307.97,442.88,189.62,332.75,313.4,188.14,314.24,196.06,210.07,195.26,384.17,333.07,555.76,640.16,185.13,218.1,350.89,190.4,227.5,389.84,340.64,185.25,197.35,184.66,937.34,192.05,206.17,188.94,184.97,311.61,7229.46,869.91,317.37,201.88,195.13,203.75,1519.46,200.59,195.79,310.79,191.47,311.53,199.52,228.08,195.22,311.92,372.49,345.75,184.57,184.94,393.42,191.5,333.25,388.62,186.98,247.25,310.56,807.99,419.91,311.74,394.98,194.76,388.51,204.02,156.02,185.22,186.46,185.32,309.89,403.28,337.47,221.81,197.57,241.68,310.69,185.51
1993_7,196.7,306.03,288.08,186.39,197.66,478.72,185.8,188.35,210.38,186.55,326.99,645.27,956.72,185.82,452.43,486.6,324.49,327.75,305.94,293.55,308.99,364.83,185.65,296.82,244.93,198.45,371.82,441.6,194.6,306.0,194.12,185.2,305.67,189.66,193.69,350.84,194.35,205.17,194.97,318.43,305.75,198.31,198.4,331.62,421.05,474.82,207.3,387.5,308.42,391.47,12.4,305.32,200.23,303.47,435.44,190.21,327.2,308.13,188.73,309.07,195.02,208.92,194.47,377.76,327.49,546.18,637.24,185.69,216.28,344.95,191.01,226.2,383.24,334.87,185.84,196.27,185.25,919.76,192.64,206.11,189.53,185.59,306.17,7100.62,854.0,312.18,202.52,195.85,202.64,1519.89,199.53,194.68,305.59,192.06,306.85,198.45,226.69,194.15,306.87,369.95,339.94,185.18,185.55,386.77,192.04,327.84,381.98,187.56,245.75,305.49,791.0,412.69,306.64,388.24,193.77,381.56,202.88,155.15,185.77,187.07,185.96,304.84,396.56,331.72,221.68,196.49,240.11,305.71,186.09
1993_8,195.67,300.92,283.79,187.1,196.58,469.15,186.53,189.05,209.19,187.22,321.22,632.99,938.46,186.49,443.51,477.32,318.75,321.71,300.44,289.08,303.36,358.2,186.25,292.17,242.91,197.36,365.12,433.17,193.53,300.71,193.04,185.86,300.35,190.33,192.69,344.48,193.2,203.99,193.91,312.7,300.75,197.22,197.33,325.74,413.68,465.92,205.76,380.31,302.71,384.04,12.18,300.18,199.16,298.91,427.29,190.89,321.17,302.77,189.41,303.73,193.94,207.71,193.71,370.71,321.66,535.88,633.41,186.42,214.52,338.73,191.82,224.9,375.98,328.88,186.49,195.23,185.84,901.93,193.27,206.1,190.17,186.21,301.17,6960.4,837.18,306.53,203.01,196.4,201.51,1519.12,198.37,193.69,300.45,192.79,300.96,197.36,225.41,193.23,301.4,367.59,333.8,185.83,186.28,379.57,192.53,321.85,374.97,188.24,244.38,300.01,774.42,405.13,301.4,381.09,192.62,374.27,201.72,154.3,186.5,187.67,186.64,299.41,389.2,325.89,221.49,195.41,238.53,300.42,186.85
1993_9,194.36,295.19,279.43,187.56,195.46,460.05,186.99,189.57,207.99,187.77,315.44,621.26,921.04,187.02,434.59,468.76,312.96,315.88,295.07,283.95,297.95,351.67,186.81,287.39,240.14,196.24,358.39,425.13,192.45,295.24,191.96,186.39,294.62,190.82,191.61,338.17,192.1,202.82,192.81,307.07,294.69,196.12,196.2,319.88,405.99,457.4,204.33,373.38,297.34,376.73,11.95,294.7,198.0,294.13,419.56,191.42,315.23,297.31,189.93,298.07,192.85,206.53,192.84,363.93,315.84,526.1,630.76,186.9,212.59,332.59,192.16,223.54,369.01,323.01,187.05,194.09,186.4,884.38,193.88,205.95,190.75,186.79,295.63,6829.78,820.3,301.03,203.61,197.09,200.41,1522.14,197.28,192.6,294.91,193.27,295.53,196.21,224.04,192.04,295.83,365.11,327.8,186.46,186.71,372.53,193.0,316.02,368.15,188.77,242.85,294.62,757.55,397.78,295.71,374.13,191.55,367.05,200.62,153.4,187.06,188.28,187.1,294.02,382.11,319.98,221.26,194.32,236.93,294.7,187.31
1993_10,193.11,289.53,274.82,188.05,194.31,450.42,187.5,190.09,206.72,188.3,309.28,608.78,902.38,187.56,425.32,459.45,306.93,309.71,289.38,278.99,292.2,344.74,187.33,282.46,237.58,195.04,351.38,416.58,191.33,289.58,190.81,186.93,288.95,191.36,190.47,331.55,190.98,201.51,191.65,301.17,289.31,194.94,195.02,313.63,397.98,448.31,202.77,366.0,291.63,369.07,11.71,289.03,196.86,289.25,411.25,191.93,309.1,291.57,190.45,292.28,191.72,205.23,191.95,356.77,309.66,515.55,627.57,187.41,210.6,326.07,192.65,222.01,361.65,316.69,187.62,192.92,186.92,865.66,194.37,205.86,191.28,187.35,290.0,6687.95,803.06,295.26,204.09,197.62,199.12,1522.63,196.07,191.45,289.14,193.78,289.86,195.06,222.62,190.87,290.16,362.54,321.39,186.89,187.23,365.16,193.42,309.98,360.86,189.3,241.31,288.98,740.2,389.9,290.02,366.69,190.38,359.53,199.42,152.45,187.52,188.79,187.61,288.43,374.61,313.76,220.96,193.15,235.15,289.08,187.8
