Unnamed: 0,0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,30,31,32,33,34,35,37,38,39
1993_9,352.97,238.11,225.99,294.55,306.67,197.22,189.82,207.78,351.53,196.48,316.23,192.67,304.28,493.67,296.75,593.71,154.77,378.88,188.06,196.68,292.38,343.78,286.97,192.0,297.39,199.43,442.98,295.13,263.66,188.84,198.03,305.34,295.37,196.17,330.08,199.77,189.21
1993_10,346.02,234.88,223.43,289.05,301.38,196.03,190.3,206.04,344.49,195.35,310.11,191.54,298.36,483.81,291.04,581.67,153.81,371.36,188.61,195.49,287.01,337.07,281.78,190.86,291.61,198.23,433.46,289.46,259.59,189.24,197.62,299.66,289.69,195.0,323.62,198.72,189.62
1993_11,339.01,231.68,220.83,283.14,295.92,194.8,190.75,204.28,337.34,194.11,303.87,190.35,292.45,473.87,285.22,569.19,152.82,363.8,189.08,194.24,281.57,330.26,276.47,189.66,285.83,196.96,423.83,283.73,255.38,189.61,197.1,293.95,283.94,193.78,317.11,197.63,190.04
1993_12,331.68,228.44,218.17,277.24,290.26,193.56,191.15,202.47,329.99,192.9,297.45,189.15,286.25,463.51,279.25,556.62,151.87,355.92,189.53,193.05,275.92,323.19,271.06,188.55,279.85,195.74,413.99,277.75,251.14,189.94,196.63,287.99,278.02,192.56,310.33,196.63,190.36
1994_1,334.89,229.77,219.24,280.03,293.16,193.89,193.08,203.12,333.06,193.23,300.44,189.52,289.12,467.92,282.1,561.44,151.92,359.33,191.44,193.35,278.53,326.39,273.61,188.81,282.67,196.05,417.21,280.59,253.1,191.74,195.3,290.83,280.86,192.85,313.4,197.08,192.24
1994_2,338.11,231.15,220.31,282.8,296.03,194.24,194.89,203.78,336.07,193.58,303.38,189.87,291.99,472.23,284.91,566.38,152.09,362.72,193.23,193.72,281.07,329.6,276.18,189.14,285.69,196.39,420.43,283.39,255.02,193.51,194.04,293.68,283.7,193.16,316.4,197.59,194.02
1994_3,341.21,232.7,221.41,285.65,298.86,194.6,196.49,204.45,339.08,193.93,306.31,190.23,294.87,476.47,287.68,571.23,152.17,366.09,194.84,194.16,283.77,332.69,278.69,189.5,288.32,196.79,423.66,286.17,257.26,195.25,192.7,296.52,286.42,193.57,319.43,198.01,195.71
1994_4,344.18,233.95,222.38,288.25,301.54,194.84,198.13,204.98,341.89,194.17,309.09,190.46,297.53,480.47,290.32,575.75,152.21,369.2,196.44,194.28,286.26,335.64,281.04,189.78,290.94,196.97,426.63,288.8,258.93,196.91,191.23,299.16,289.06,193.84,322.24,198.47,197.35
1994_5,346.97,235.1,223.25,290.69,304.05,195.02,199.66,205.47,344.57,194.37,311.71,190.66,300.03,484.24,292.84,580.0,152.21,372.18,197.98,194.48,288.51,338.45,283.28,189.99,293.42,197.17,429.34,291.25,260.57,198.5,189.64,301.66,291.53,194.03,324.91,198.83,198.88
1994_6,349.77,236.27,224.1,293.19,306.61,195.21,201.23,205.92,347.19,194.53,314.27,190.86,302.59,488.05,295.31,584.01,152.15,375.15,199.54,194.65,290.8,341.19,285.49,190.14,295.89,197.33,431.99,293.76,262.29,200.05,187.96,304.18,293.99,194.18,327.62,199.15,200.46
1994_7,352.37,237.36,224.88,295.48,308.96,195.34,202.7,206.32,349.65,194.67,316.74,191.0,304.91,491.53,297.67,587.86,152.13,377.87,201.01,194.82,292.97,343.82,287.62,190.3,298.25,197.52,434.56,296.05,263.84,201.53,186.22,306.49,296.35,194.29,330.07,199.42,201.92
1994_8,354.95,238.47,225.64,297.77,311.32,195.43,204.16,206.69,352.14,194.77,319.16,191.09,307.26,495.04,300.14,591.82,152.06,380.59,202.43,194.9,295.11,346.38,289.68,190.4,300.61,197.59,437.0,298.33,265.41,202.95,184.38,308.82,298.65,194.41,332.54,199.66,203.38
1994_9,357.42,239.47,226.38,299.88,313.59,195.55,205.5,207.1,354.48,194.89,321.53,191.21,309.56,498.35,302.17,595.65,151.91,383.3,203.72,194.98,297.2,348.87,291.73,190.43,302.8,197.63,439.49,300.51,266.96,204.3,182.4,311.07,300.83,194.45,334.92,199.82,204.75
1994_10,359.65,240.28,226.88,302.07,315.69,195.47,206.89,207.24,356.66,194.92,323.6,191.13,311.57,501.48,304.15,599.0,151.81,385.61,205.11,195.0,299.02,351.12,293.45,190.45,304.78,197.62,441.65,302.67,268.25,205.67,180.33,313.11,302.82,194.43,337.04,199.98,206.1
1994_11,361.9,241.34,227.54,304.08,317.72,195.45,208.02,207.54,358.57,194.84,325.71,191.13,313.66,504.28,306.24,601.76,151.6,388.0,206.34,194.92,300.96,353.35,295.24,190.44,306.9,197.59,443.39,304.62,269.58,206.89,178.09,315.12,304.93,194.44,339.23,200.07,207.28
1994_12,363.91,241.85,227.95,305.83,319.56,195.31,209.22,207.62,360.47,194.67,327.58,191.03,315.49,506.93,308.04,604.73,151.26,390.06,207.49,194.75,302.53,355.38,296.87,190.32,308.68,197.41,445.15,306.42,270.71,208.0,175.61,316.94,306.7,194.28,341.15,200.06,208.43
1995_1,369.2,245.05,230.81,310.42,324.55,197.39,213.98,210.04,365.66,196.75,332.46,193.08,320.21,514.19,312.71,613.04,152.53,395.72,212.3,196.86,306.9,360.61,301.27,192.38,313.36,199.51,450.95,311.04,274.53,212.61,180.48,321.76,311.33,196.39,346.21,202.46,213.09
1995_2,374.75,248.35,233.69,315.18,329.71,199.53,218.74,212.49,371.1,198.88,337.5,195.18,325.1,521.81,317.44,621.78,153.7,401.63,216.89,199.0,311.55,366.15,305.75,194.48,318.1,201.66,457.04,315.79,278.45,217.23,185.22,326.77,316.07,198.48,351.45,204.91,217.79
1995_3,380.21,251.7,236.6,319.97,334.79,201.67,223.28,214.94,376.29,201.04,342.55,197.27,330.02,529.23,322.19,630.34,154.97,407.44,221.49,201.13,316.28,371.44,310.23,196.67,322.96,203.87,463.01,320.6,282.5,221.86,189.98,331.71,320.9,200.7,356.59,207.42,222.38
1995_4,385.49,255.0,239.5,324.97,339.74,203.81,227.79,217.39,381.33,203.18,347.42,199.36,334.76,536.48,326.84,638.59,156.14,413.15,226.0,203.25,320.76,376.74,314.61,198.71,327.52,206.01,468.63,325.3,286.47,226.42,194.52,336.58,325.49,202.79,361.74,209.85,227.01
1995_5,390.66,257.89,242.29,329.09,344.57,205.86,232.22,219.75,386.41,205.23,352.24,201.4,339.35,543.49,331.43,646.71,157.27,418.6,230.4,205.32,325.07,381.82,318.92,200.71,332.1,208.08,474.32,329.68,290.0,230.81,198.96,341.23,329.97,204.84,366.54,212.15,231.32
1995_6,395.91,261.04,245.1,333.64,349.52,207.96,236.72,222.11,391.49,207.31,357.06,203.47,344.02,550.67,336.03,654.76,158.42,424.17,234.88,207.4,329.48,387.0,323.29,202.75,336.71,210.2,479.96,334.29,293.79,235.27,203.38,345.99,334.59,206.88,371.59,214.54,235.77
1995_7,401.2,264.23,247.9,338.26,354.44,210.04,241.23,224.49,396.59,209.38,361.89,205.52,348.71,557.8,340.64,662.97,159.6,429.75,239.37,209.49,333.93,392.25,327.61,204.79,341.32,212.31,485.63,338.86,297.61,239.73,207.76,350.74,339.19,208.95,376.56,216.91,240.25
