Unnamed: 0,0,1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51,52,53,54,55,56,57,58,59,60,62,63,64,65,66,67,68,69,70,71,72,73,74,75,77,78,79,80,81,82,83,84,85,86,87,88,90,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,116,117,118,119,120,121,122,123,124,125,127,128,129,131,132,133,134,135,136,138,139,140,141,142,143,144,145,147,148,149,150,151,153,155,156,157,158,159,160,161,162,164,165,166,167,168,169,170,171,173,174,175,176,177,178,179,180,181,182,184,185,186,187,188,189,191,192,193,194,195,197,199
1992_4,388.03,195.47,195.06,439.27,198.8,196.24,358.47,345.73,232.78,419.95,196.82,397.0,234.95,201.98,345.78,213.66,216.24,345.88,211.54,495.02,431.22,615.51,209.79,416.17,345.69,364.86,213.92,209.56,320.69,194.37,567.12,194.72,346.44,1641.66,252.88,196.94,210.21,199.61,202.28,250.18,493.03,368.54,825.43,435.07,346.59,399.02,743.66,346.98,197.97,394.61,691.58,213.84,210.19,469.2,1426.56,195.51,369.02,329.14,221.83,210.43,352.47,1291.42,345.7,357.74,643.75,364.46,347.13,445.26,226.7,648.37,416.98,224.62,5683.06,586.67,392.04,196.09,212.07,67.17,198.71,354.08,697.34,218.04,345.58,346.98,195.99,196.19,442.03,346.29,212.08,16397.32,398.17,612.51,195.45,194.69,349.68,259.9,212.66,217.35,3291.72,209.55,196.37,517.63,329.5,376.43,195.32,431.92,362.47,195.33,373.37,195.0,346.47,216.54,222.57,195.36,346.29,410.92,195.27,249.76,194.84,120.25,482.58,455.09,433.43,195.0,332.27,381.34,194.75,324.79,418.74,429.7,65.72,195.4,194.65,211.44,214.93,210.83,209.49,271.56,210.07,212.08,253.7,363.77,210.98,2663.34,428.34,521.39,378.51,375.09,589.67,763.42,255.75,343.32,194.59,345.51,210.79,345.62,294.24,2136.45,309.66,199.37,211.16,209.83,243.43,194.48,219.21,210.05,821.66,347.84,386.99,845.0,217.43,194.72,348.26,625.69,198.4,210.03,371.84,383.55,213.66,194.88
1992_5,387.46,193.87,193.39,438.45,197.25,194.65,358.03,344.78,231.76,419.14,195.19,396.36,234.05,200.39,344.82,212.76,215.28,345.54,210.64,493.28,430.51,613.4,208.9,415.44,345.34,364.03,212.98,208.65,319.82,192.88,564.9,193.2,345.46,1638.42,251.63,195.35,209.35,198.06,200.66,249.09,492.09,366.58,823.58,434.29,346.23,398.36,737.73,346.63,196.32,394.02,688.75,212.23,209.19,467.99,1412.6,193.85,368.49,328.48,220.08,209.5,351.96,1287.7,344.82,357.37,636.32,364.0,346.18,444.17,225.67,647.06,415.93,223.61,5667.24,585.27,391.22,194.55,211.18,66.62,197.28,353.68,695.85,217.09,345.24,346.38,194.41,194.7,441.21,345.48,211.18,16352.4,397.51,609.57,193.88,193.07,349.37,258.45,211.75,216.4,3283.17,208.69,194.88,516.65,328.8,375.83,193.71,431.12,362.07,193.73,372.87,193.46,345.96,215.61,221.58,193.74,345.71,410.19,193.67,247.41,193.22,120.0,481.73,454.24,432.21,193.43,331.94,380.73,193.05,323.84,414.74,428.81,65.25,193.85,193.0,210.58,213.98,209.83,208.62,270.9,209.03,211.21,252.49,363.24,210.06,2656.37,427.59,518.32,377.9,374.58,588.46,761.25,254.32,342.46,192.94,344.76,209.91,344.69,293.44,2137.82,308.45,197.81,210.3,208.91,242.64,192.98,218.37,209.16,819.61,347.35,386.18,837.25,216.55,193.04,347.81,624.3,197.99,209.1,371.27,383.02,212.72,193.37
1992_6,386.93,192.36,191.93,437.71,195.77,193.19,357.69,344.77,230.67,418.5,193.68,395.74,233.05,198.79,345.01,211.84,214.37,345.11,209.74,491.71,429.91,611.88,208.02,414.77,345.07,363.39,212.05,207.77,319.94,191.41,562.91,191.7,345.71,1636.17,250.35,193.84,208.42,196.56,199.12,247.99,491.43,364.51,822.12,433.81,345.89,397.81,731.55,346.23,194.81,393.48,686.04,210.78,208.3,466.84,1397.87,192.43,368.03,327.8,218.25,208.6,351.79,1284.9,345.05,356.92,628.7,363.59,346.48,443.26,224.64,646.05,414.93,222.6,5654.11,584.21,390.52,193.05,210.24,66.03,195.93,353.29,694.66,216.16,344.87,346.16,192.91,193.21,440.56,345.55,210.27,16311.7,396.98,606.7,192.4,191.59,348.95,257.72,210.83,215.48,3275.38,207.79,193.39,515.83,328.43,375.39,192.24,430.44,361.57,192.25,372.42,191.98,345.8,214.65,220.56,192.32,345.89,409.54,192.36,244.96,191.85,119.78,480.95,453.46,431.1,192.04,331.47,380.27,191.59,322.95,410.8,428.19,64.75,192.4,191.49,209.68,213.1,208.93,207.73,270.21,208.28,210.3,251.29,362.88,209.13,2650.23,426.99,515.27,377.39,374.19,587.53,759.14,253.49,342.65,191.45,344.9,208.98,344.75,293.16,2140.68,307.34,196.26,209.4,208.02,241.76,191.47,217.4,208.27,818.03,347.2,385.61,828.79,215.61,191.68,347.61,622.94,197.65,208.2,370.88,382.48,211.81,191.96
1992_7,386.11,190.69,190.28,436.69,194.07,191.52,356.85,343.74,229.45,417.6,192.02,394.95,231.77,197.06,343.68,210.77,213.3,344.51,208.67,489.74,429.02,609.79,206.98,413.87,344.34,362.43,210.97,206.71,318.39,189.76,560.52,190.07,344.3,1632.5,248.91,192.15,207.37,194.78,197.41,246.75,490.34,362.25,819.96,432.9,345.24,396.94,725.01,345.62,193.14,392.66,682.94,209.12,207.24,465.4,1383.3,190.66,367.32,326.94,216.32,207.55,350.94,1281.03,343.6,356.27,621.0,362.88,345.01,442.0,223.48,644.43,413.71,221.42,5635.83,582.66,389.56,191.4,209.18,65.41,194.4,352.65,692.81,215.07,344.27,345.3,191.26,191.5,439.6,344.33,209.21,16259.45,396.14,603.32,190.7,189.95,348.3,256.06,209.79,214.41,3265.25,206.75,191.72,514.64,327.41,374.64,190.59,429.45,360.87,190.59,371.68,190.34,344.92,213.54,219.42,190.61,344.53,408.56,190.4,242.47,190.02,119.46,479.71,452.35,429.76,190.29,330.79,379.51,189.96,321.79,406.57,427.22,64.22,190.74,189.77,208.62,211.87,207.88,206.67,269.33,207.04,209.26,249.93,362.17,208.08,2642.23,426.11,511.87,376.62,373.33,586.19,756.57,251.85,341.21,189.82,343.64,207.93,343.52,291.86,2141.16,306.05,194.58,208.34,206.96,240.75,189.84,216.28,207.25,815.87,346.3,384.66,820.37,214.49,189.78,346.72,621.07,197.16,207.17,370.18,381.71,210.75,190.17
1992_8,385.33,189.05,188.64,435.69,192.39,189.86,356.29,343.23,228.24,416.7,190.36,394.17,230.49,195.34,343.23,209.71,212.23,343.92,207.61,487.83,428.15,607.74,205.95,412.98,343.78,361.47,209.91,205.67,317.89,188.11,558.19,188.44,343.86,1628.93,247.5,190.49,206.33,193.12,195.7,245.51,489.27,360.01,817.85,432.03,344.66,396.1,718.48,345.05,191.47,391.88,679.88,207.49,206.2,464.01,1368.47,189.04,366.64,326.09,214.42,206.52,350.33,1277.23,343.18,355.65,613.31,362.24,344.6,440.76,222.32,642.87,412.52,220.26,5618.02,581.15,388.61,189.75,208.13,64.8,192.88,352.05,691.02,213.99,343.68,344.8,189.62,189.88,438.67,343.86,208.17,16207.8,395.32,599.99,188.97,188.31,347.68,254.95,208.76,213.34,3255.31,205.71,190.06,513.48,326.65,373.91,188.95,428.5,360.21,188.92,370.98,188.71,344.41,212.46,218.3,188.98,344.12,407.61,188.85,239.95,188.43,119.15,478.51,451.3,428.43,188.67,330.15,378.77,188.33,320.65,402.39,426.26,63.69,189.08,188.16,207.57,210.86,206.84,205.63,268.47,206.06,208.23,248.58,361.48,207.05,2634.39,425.25,508.52,375.87,372.63,584.86,754.05,250.67,340.81,188.18,343.2,206.9,343.07,291.2,2141.85,304.77,192.89,207.3,205.92,239.76,188.21,215.18,206.24,813.74,345.74,383.73,811.8,213.4,188.21,346.19,619.27,196.68,206.14,369.51,380.96,209.69,188.59
1992_9,384.46,187.37,186.96,434.58,190.66,188.15,355.61,342.68,226.98,415.7,188.65,393.28,229.12,193.56,342.68,208.6,211.11,343.26,206.5,485.83,427.19,605.55,204.87,411.99,343.12,360.42,208.8,204.59,317.23,186.41,555.75,186.76,343.31,1624.99,246.02,188.79,205.24,191.4,193.93,244.23,488.1,357.69,815.57,431.06,344.0,395.17,711.77,344.39,189.76,391.01,676.7,205.81,205.11,462.52,1353.28,187.36,365.86,325.17,212.43,205.44,349.64,1273.14,342.64,354.94,605.5,361.52,344.03,439.44,221.11,641.16,411.23,219.04,5598.99,579.52,387.58,188.06,207.03,64.17,191.42,351.37,689.08,212.86,343.02,344.17,187.92,188.18,437.63,343.26,207.08,16152.2,394.41,596.52,187.57,186.62,346.98,253.74,207.67,212.21,3244.63,204.63,188.36,512.21,325.82,373.09,187.26,427.44,359.47,187.28,370.19,187.02,343.8,211.32,217.12,187.29,343.56,406.57,187.2,237.38,186.78,118.81,477.21,450.14,427.01,186.99,329.43,377.94,186.65,319.43,398.11,425.2,63.16,187.37,186.5,206.48,209.78,205.77,204.53,267.55,205.01,207.15,247.17,360.72,205.96,2625.93,424.28,505.05,375.02,371.82,583.4,751.38,249.4,340.25,186.5,342.62,205.81,342.48,290.42,2142.06,303.41,191.15,206.2,204.83,238.71,186.54,214.02,205.17,811.42,345.11,382.72,802.99,212.26,186.55,345.61,617.33,196.2,205.07,368.74,380.12,208.58,186.93
1992_10,383.48,185.63,185.26,433.34,189.0,186.38,354.8,342.27,225.67,414.54,186.93,392.26,227.79,191.71,342.16,207.43,209.93,342.43,205.35,483.69,426.06,603.14,203.75,410.86,342.37,359.23,207.61,203.5,316.63,184.65,553.07,185.02,342.62,1620.51,244.43,187.06,204.09,189.6,192.0,242.87,486.74,355.24,812.94,429.91,343.26,394.18,704.74,343.56,187.97,390.05,673.2,204.08,203.97,460.87,1337.59,185.6,365.02,324.05,210.33,204.29,348.91,1268.58,342.3,354.13,597.46,360.71,343.54,437.95,219.82,639.33,409.78,217.71,5578.66,577.71,386.38,186.29,205.85,63.53,189.82,350.59,686.98,211.61,342.24,343.31,186.12,186.4,436.38,342.63,205.89,16092.15,393.43,592.85,185.64,184.94,346.16,252.37,206.45,211.0,3232.93,203.52,186.59,510.79,324.89,372.26,185.5,426.33,358.6,185.56,369.34,185.26,343.17,210.1,215.87,185.65,343.21,405.38,185.45,234.75,185.09,118.43,475.77,448.87,425.36,185.26,328.61,377.0,184.89,318.17,393.69,424.0,62.6,185.63,184.79,205.35,208.54,204.59,203.39,266.59,203.84,205.99,245.69,359.88,204.82,2616.51,423.28,501.4,374.18,370.97,581.69,748.47,248.01,339.58,184.76,342.28,204.64,341.74,289.52,2141.44,302.05,189.33,205.06,203.76,237.58,184.87,212.85,204.01,808.76,344.6,381.41,793.49,211.02,184.82,344.88,615.16,195.65,203.93,367.84,379.25,207.41,185.2
1992_11,382.35,183.87,183.47,432.08,187.08,184.64,353.88,340.96,224.32,413.08,185.14,390.97,226.5,189.86,340.95,206.25,208.75,341.6,204.16,481.18,424.7,600.02,202.69,409.57,341.52,358.09,206.49,202.35,315.59,182.9,549.58,183.26,341.66,1612.95,242.81,185.32,202.97,187.87,190.2,241.53,485.14,352.81,809.74,428.48,342.4,392.89,697.65,342.67,186.21,388.84,669.11,202.38,202.89,458.92,1321.97,183.9,364.05,323.13,208.37,203.15,348.1,1263.29,341.08,353.22,589.62,360.08,342.32,436.03,218.59,637.02,408.27,216.43,5554.33,575.27,385.3,184.52,204.64,62.88,188.18,349.63,684.39,210.42,341.38,342.63,184.42,184.73,434.84,341.78,204.64,16022.58,392.16,589.37,183.96,183.08,345.31,251.05,205.25,209.76,3218.9,202.44,184.84,509.03,323.98,371.3,183.81,425.08,357.6,183.82,368.25,183.51,342.33,208.98,214.68,183.85,342.02,403.96,183.82,232.11,183.39,117.98,474.13,447.28,423.36,183.53,327.68,376.09,183.14,316.89,389.29,422.52,62.04,183.81,183.01,204.22,207.41,203.41,202.25,265.53,202.74,204.86,244.07,358.9,203.71,2605.83,421.91,497.95,373.0,370.02,579.37,745.01,246.69,338.61,183.0,341.02,203.5,340.87,288.45,2139.79,300.42,187.51,203.96,202.68,236.64,183.03,211.7,202.89,803.7,343.51,380.53,784.76,209.76,183.08,344.1,612.73,195.04,202.77,367.32,378.07,206.22,183.52
1992_12,380.93,181.78,181.43,430.14,185.01,182.53,352.55,339.89,222.72,411.56,183.01,389.6,224.79,187.67,339.92,204.75,207.23,340.52,202.8,478.83,423.24,597.5,201.38,407.94,340.39,356.4,204.98,201.04,314.65,180.91,547.07,181.17,340.43,1608.96,240.99,183.16,201.51,185.77,188.07,239.79,483.31,349.77,806.59,426.97,341.22,391.45,689.72,341.57,184.13,387.44,665.65,200.27,201.36,457.07,1303.9,181.76,362.65,321.57,205.97,201.7,346.75,1257.57,339.87,352.03,580.74,358.47,341.4,434.41,216.94,634.52,406.37,214.88,5528.23,573.16,383.46,182.42,203.27,62.14,186.23,348.41,681.56,208.95,340.31,341.36,182.29,182.59,433.33,340.47,203.24,15945.3,390.68,584.22,181.81,181.09,344.2,249.37,204.16,208.28,3204.28,200.96,182.76,507.05,322.48,369.81,181.71,423.21,356.43,181.67,366.93,181.53,341.03,207.49,213.07,181.72,340.75,402.54,181.65,229.1,181.21,117.49,472.37,445.54,421.66,181.44,326.58,374.56,181.09,315.1,384.17,420.93,61.39,181.83,180.94,202.79,205.91,202.12,200.91,264.26,201.44,203.46,242.36,357.66,202.2,2593.73,420.35,493.46,371.72,368.53,577.41,741.48,244.89,337.46,180.95,339.85,202.07,339.71,287.19,2137.43,298.57,185.41,202.42,201.15,235.04,180.99,210.13,201.48,802.26,342.31,378.7,774.09,208.31,181.01,342.73,610.15,194.14,201.56,365.5,376.7,204.8,181.37
