Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,27,28,29
1994_4,323.39,237.99,218.31,288.37,194.35,367.7,205.04,221.7,189.89,445.22,345.35,194.8,295.33,328.5,289.35,204.58,195.74,293.82,202.67,173.09,496.62,197.0,289.56,192.77,194.44,181.3,199.25
1994_5,326.07,239.23,219.11,290.82,194.54,370.7,206.63,222.6,190.11,448.73,348.03,195.0,297.82,331.2,291.86,204.77,197.29,296.32,204.25,173.19,499.58,198.58,292.03,192.97,194.64,179.43,199.8
1994_6,328.76,240.48,219.88,293.32,194.73,373.66,208.28,223.46,190.25,452.26,350.65,195.16,300.37,333.84,294.32,204.98,198.84,298.8,205.89,173.23,502.48,200.13,294.5,193.12,194.82,177.48,200.29
1994_7,331.24,241.65,220.57,295.61,194.86,376.41,209.8,224.25,190.42,455.46,353.1,195.3,302.68,336.41,296.68,205.1,200.29,301.2,207.41,173.32,505.19,201.61,296.85,193.25,194.97,175.48,200.75
1994_8,333.71,242.83,221.27,297.9,194.95,379.17,211.33,225.01,190.52,458.7,355.6,195.39,305.01,338.93,299.14,205.13,201.73,303.52,208.89,173.34,507.83,203.04,299.14,193.36,195.05,173.38,201.16
1994_9,336.1,243.92,221.93,300.02,195.07,381.9,212.75,225.8,190.54,461.8,357.93,195.51,307.31,341.44,301.17,205.26,203.0,305.82,210.27,173.27,510.48,204.41,301.35,193.41,195.16,171.14,201.52
1994_10,338.22,244.82,222.36,302.21,194.99,384.29,214.18,226.3,190.57,464.64,360.1,195.54,309.34,343.58,303.14,205.18,204.39,307.8,211.7,173.23,512.8,205.77,303.34,193.39,195.18,168.8,201.84
1994_11,340.41,245.91,222.95,304.21,194.97,386.6,215.37,226.96,190.55,467.31,362.0,195.45,311.38,345.73,305.23,205.16,205.61,309.8,212.95,173.11,514.58,206.98,305.45,193.41,195.1,166.31,202.09
1994_12,342.34,246.53,223.3,305.97,194.84,388.68,216.62,227.4,190.43,469.74,363.9,195.29,313.2,347.65,307.03,205.02,206.72,311.66,214.16,172.83,516.44,208.09,307.22,193.25,194.93,163.58,202.25
1995_1,347.39,249.82,226.06,310.57,196.92,394.36,221.34,230.27,192.49,476.47,369.11,197.37,317.9,352.75,311.68,207.23,211.41,316.37,219.0,174.52,522.92,212.7,311.84,195.35,197.03,167.77,205.0
