Unnamed: 0,0,1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,29
1994_3,484.93,273.84,315.16,193.24,194.12,194.84,193.33,179.69,202.72,286.26,195.32,288.68,288.77,208.8,364.42,335.28,191.63,227.15,299.07,212.19,206.16,193.82,290.24,193.88,194.14,311.62,403.38,430.78
1994_4,488.11,276.13,317.98,194.77,194.31,196.47,193.57,177.98,204.45,288.89,195.8,291.3,291.38,209.46,367.6,338.02,191.91,229.12,301.81,212.54,207.9,195.48,292.88,195.46,195.76,314.39,406.69,434.39
1994_5,491.04,278.25,320.65,196.28,194.51,197.99,193.77,176.16,206.04,291.4,196.2,293.81,293.88,210.04,370.64,340.65,192.12,230.99,304.37,212.82,209.52,197.05,295.36,196.99,197.33,317.01,409.71,437.81
1994_6,493.86,280.45,323.25,197.87,194.66,199.57,193.95,174.24,207.7,293.86,196.59,296.28,296.34,210.61,373.61,343.22,192.27,232.85,306.88,213.07,211.18,198.6,297.87,198.54,198.86,319.66,412.68,441.22
1994_7,496.55,282.47,325.79,199.3,194.81,201.0,194.08,172.29,209.22,296.21,196.95,298.59,298.73,211.1,376.45,345.61,192.44,234.6,309.32,213.25,212.72,200.06,300.21,200.02,200.32,322.07,415.56,444.36
1994_8,499.13,284.48,328.29,200.77,194.91,202.46,194.18,170.23,210.72,298.66,197.27,300.96,301.03,211.59,379.28,348.06,192.54,236.32,311.71,213.46,214.26,201.47,302.51,201.43,201.77,324.5,418.38,447.5
1994_9,501.81,286.38,330.76,202.0,194.99,203.78,194.3,168.03,212.17,300.68,197.52,303.16,303.33,212.05,381.96,350.34,192.56,237.95,314.01,213.6,215.69,202.79,304.76,202.68,203.02,326.85,421.21,450.51
1994_10,504.06,288.17,332.86,203.35,195.0,205.15,194.24,165.75,213.57,302.65,197.76,305.08,305.28,212.3,384.53,352.46,192.57,239.6,316.06,213.61,217.15,204.15,306.83,204.08,204.43,328.95,423.69,453.24
1994_11,505.81,290.03,335.05,204.56,194.95,206.29,194.22,163.31,214.81,304.74,197.88,307.12,307.31,212.69,386.73,354.32,192.54,241.03,318.15,213.67,218.37,205.36,308.86,205.32,205.67,331.1,425.81,455.88
1994_12,507.66,291.46,336.93,205.73,194.78,207.46,194.09,160.63,216.06,306.54,197.93,308.92,309.14,212.87,388.89,356.18,192.41,242.38,319.99,213.58,219.62,206.47,310.66,206.46,206.73,332.99,427.94,458.26
1995_1,514.09,295.71,341.93,210.45,196.88,212.22,196.16,164.72,220.89,311.19,200.43,313.62,313.82,215.4,394.6,361.3,194.49,246.98,324.77,215.88,224.39,211.08,315.35,211.25,211.39,337.93,433.96,464.8
1995_2,520.76,300.14,347.08,215.08,199.01,216.98,198.29,168.64,225.59,315.89,202.97,318.45,318.58,217.95,400.59,366.67,196.6,251.66,329.7,218.26,229.14,215.69,320.15,215.83,216.09,343.08,440.24,471.68
1995_3,527.41,304.62,352.24,219.63,201.18,221.52,200.42,172.59,230.25,320.64,205.61,323.11,323.34,220.52,406.41,371.76,198.8,256.32,334.64,220.72,233.77,220.35,324.99,220.42,220.7,348.14,446.4,478.38
1995_4,533.57,309.17,357.35,224.16,203.29,226.01,202.55,176.34,234.87,325.25,208.09,328.26,328.0,223.09,412.02,376.68,200.87,261.02,339.43,223.03,238.37,224.88,329.69,224.9,225.22,353.11,452.31,484.92
1995_5,539.88,313.05,362.24,228.53,205.35,230.41,204.6,179.99,239.35,329.82,210.52,332.31,332.59,225.56,417.63,381.72,202.89,265.28,344.15,225.34,242.84,229.31,334.19,229.28,229.65,357.89,458.23,491.26
1995_6,546.02,317.29,367.15,232.96,207.43,234.88,206.69,183.61,243.93,334.41,213.0,336.98,337.22,228.06,423.32,386.69,204.94,269.73,348.89,227.61,247.39,233.79,338.84,233.74,234.14,362.81,464.06,497.74
1995_7,552.34,321.58,372.1,237.42,209.5,239.37,208.76,187.22,248.49,339.01,215.5,341.57,341.82,230.54,428.97,391.72,207.01,274.24,353.63,229.91,251.94,238.27,343.47,238.21,238.59,367.7,469.96,504.22
1995_8,558.75,325.85,377.23,241.82,211.58,243.83,210.84,190.73,253.06,343.67,217.94,346.31,346.49,233.08,434.71,396.83,209.08,278.74,358.53,232.23,256.49,242.71,348.17,242.64,243.04,372.67,476.06,510.78
1995_9,564.89,330.11,382.13,246.24,213.67,248.25,212.93,194.2,257.55,348.21,220.38,350.8,351.08,235.56,440.28,401.73,211.14,283.2,363.19,234.53,260.99,247.1,352.79,247.06,247.47,377.51,481.9,517.17
1995_10,571.08,334.52,387.13,250.67,215.73,252.75,214.98,197.63,262.14,352.78,222.85,355.41,355.69,238.05,445.93,406.72,213.18,287.73,367.96,236.82,265.53,251.55,357.49,251.56,251.92,382.43,487.79,523.62
1995_11,576.93,338.57,391.89,254.99,217.75,257.07,216.99,200.97,266.51,357.21,225.24,359.83,360.12,240.45,451.34,411.54,215.18,292.01,372.52,239.04,269.89,255.87,361.98,255.84,256.24,387.16,493.39,529.86
1995_12,582.89,342.54,396.64,259.24,219.73,261.37,218.99,204.24,270.97,361.69,227.58,364.24,364.66,242.88,456.75,416.29,217.17,296.32,377.08,241.24,274.31,260.17,366.41,260.13,260.53,392.01,498.97,536.09
