Unnamed: 0,0,1,2,3,4,6,7
1999_4,334.15,404.26,447.18,274.95,492.0,352.91,239.67
1999_5,334.07,402.31,444.84,273.6,489.29,352.45,239.17
1999_6,333.97,400.11,442.46,271.98,486.37,351.89,238.54
1999_7,333.95,398.1,440.19,270.52,483.5,351.42,238.04
1999_8,333.76,395.91,437.76,268.96,480.69,350.81,237.38
1999_9,333.73,393.85,435.48,267.53,477.88,350.36,236.85
1999_10,333.57,391.66,433.04,265.95,474.97,349.73,236.24
1999_11,333.42,389.43,430.61,264.36,471.99,349.16,235.59
1999_12,333.18,387.24,428.13,262.84,469.04,348.5,234.98
2000_1,334.05,387.36,428.11,263.49,468.77,349.18,235.43
2000_2,334.99,387.52,428.22,263.97,468.6,349.96,235.91
2000_3,335.85,387.61,428.22,264.34,468.38,350.64,236.34
2000_4,336.67,387.58,428.13,264.61,467.99,351.33,236.71
2000_5,337.35,387.34,427.73,264.83,467.31,351.73,236.97
2000_6,337.97,387.13,427.38,265.09,466.69,352.19,237.24
2000_7,338.65,386.95,427.1,265.38,466.17,352.67,237.53
2000_8,339.28,386.76,426.78,265.67,465.59,353.13,237.78
2000_9,339.83,386.45,426.31,265.88,464.84,353.5,237.99
2000_10,340.35,386.08,425.81,265.97,464.05,353.77,238.1
2000_11,340.78,385.72,425.27,266.18,463.28,354.05,238.26
2000_12,341.2,385.19,424.59,266.25,462.29,354.22,238.34
2001_1,341.07,384.84,424.29,265.45,461.75,353.93,237.76
2001_2,340.82,384.52,424.01,264.59,461.1,353.69,237.13
2001_3,340.65,384.27,423.86,263.59,460.6,353.57,236.55
2001_4,340.42,383.86,423.57,262.6,459.96,353.31,235.89
2001_5,340.1,383.47,423.15,261.61,459.12,353.0,235.18
2001_6,339.78,383.01,422.78,260.6,458.38,352.67,234.47
2001_7,339.44,382.52,422.38,259.54,457.64,352.3,233.74
2001_8,339.09,382.04,421.96,258.51,456.82,351.96,233.01
2001_9,338.72,381.57,421.51,257.54,456.03,351.61,232.25
2001_10,338.31,381.03,421.06,256.46,455.2,351.17,231.5
2001_11,337.82,380.39,420.46,255.27,454.25,350.64,230.6
2001_12,337.24,379.72,419.77,254.18,453.27,350.14,229.84
2002_1,337.65,379.88,419.84,254.73,453.02,350.48,230.02
2002_2,338.36,380.26,420.15,255.46,453.05,351.12,230.37
2002_3,338.89,380.47,420.31,255.84,453.0,351.59,230.63
2002_4,339.46,380.66,420.43,256.33,452.79,352.07,230.9
2002_5,339.91,380.68,420.38,256.68,452.39,352.38,231.03
2002_6,340.29,380.71,420.25,257.04,451.91,352.66,231.17
2002_7,340.67,380.71,420.16,257.31,451.41,352.97,231.33
2002_8,341.1,380.79,420.18,257.85,451.36,353.32,231.5
2002_9,341.4,380.78,420.01,258.22,450.91,353.56,231.58
2002_10,341.69,380.68,419.82,258.59,450.47,353.74,231.61
2002_11,341.88,380.48,419.49,258.81,449.82,353.8,231.62
2002_12,341.85,380.24,419.05,258.97,449.08,353.83,231.56
2003_1,344.08,383.24,422.51,260.54,452.71,356.14,232.86
2003_2,346.81,387.05,426.72,262.72,456.79,359.17,234.5
2003_3,349.16,390.3,430.5,264.25,460.58,361.74,235.93
2003_4,351.55,393.63,434.23,265.88,464.33,364.4,237.34
2003_5,353.85,396.92,437.91,267.61,468.07,366.95,238.72
2003_6,356.12,400.3,441.69,269.31,471.89,369.58,240.18
2003_7,358.48,403.46,445.29,270.91,475.4,372.1,241.52
2003_8,360.83,406.8,449.03,272.56,479.12,374.74,242.91
2003_9,363.12,410.1,452.73,274.3,482.86,377.27,244.25
2003_10,365.36,413.26,456.35,275.92,486.49,379.75,245.58
2003_11,367.28,416.28,459.67,277.37,490.09,381.91,246.74
2003_12,369.44,419.26,463.08,278.84,493.13,384.32,247.97
2004_1,372.76,423.07,467.05,282.59,497.18,387.76,250.85
2004_2,375.85,426.52,470.63,286.09,500.76,390.94,253.56
2004_3,378.93,429.96,474.16,289.4,504.29,394.13,256.24
2004_4,381.96,433.26,477.58,292.59,507.61,397.17,258.85
2004_5,384.95,436.58,480.96,295.95,510.96,400.2,261.46
2004_6,387.9,439.85,484.28,299.28,514.29,403.22,264.05
2004_7,390.89,443.17,487.68,302.59,517.68,406.26,266.71
2004_8,393.91,446.51,491.15,305.97,521.07,409.34,269.31
2004_9,396.88,449.9,494.56,309.37,524.53,412.42,271.93
2004_10,399.85,453.12,497.89,312.63,527.82,415.4,274.47
2004_11,402.74,456.34,501.21,315.94,531.06,418.34,277.03
2004_12,405.53,459.56,504.43,319.2,534.31,421.26,279.59
2005_1,408.78,464.39,509.39,322.74,539.7,424.75,282.66
2005_2,412.34,469.15,515.12,326.19,545.16,428.53,285.64
2005_3,415.9,474.29,520.53,329.51,550.66,432.62,289.01
2005_4,419.37,479.16,525.92,332.85,556.12,436.46,292.17
2005_5,422.76,484.06,531.25,336.2,561.47,440.09,295.27
2005_6,426.03,488.86,536.39,339.59,566.79,443.8,298.31
2005_7,429.44,493.69,541.67,342.99,572.14,447.56,301.46
2005_8,432.86,498.61,547.06,346.4,577.57,451.35,304.58
2005_9,436.2,503.42,552.29,349.75,582.92,455.01,307.62
2005_10,439.56,508.31,557.6,353.13,588.26,458.72,310.69
