Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,31,32,34,36,38,39,41,42,43,44,45,47,48,49,50,52,53,54,56,57,58,60,61,62,63,64,65,66,67,68,69,70,71,72,73,75,77,78,79,80,82,83,85,86,87,88,89,92,93,94,95,96,97,98,99,100,101,102,103,104,105,107,108,109,110,111,112,113,114,115,117,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,137,138,139,140,141,142,143,144,146,147,148,149,150,152,153,154,155,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,181,182,184,185,186,187,188,189,190,191,192,194,195,197,198,199
1992_4,434.35,209.81,215.58,194.55,314.4,492.79,267.66,369.51,214.82,432.27,304.65,206.07,573.98,346.73,226.94,197.32,216.4,206.75,195.97,366.07,1307.01,1204.03,195.21,579.18,450.78,371.29,345.59,349.8,347.45,194.9,444.59,226.23,329.29,283.89,215.39,409.31,507.69,210.28,219.0,403.75,200.69,345.62,198.91,380.29,210.09,362.0,347.76,195.16,485.89,492.27,360.93,217.88,194.97,212.65,416.09,456.66,576.38,239.5,365.32,454.86,347.83,348.27,195.43,343.97,458.35,346.09,209.95,199.83,209.53,347.75,243.13,394.94,348.1,212.56,224.97,359.88,198.76,210.85,236.01,367.21,416.68,31.15,9003.43,309.38,647.84,195.53,368.2,223.92,210.91,194.77,7429.33,369.25,345.79,195.12,194.62,488.73,1121.32,204.47,988508.69,195.04,371.9,199.4,195.16,1604.47,345.63,345.24,345.82,598.92,1570.26,501.01,204.67,1545.87,316.66,214.66,215.48,245.53,345.86,225.1,769.48,373.27,344.88,246.09,210.16,346.53,639.82,31.0,381.52,208.18,194.64,194.98,219.09,477.56,210.84,234.25,342.35,372.55,347.32,425.46,411.95,200.77,199.62,403.33,220.21,404.99,346.26,405.25,195.6,469.81,194.53,195.16,195.36,346.57,286.41,209.45,381.66,380.37,248.13,416.6,221.46,173.41,195.42,345.92,345.68,345.47,4380.97,330084.12,215.86,417.7,936.47,898.37,383.49,1170.63,230.42,195.35
1992_5,433.55,208.86,214.62,193.03,313.56,491.79,266.29,369.13,213.87,431.4,303.92,204.44,571.67,345.76,225.33,195.69,215.48,206.37,194.37,365.59,1303.48,1201.21,193.64,577.71,449.91,370.65,345.24,349.06,347.12,193.22,443.79,225.28,328.73,282.86,214.46,408.57,506.52,209.37,217.43,403.09,199.02,344.64,197.3,379.67,209.21,361.49,347.39,193.54,484.2,491.28,360.49,216.93,193.43,211.73,415.4,455.81,575.17,238.71,364.87,453.87,347.45,347.73,193.91,343.01,457.42,345.33,209.02,198.19,208.61,347.01,241.05,394.3,347.7,211.63,223.98,359.05,197.38,209.87,234.93,366.81,415.91,31.08,8979.4,308.47,643.84,193.86,367.62,223.09,210.01,193.25,7368.16,368.78,345.13,193.54,192.96,487.87,1117.74,202.8,979885.51,193.42,371.42,197.75,193.58,1588.59,345.3,344.92,345.48,597.71,1541.63,500.11,203.12,1530.51,314.97,213.72,214.54,243.56,345.17,223.21,767.43,372.75,342.93,244.91,209.21,346.05,637.25,30.95,380.9,206.55,192.92,193.34,218.12,476.57,209.38,233.36,341.59,371.99,346.94,424.71,411.12,199.23,198.07,402.67,219.28,404.39,345.92,404.4,193.94,468.99,193.0,193.62,193.78,346.16,285.57,208.58,381.02,379.83,246.99,415.55,220.46,172.64,193.86,345.04,344.76,345.16,4368.54,327881.44,214.94,415.23,930.81,896.06,382.9,1160.01,229.39,193.81
1992_6,432.82,208.14,213.72,191.55,313.08,490.78,265.62,368.62,212.92,430.73,303.74,202.87,569.56,345.96,224.27,194.18,214.54,206.08,192.84,365.13,1300.62,1198.77,192.18,576.88,449.3,370.2,344.92,349.25,346.7,191.76,443.0,224.3,328.1,282.66,213.51,408.12,505.55,208.47,216.02,402.53,197.69,344.74,195.78,379.17,208.32,361.1,347.05,192.13,482.62,490.59,359.97,215.99,192.03,210.81,414.72,455.13,574.16,237.85,364.43,453.13,347.09,347.58,192.43,343.11,456.8,345.45,208.11,196.68,207.72,346.93,238.99,393.78,347.54,210.7,222.97,359.15,195.84,208.89,233.83,366.33,415.26,31.02,8957.64,307.56,639.68,192.45,367.3,222.21,209.17,191.74,7309.04,368.34,345.04,192.1,191.47,487.09,1114.33,201.26,970906.16,191.95,370.94,196.22,192.08,1572.36,344.97,344.59,345.08,596.76,1513.33,499.26,201.6,1514.32,313.34,212.81,213.62,241.59,345.22,221.36,765.86,372.36,341.01,243.72,208.32,345.85,634.73,30.92,380.41,204.88,191.42,191.86,217.14,475.65,207.98,232.32,340.83,371.65,346.56,424.05,410.38,197.66,196.57,402.3,218.31,403.7,345.49,403.54,192.45,468.22,191.5,192.16,192.35,346.07,285.24,207.69,380.55,379.36,245.83,414.58,219.47,171.91,192.38,345.22,345.03,344.75,4358.13,325607.88,214.01,412.84,925.6,894.35,382.38,1148.46,228.33,192.33
1992_7,431.82,206.85,212.65,189.9,311.91,489.46,263.95,367.88,211.83,429.75,302.38,201.1,567.09,344.71,222.47,192.52,213.44,205.62,191.18,364.39,1296.77,1195.45,190.52,575.49,448.29,369.44,344.25,347.78,346.1,190.11,441.96,223.11,327.35,281.27,212.42,407.32,504.21,207.43,214.41,401.67,195.85,343.55,194.09,378.39,207.3,360.41,346.4,190.35,480.65,489.47,359.31,214.92,190.25,209.74,413.78,454.14,572.73,236.84,363.73,452.07,346.49,346.69,190.79,341.84,455.76,344.1,207.08,194.95,206.67,345.9,236.78,392.9,346.69,209.65,221.79,357.74,194.16,207.77,232.55,365.65,414.34,30.94,8928.85,306.47,635.13,190.66,366.46,221.19,207.99,190.12,7243.86,367.61,344.03,190.44,189.82,486.02,1110.14,199.49,961515.04,190.26,370.21,194.53,190.44,1556.04,344.35,343.93,344.47,595.24,1485.32,498.09,199.87,1498.55,311.46,211.75,212.55,239.46,343.98,219.34,763.65,371.51,338.89,242.39,207.28,345.09,631.71,30.86,379.68,203.11,189.77,190.22,216.03,474.35,206.36,231.13,339.85,370.86,345.95,423.08,409.31,195.93,194.79,401.55,217.19,402.82,344.88,402.53,190.81,467.15,189.87,190.5,190.64,345.07,283.93,206.62,379.76,378.62,244.48,413.37,218.35,171.04,190.74,343.85,343.48,344.11,4344.37,323116.53,212.96,410.08,919.62,891.84,381.61,1136.86,227.14,190.65
1992_8,430.84,205.88,211.58,188.25,311.07,488.18,262.88,367.18,210.76,428.79,301.79,199.38,564.67,344.23,221.11,190.86,212.36,205.17,189.54,363.74,1292.99,1192.21,188.88,574.14,447.3,368.7,343.68,347.38,345.52,188.48,440.94,221.93,326.6,280.6,211.34,406.55,502.9,206.4,212.83,400.82,194.31,343.07,192.41,377.62,206.28,359.74,345.81,188.74,478.75,488.37,358.68,213.84,188.66,208.68,412.88,453.18,571.35,235.86,363.06,451.0,345.9,346.13,189.15,341.33,454.75,343.71,206.05,193.27,205.64,345.38,234.58,392.09,346.15,208.6,220.64,357.22,192.48,206.67,231.28,364.99,413.44,30.86,8900.6,305.39,630.6,189.04,365.76,220.18,207.01,188.49,7179.71,366.95,343.55,188.79,188.19,484.97,1106.05,197.75,952096.03,188.56,369.51,192.85,188.79,1539.5,343.74,343.35,343.89,593.77,1457.67,496.96,198.15,1482.42,309.6,210.69,211.49,237.34,343.56,217.33,761.49,370.81,336.79,241.07,206.25,344.55,628.72,30.81,378.95,201.34,188.13,188.58,214.93,473.1,204.76,229.96,338.89,370.19,345.37,422.14,408.27,194.25,193.12,400.82,216.09,402.01,344.29,401.53,189.17,466.1,188.24,188.86,189.01,344.58,283.17,205.58,379.0,377.91,243.15,412.18,217.24,170.18,189.09,343.41,343.1,343.49,4330.75,320638.64,211.89,407.35,913.8,889.38,380.86,1125.1,225.96,188.96
1992_9,429.75,204.83,210.46,186.55,310.14,486.79,261.71,366.39,209.64,427.72,301.06,197.59,562.13,343.73,219.66,189.16,211.22,204.75,187.85,362.99,1288.91,1188.69,187.18,572.65,446.21,367.88,343.02,346.8,344.87,186.8,439.82,220.69,325.77,279.8,210.21,405.67,501.47,205.32,211.19,399.87,192.7,342.52,190.67,376.76,205.21,358.99,345.15,187.08,476.76,487.17,357.96,212.71,186.99,207.57,411.87,452.11,569.84,234.82,362.3,449.82,345.24,345.48,187.45,340.72,453.64,343.16,204.98,191.52,204.56,344.77,232.32,391.18,345.51,207.5,219.43,356.56,190.75,205.51,229.96,364.25,412.44,30.77,8870.28,304.24,625.93,187.36,364.98,219.12,205.95,186.81,7114.43,366.2,342.96,187.1,186.51,483.81,1101.74,195.96,942429.52,187.06,368.72,191.11,187.1,1522.55,343.06,342.69,343.23,592.18,1430.18,495.71,196.36,1465.89,307.67,209.58,210.37,235.15,343.0,215.27,759.15,370.02,334.62,239.71,205.18,343.92,625.57,30.74,378.15,199.51,186.43,186.89,213.77,471.75,203.1,228.73,337.86,369.43,344.71,421.1,407.14,192.5,191.39,399.99,214.94,401.1,343.63,400.42,187.48,464.95,186.56,187.17,187.32,343.98,282.31,204.48,378.16,377.11,241.77,410.9,216.07,169.28,187.4,342.85,342.54,342.8,4316.17,318083.28,210.78,404.52,907.85,886.72,380.01,1113.01,224.73,187.42
1992_10,428.54,203.66,209.31,184.8,309.11,485.31,260.37,365.48,208.46,426.51,300.15,195.7,559.37,343.07,218.09,187.37,210.03,204.24,186.13,362.17,1284.39,1184.82,185.43,570.92,444.95,366.91,342.24,346.09,344.03,185.11,438.6,219.43,324.72,279.03,209.0,404.67,499.84,204.19,209.51,398.86,191.02,341.96,188.9,375.91,204.05,358.17,344.4,185.4,474.62,485.81,357.14,211.5,185.33,206.37,410.81,450.99,568.16,233.71,361.51,448.53,344.49,344.9,185.68,339.76,452.34,342.51,203.82,189.74,203.46,344.02,229.98,390.19,344.78,206.33,218.12,355.76,188.89,204.28,228.57,363.4,411.36,30.68,8837.48,303.02,621.02,185.62,364.12,217.99,204.75,185.08,7048.52,365.36,342.21,185.34,184.77,482.45,1097.15,194.15,932341.98,185.29,367.8,189.3,185.4,1505.12,342.23,341.92,342.46,590.46,1402.73,494.27,194.66,1448.53,305.63,208.37,209.19,232.87,342.24,213.08,756.53,369.17,332.3,238.26,204.01,343.29,622.22,30.67,377.18,197.57,184.78,185.23,212.53,470.22,201.52,227.46,336.68,368.59,343.89,419.99,405.88,190.66,189.58,398.98,213.69,400.03,342.8,399.09,185.75,463.67,184.86,185.41,185.61,343.49,281.35,203.33,377.24,376.23,240.3,409.45,214.84,168.31,185.63,342.37,341.91,342.0,4300.53,315349.55,209.52,401.59,901.59,883.65,379.08,1100.5,223.38,185.56
1992_11,427.3,202.62,208.12,183.03,308.12,483.48,259.1,364.46,207.34,424.96,299.28,193.89,555.45,341.92,216.56,185.62,208.75,203.66,184.36,361.12,1277.28,1180.19,183.7,569.2,443.59,366.3,341.4,345.11,343.15,183.32,437.09,218.08,323.93,277.87,207.77,403.6,497.7,203.07,207.85,397.54,189.29,340.82,187.1,374.74,202.93,357.25,343.59,183.68,471.9,484.34,356.13,210.26,183.6,205.26,409.46,449.49,565.86,232.72,360.46,446.95,343.55,343.85,183.94,338.96,450.71,341.53,202.7,187.9,202.33,343.3,227.62,388.98,343.87,205.19,216.74,354.78,187.19,203.02,227.12,362.46,410.04,30.56,8799.58,301.73,616.14,183.89,363.18,216.86,203.62,183.32,6978.96,364.33,341.42,183.62,183.0,480.35,1091.62,192.21,922282.05,183.52,366.78,187.53,183.6,1487.63,341.43,341.08,341.6,588.29,1375.96,492.48,192.7,1431.78,303.73,207.16,208.02,230.56,341.42,210.94,753.05,368.22,330.16,236.85,202.83,342.4,619.05,30.58,376.02,195.69,182.99,183.44,211.3,468.37,199.68,226.21,335.58,367.7,342.98,418.5,404.58,188.93,187.87,397.78,212.46,398.73,341.95,397.59,183.98,462.07,183.06,183.7,183.87,342.48,280.25,202.18,376.31,375.1,238.85,407.92,213.58,167.38,183.93,341.3,340.94,341.15,4281.67,312647.47,208.35,398.75,892.62,879.9,377.94,1088.3,222.13,183.89
1992_12,425.42,201.25,206.6,181.02,306.57,481.44,257.49,363.26,205.79,423.39,298.05,191.8,553.17,340.91,214.63,183.54,207.28,202.76,182.26,359.82,1273.35,1175.12,181.64,566.64,441.79,364.45,340.27,344.1,342.04,181.27,435.36,216.51,322.44,276.82,206.33,401.95,495.96,201.69,205.76,396.06,187.24,339.72,184.92,373.44,201.52,355.95,342.36,181.5,469.87,482.27,354.95,208.77,181.42,203.81,407.86,447.79,563.85,231.19,359.16,445.11,342.38,342.7,181.95,337.77,449.07,340.37,201.23,185.83,201.06,341.96,224.85,387.54,342.71,203.69,215.29,353.61,185.02,201.58,225.45,361.22,408.42,30.43,8757.76,300.04,610.29,181.77,361.75,215.47,202.23,181.24,6905.18,363.02,340.18,181.53,180.95,479.07,1086.18,190.11,910902.74,181.39,365.44,185.38,181.6,1467.79,340.41,340.03,340.47,585.96,1347.29,490.73,190.55,1411.89,301.16,205.73,206.66,227.88,340.32,208.45,750.18,366.76,327.3,235.02,201.66,341.14,614.38,30.48,374.67,193.44,180.91,181.32,209.75,466.68,197.62,224.52,333.92,366.23,341.89,416.97,402.86,186.74,185.73,396.41,210.9,397.37,340.87,396.01,181.87,460.37,181.02,181.58,181.75,341.18,279.01,200.86,374.77,373.79,237.06,406.04,212.06,166.2,181.8,340.04,339.76,340.05,4261.65,309376.67,206.83,395.17,888.43,876.44,376.54,1073.96,220.44,181.75
