Unnamed: 0,0,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1994_9,381.85,324.67,196.79,294.07,193.8,340.6,215.26,172.31,397.76,198.14,173.8,304.18,224.98,301.54,361.96,213.22,195.36,196.86,307.48,203.15,202.58,300.4
1994_10,384.02,326.77,196.8,296.08,193.73,342.75,216.69,169.41,400.41,198.27,173.77,306.1,225.45,303.52,364.11,214.63,195.36,196.88,309.55,204.54,203.96,302.3
1994_11,385.82,328.84,196.76,298.03,193.77,344.96,217.93,166.34,402.7,198.31,173.66,308.14,226.08,305.61,365.97,215.89,195.29,196.95,311.57,205.76,205.18,304.36
1994_12,387.71,330.73,196.58,299.65,193.68,346.89,219.2,162.98,404.92,198.24,173.45,309.94,226.46,307.41,367.84,217.07,195.13,196.85,313.38,206.92,206.27,306.19
1995_1,393.05,335.65,198.7,304.11,195.78,352.02,224.04,167.94,410.85,200.57,175.16,314.66,229.28,312.07,373.07,221.7,197.21,199.03,318.1,211.72,210.91,310.83
1995_2,398.67,340.71,200.85,308.73,197.92,357.37,228.77,172.7,417.06,202.93,176.87,319.5,232.13,316.79,378.55,226.38,199.35,201.22,322.96,216.33,215.54,315.55
1995_3,404.16,345.78,203.04,313.42,200.07,362.62,233.46,177.47,423.11,205.39,178.67,324.16,235.01,321.55,383.78,230.99,201.5,203.52,327.84,220.91,220.17,320.27
1995_4,409.43,350.75,205.16,318.16,202.2,367.77,238.09,182.03,428.96,207.69,180.35,329.31,237.87,326.17,388.8,235.62,203.64,205.65,332.58,225.4,224.69,324.89
1995_5,414.67,355.58,207.23,322.25,204.27,372.74,242.59,186.46,434.74,209.93,181.98,333.38,240.63,330.75,393.96,239.93,205.7,207.77,337.13,229.79,229.12,329.46
1995_6,419.94,360.43,209.32,326.69,206.38,377.84,247.18,190.87,440.66,212.24,183.63,338.06,243.41,335.35,399.04,244.38,207.79,209.89,341.81,234.25,233.6,334.05
1995_7,425.21,365.29,211.42,331.16,208.46,382.91,251.77,195.23,446.51,214.56,185.33,342.66,246.19,339.95,404.17,248.86,209.87,212.03,346.47,238.74,238.07,338.62
1995_8,430.71,370.3,213.51,335.65,210.56,388.06,256.35,199.5,452.47,216.84,186.99,347.41,249.02,344.64,409.4,253.34,211.96,214.19,351.21,243.17,242.51,343.24
1995_9,435.86,375.13,215.6,340.1,212.66,393.09,260.87,203.7,458.25,219.11,188.67,351.91,251.79,349.19,414.4,257.77,214.06,216.33,355.87,247.6,246.9,347.79
1995_10,441.1,380.03,217.68,344.72,214.71,398.18,265.46,207.88,464.11,221.42,190.3,356.53,254.56,353.77,419.5,262.26,216.14,218.46,360.59,252.1,251.33,352.36
1995_11,446.14,384.71,219.71,348.95,216.73,403.08,269.85,211.93,469.72,223.63,191.93,360.96,257.25,358.2,424.41,266.54,218.16,220.52,365.11,256.4,255.66,356.77
1995_12,451.03,389.41,221.72,353.14,218.78,408.1,274.34,215.9,475.33,225.81,193.56,365.38,259.95,362.68,429.27,270.83,220.14,222.57,369.61,260.69,259.95,361.29
1996_1,457.25,395.26,224.41,358.46,221.47,413.92,275.68,216.12,482.41,228.4,195.22,370.92,263.44,368.22,435.24,272.27,222.84,225.32,375.08,261.78,260.92,366.8
1996_2,463.3,401.03,227.05,363.84,224.1,419.96,277.03,216.31,489.41,230.96,196.92,376.5,266.83,373.62,441.15,273.79,225.56,228.06,380.66,262.71,261.87,372.2
1996_3,469.36,406.87,229.79,369.34,226.77,425.84,278.27,216.58,496.37,233.61,198.73,381.96,270.31,379.11,447.05,275.23,228.23,230.83,386.2,263.82,262.91,377.64
1996_4,475.24,412.47,232.36,374.11,229.37,431.59,279.42,216.64,503.09,235.96,200.17,387.2,273.66,384.39,452.76,276.44,230.76,233.44,391.43,264.4,263.69,382.87
1996_5,481.05,418.19,234.97,379.3,231.97,437.4,280.72,216.79,509.87,238.45,201.8,392.5,277.05,389.71,458.46,277.96,233.36,236.1,397.02,265.4,264.66,388.18
1996_6,486.65,423.57,237.5,384.12,234.52,443.02,281.9,216.85,516.47,240.85,203.37,397.74,280.29,394.84,463.99,279.12,235.88,238.68,401.97,266.19,265.49,393.37
1996_7,492.24,429.11,240.09,389.22,237.07,448.79,283.17,216.97,523.2,243.3,204.98,402.86,283.61,400.07,469.58,280.5,238.44,241.3,407.35,267.11,266.36,398.54
1996_8,497.93,434.52,242.65,394.17,239.59,454.25,284.33,217.07,529.6,245.77,206.56,408.07,286.84,405.21,475.03,281.8,240.97,243.89,412.46,268.0,267.26,403.67
1996_9,503.44,439.99,245.18,399.05,242.14,459.81,285.51,217.1,536.11,248.13,208.09,413.16,290.13,410.35,480.49,283.08,243.51,246.5,417.6,268.83,268.1,408.78
1996_10,509.1,445.37,247.72,404.09,244.6,465.5,286.82,217.28,542.68,250.56,209.66,418.29,293.33,415.44,486.07,284.47,246.03,249.09,422.86,269.73,268.98,413.81
1996_11,514.4,450.65,250.15,408.95,247.07,470.91,287.97,217.16,549.06,252.85,211.11,423.32,296.52,420.41,491.34,285.73,248.49,251.55,427.84,270.55,269.78,418.79
1996_12,519.66,455.82,252.56,413.47,249.46,476.11,289.04,217.18,555.18,255.17,212.6,428.19,299.59,425.32,496.49,286.8,250.86,254.0,432.7,271.36,270.58,423.65
1997_1,520.5,457.18,254.57,415.2,251.38,477.36,289.47,218.63,556.63,257.16,214.38,429.41,301.32,426.67,497.43,287.45,252.85,255.99,434.29,271.92,270.82,425.14
1997_2,522.34,458.87,256.55,417.22,253.61,478.95,290.07,219.72,558.42,258.99,216.04,430.96,303.5,428.85,498.59,288.15,255.02,257.97,436.1,272.17,271.34,427.15
1997_3,522.83,460.21,258.27,417.96,255.08,480.45,290.32,220.72,560.11,260.57,217.32,432.39,304.89,429.6,499.86,288.25,256.55,259.68,437.07,272.37,271.54,427.91
1997_4,524.37,461.63,260.16,419.36,256.95,481.79,290.62,221.83,561.52,262.29,218.83,433.78,306.6,430.87,500.59,288.51,258.47,261.52,438.32,272.54,271.72,429.27
1997_5,524.63,462.9,261.92,420.45,258.69,483.05,290.9,222.85,563.14,263.88,220.28,434.98,308.25,432.2,501.9,288.82,260.24,263.23,439.6,272.71,271.97,430.58
1997_6,525.45,464.1,263.71,421.74,260.44,484.27,291.17,224.02,564.54,265.55,221.76,436.25,309.82,433.46,502.78,289.11,262.0,264.97,440.8,272.93,272.2,431.86
1997_7,526.46,465.53,265.58,423.13,262.22,485.65,291.55,225.18,566.16,267.28,223.29,437.53,311.52,434.82,503.9,289.53,263.82,266.77,442.19,273.22,272.51,433.18
1997_8,527.36,466.83,267.38,424.49,263.99,486.92,291.87,226.28,567.6,268.97,224.8,438.89,313.14,436.13,504.91,289.86,265.63,268.53,443.48,273.42,272.63,434.47
1997_9,528.4,468.21,269.15,425.85,265.71,488.33,292.28,227.42,569.23,270.64,226.29,440.24,314.79,437.45,506.03,290.22,267.41,270.29,444.78,273.73,272.98,435.76
1997_10,529.25,469.51,270.88,427.09,267.44,489.58,292.55,228.46,570.65,272.22,227.69,441.4,316.38,438.71,506.95,290.5,269.17,272.02,446.02,273.91,273.17,437.05
1997_11,529.91,470.63,272.47,428.25,269.08,490.64,292.78,229.52,571.89,273.74,229.04,442.43,317.89,439.86,507.78,290.78,270.8,273.64,447.12,274.11,273.33,438.24
1997_12,530.83,471.88,274.19,429.52,270.77,491.92,293.05,230.57,573.31,275.33,230.44,443.66,319.45,441.14,508.73,291.09,272.49,275.29,448.4,274.29,273.55,439.48
1998_1,530.07,471.69,279.84,429.71,276.25,491.68,292.74,230.49,573.01,280.53,234.0,443.61,323.42,441.04,508.16,290.74,278.12,280.71,448.26,273.95,273.18,439.37
1998_2,529.45,471.63,285.4,430.02,281.59,491.49,292.59,230.44,572.75,285.65,237.53,443.51,327.37,440.99,507.65,290.49,283.6,286.06,448.24,273.79,272.86,439.31
1998_3,528.67,471.47,290.81,430.22,286.8,491.26,292.19,230.34,572.5,290.57,240.9,443.42,331.19,440.89,507.14,290.19,289.01,291.23,448.12,273.37,272.52,439.2
1998_4,527.84,471.17,296.04,430.01,291.8,490.91,291.6,230.19,571.96,295.34,244.17,443.14,334.7,440.55,506.42,289.66,294.2,296.19,447.53,272.81,272.06,439.01
1998_5,526.88,470.81,300.99,430.23,296.7,490.38,291.14,229.96,571.44,299.88,247.25,442.9,338.22,440.39,505.67,289.24,299.17,300.95,447.49,272.31,271.62,438.79
1998_6,526.18,470.56,305.93,430.31,301.5,490.02,290.76,229.8,570.99,304.42,250.34,442.62,341.67,440.21,505.01,288.86,304.09,305.69,447.25,271.91,271.21,438.58
