Unnamed: 0,0,1,2,3,4,5,6,7
1999_5,383.89,640.62,372.79,249.77,430.34,341.62,258.75,487.35
1999_6,381.88,636.69,371.3,249.58,428.24,341.35,257.73,484.43
1999_7,379.8,632.63,370.07,249.46,426.08,341.16,256.88,481.56
1999_8,377.69,629.29,368.64,249.21,423.78,340.79,255.87,478.78
1999_9,375.73,625.56,367.37,249.07,421.61,340.58,255.01,475.97
1999_10,373.59,621.69,365.95,248.87,419.3,340.23,254.03,473.07
1999_11,371.41,617.88,364.52,248.64,416.99,339.9,253.02,470.11
1999_12,369.24,613.84,363.1,248.35,414.66,339.51,252.08,467.16
2000_1,369.45,613.37,363.5,249.1,414.69,340.31,252.5,466.89
2000_2,369.71,613.23,363.96,249.88,414.8,341.18,252.89,466.73
2000_3,369.92,612.79,364.33,250.64,414.84,341.97,253.21,466.51
2000_4,370.0,612.4,364.66,251.35,414.78,342.71,253.45,466.12
2000_5,369.88,611.47,364.71,251.93,414.47,343.3,253.61,465.44
2000_6,369.77,610.54,364.85,252.49,414.17,343.85,253.78,464.83
2000_7,369.74,609.67,365.0,253.09,413.89,344.46,253.97,464.31
2000_8,369.7,608.99,365.14,253.66,413.61,345.01,254.13,463.74
2000_9,369.5,608.0,365.16,254.16,413.22,345.47,254.25,462.99
2000_10,369.25,606.84,365.1,254.59,412.79,345.91,254.24,462.2
2000_11,369.03,605.74,365.07,254.99,412.32,346.29,254.34,461.44
2000_12,368.65,604.39,364.87,255.39,411.72,346.61,254.3,460.46
2001_1,368.04,603.86,364.53,255.12,411.53,346.51,253.52,459.92
2001_2,367.45,603.02,364.24,254.88,411.3,346.25,252.68,459.27
2001_3,366.96,602.35,364.04,254.72,411.16,346.07,251.83,458.78
2001_4,366.38,601.49,363.68,254.48,410.91,345.83,250.92,458.14
2001_5,365.63,600.45,363.32,254.15,410.58,345.52,249.98,457.31
2001_6,364.93,599.45,362.91,253.83,410.25,345.2,249.03,456.57
2001_7,364.2,598.42,362.46,253.5,409.89,344.87,248.05,455.84
2001_8,363.45,597.42,362.02,253.19,409.52,344.52,247.08,455.02
2001_9,362.79,596.27,361.61,252.83,409.12,344.14,246.1,454.23
2001_10,362.0,595.21,361.11,252.45,408.69,343.73,245.1,453.42
2001_11,361.1,593.88,360.51,251.97,408.15,343.24,243.95,452.47
2001_12,360.22,592.53,359.92,251.55,407.55,342.66,242.94,451.49
2002_1,360.5,592.14,360.17,251.61,407.67,343.08,243.33,451.24
2002_2,360.98,592.11,360.7,251.89,407.98,343.75,243.9,451.28
2002_3,361.32,592.01,361.04,252.1,408.16,344.24,244.29,451.23
2002_4,361.62,591.78,361.38,252.33,408.32,344.76,244.72,451.02
2002_5,361.71,591.25,361.54,252.43,408.3,345.17,245.02,450.64
2002_6,361.81,590.62,361.7,252.48,408.26,345.52,245.31,450.16
2002_7,361.75,590.0,361.86,252.56,408.23,345.86,245.61,449.68
2002_8,362.11,589.71,362.09,252.67,408.21,346.26,245.98,449.61
2002_9,362.23,589.02,362.21,252.67,408.13,346.52,246.24,449.17
2002_10,362.29,588.3,362.26,252.63,407.96,346.78,246.47,448.73
2002_11,362.19,587.41,362.2,252.52,407.69,346.93,246.65,448.08
2002_12,362.01,586.48,362.11,252.33,407.35,346.89,246.75,447.36
2003_1,364.64,590.59,364.72,253.64,410.69,349.2,248.26,450.97
2003_2,368.13,596.17,368.11,255.35,414.82,352.06,250.17,455.04
2003_3,371.01,601.12,370.98,256.78,418.48,354.52,251.76,458.82
2003_4,373.98,606.01,373.91,258.26,422.2,357.0,253.35,462.56
2003_5,376.91,610.66,376.81,259.65,425.76,359.41,254.97,466.29
2003_6,379.94,615.49,379.79,261.05,429.51,361.8,256.64,470.1
2003_7,382.68,620.04,382.59,262.5,432.98,364.26,258.17,473.6
2003_8,385.64,624.92,385.54,263.94,436.65,366.71,259.76,477.31
2003_9,388.57,629.59,388.41,265.28,440.3,369.11,261.36,481.04
2003_10,391.39,634.31,391.19,266.63,443.82,371.45,262.91,484.67
2003_11,394.17,638.47,393.76,267.72,447.1,373.48,264.28,488.25
2003_12,396.63,642.62,396.41,268.97,450.45,375.77,265.71,491.29
2004_1,400.64,647.81,400.06,271.52,454.3,379.15,269.08,495.32
2004_2,404.27,652.31,403.38,273.93,457.78,382.25,272.26,498.89
2004_3,407.91,656.82,406.7,276.31,461.26,385.35,275.35,502.42
2004_4,411.37,661.16,409.86,278.63,464.63,388.41,278.37,505.73
2004_5,414.85,665.35,413.03,280.93,467.98,391.42,281.43,509.07
2004_6,418.32,669.47,416.18,283.22,471.26,394.4,284.46,512.39
2004_7,421.81,673.71,419.37,285.53,474.61,397.41,287.54,515.78
2004_8,425.37,678.06,422.57,287.87,478.0,400.47,290.6,519.15
2004_9,428.95,682.42,425.83,290.14,481.35,403.47,293.69,522.61
2004_10,432.34,686.56,428.93,292.4,484.62,406.44,296.67,525.9
2004_11,435.78,690.68,432.01,294.62,487.88,409.38,299.68,529.13
2004_12,439.15,694.74,435.09,296.77,491.1,412.24,302.69,532.37
2005_1,443.78,701.01,439.24,299.51,496.15,415.48,306.12,537.74
2005_2,448.49,708.33,443.42,302.17,501.51,419.32,309.4,543.19
2005_3,453.19,715.43,448.08,305.19,506.81,423.03,312.99,548.67
2005_4,457.83,722.49,452.4,308.03,512.07,426.63,316.41,554.12
2005_5,462.46,729.35,456.63,310.81,517.25,430.17,319.79,559.46
2005_6,467.03,735.9,460.89,313.47,522.35,433.59,323.13,564.76
2005_7,471.66,742.72,465.18,316.29,527.5,437.15,326.55,570.09
2005_8,476.33,749.64,469.5,319.07,532.78,440.72,329.96,575.51
2005_9,480.89,756.29,473.73,321.76,537.9,444.2,333.29,580.85
2005_10,485.56,763.12,478.02,324.48,543.09,447.7,336.67,586.17
2005_11,490.05,769.86,482.13,327.11,548.12,451.11,339.99,591.42
2005_12,494.54,776.05,486.24,329.62,553.13,454.41,343.32,596.51
2006_1,502.88,791.36,493.51,331.76,564.51,457.95,346.41,608.47
2006_2,511.44,806.96,501.0,334.19,575.98,462.04,349.54,620.59
2006_3,519.68,822.33,508.23,336.52,587.19,465.73,352.58,632.39
2006_4,527.9,837.29,515.35,338.61,598.27,469.36,355.58,643.84
2006_5,535.9,851.93,522.29,340.66,609.19,472.78,358.42,655.31
2006_6,544.1,866.8,529.4,342.8,620.18,476.32,361.4,666.9
