Unnamed: 0,0,1,2,3,4,5,6,7,9,10,11,12,13,14
1996_1,198.73,468.2,315.37,224.16,378.84,274.67,261.18,369.45,220.1,445.95,429.93,222.85,222.87,229.53
1996_2,199.34,474.3,318.9,226.87,384.37,276.08,262.14,374.89,222.86,452.43,435.83,225.56,225.53,232.35
1996_3,200.04,480.44,322.47,229.56,389.98,277.5,263.21,380.39,225.48,458.81,441.71,228.29,228.24,235.25
1996_4,200.5,486.36,325.55,232.17,395.34,278.62,263.96,385.67,228.01,464.97,447.41,230.57,230.78,237.93
1996_5,201.07,492.23,329.0,234.81,400.81,280.02,264.93,391.01,230.58,471.21,453.1,233.1,233.38,240.7
1996_6,201.55,497.87,332.06,237.38,406.07,281.25,265.74,396.15,233.12,477.25,458.62,235.59,235.91,243.37
1996_7,202.09,503.5,335.37,239.97,411.39,282.59,266.63,401.41,235.64,483.46,464.19,238.1,238.45,246.1
1996_8,202.6,509.23,338.58,242.53,416.63,283.85,267.55,406.55,238.11,489.32,469.64,240.59,241.0,248.78
1996_9,203.05,514.78,341.74,245.11,421.88,285.09,268.36,411.7,240.65,495.3,475.09,243.05,243.53,251.48
1996_10,203.61,520.5,345.02,247.61,427.04,286.45,269.28,416.82,243.12,501.39,480.65,245.48,246.06,254.16
1996_11,203.92,525.83,348.14,250.12,432.13,287.66,270.07,421.8,245.54,507.2,485.93,247.82,248.5,256.74
1996_12,204.34,531.13,351.02,252.52,437.11,288.78,270.88,426.72,247.91,512.81,491.07,250.2,250.89,259.26
1997_1,206.05,531.91,352.26,254.45,438.57,289.3,271.27,428.07,249.9,514.1,492.06,252.29,252.88,261.24
1997_2,207.5,533.59,353.69,256.71,440.48,289.86,271.52,430.19,252.15,515.78,493.29,254.35,254.95,263.29
1997_3,208.74,534.13,354.08,258.18,441.44,290.19,271.85,431.02,253.55,517.3,494.57,255.85,256.56,264.89
1997_4,210.14,535.54,354.98,260.06,442.84,290.4,272.06,432.29,255.47,518.65,495.35,257.62,258.47,266.71
1997_5,211.46,535.81,355.72,261.82,444.14,290.73,272.23,433.61,257.22,520.01,496.67,259.43,260.24,268.41
1997_6,212.88,536.56,356.56,263.57,445.4,291.0,272.46,434.86,259.0,521.26,497.61,261.2,262.01,270.13
1997_7,214.32,537.51,357.5,265.37,446.77,291.4,272.78,436.22,260.77,522.72,498.75,263.05,263.84,271.91
1997_8,215.72,538.37,358.38,267.15,448.08,291.73,272.92,437.54,262.54,524.02,499.81,264.87,265.63,273.65
1997_9,217.11,539.36,359.26,268.89,449.4,292.12,273.27,438.86,264.29,525.49,500.96,266.62,267.42,275.4
1997_10,218.43,540.15,360.07,270.63,450.7,292.41,273.44,440.12,266.07,526.78,501.92,268.26,269.16,277.1
1997_11,219.73,540.75,360.82,272.27,451.88,292.67,273.62,441.26,267.73,527.9,502.78,269.83,270.79,278.7
1997_12,221.05,541.62,361.65,273.95,453.13,292.96,273.81,442.54,269.38,529.18,503.76,271.54,272.48,280.34
1998_1,222.28,540.77,361.74,279.44,453.05,292.64,273.45,442.43,274.99,528.86,503.26,277.03,278.11,285.52
1998_2,223.52,540.07,361.92,284.81,453.06,292.5,273.17,442.39,280.39,528.61,502.79,282.48,283.6,290.63
1998_3,224.68,539.21,362.03,290.05,452.99,292.15,272.82,442.3,285.71,528.34,502.32,287.7,288.99,295.56
1998_4,225.76,538.29,361.85,295.06,452.81,291.51,272.35,441.92,290.87,527.77,501.65,292.8,294.2,300.27
1998_5,226.73,537.25,361.91,299.95,452.58,291.07,271.88,441.78,295.8,527.27,500.95,297.61,299.15,304.83
1998_6,227.73,536.47,361.9,304.76,452.41,290.69,271.48,441.59,300.67,526.84,500.34,302.43,304.07,309.34
1998_7,228.64,535.37,361.78,309.38,452.06,290.18,271.0,441.23,305.32,526.28,499.63,307.06,308.8,313.66
