Unnamed: 0,0,1,2,3,4,5,6,7,8,9
1998_2,411.36,754.65,203.54,378.68,282.64,268.02,421.71,310.63,328.0,511.52
1998_3,411.12,752.65,204.69,380.42,288.01,267.87,422.36,314.96,334.04,511.04
1998_4,410.59,750.52,205.78,381.83,293.18,267.59,422.77,319.1,340.04,510.34
1998_5,410.26,748.15,206.73,383.47,298.12,267.31,423.28,323.13,345.82,509.63
1998_6,409.93,746.11,207.72,385.0,303.02,267.09,423.8,327.09,351.45,509.01
1998_7,409.48,743.75,208.63,386.38,307.74,266.79,424.11,330.88,356.88,508.28
1998_8,409.04,741.57,209.54,387.71,312.34,266.48,424.48,334.55,362.13,507.53
1998_9,408.52,739.21,210.36,388.94,316.81,266.13,424.74,338.07,367.23,506.67
1998_10,407.94,736.66,211.04,390.08,321.11,265.71,424.87,341.45,372.18,505.73
1998_11,407.31,734.04,211.7,391.11,325.24,265.28,424.97,344.71,376.96,504.77
1998_12,406.48,731.11,212.29,392.0,329.12,264.76,424.9,347.82,381.49,503.51
1999_1,404.6,726.3,212.18,390.79,329.26,263.9,423.26,347.6,381.64,500.92
1999_2,402.63,721.33,212.11,389.58,329.37,263.03,421.5,347.32,381.67,498.26
1999_3,400.52,716.43,211.93,388.39,329.45,261.92,419.69,347.01,381.79,495.55
1999_4,398.54,711.43,211.82,386.84,329.64,261.0,417.95,346.74,381.78,492.77
1999_5,396.43,706.44,211.68,385.69,329.68,260.1,415.95,346.37,381.88,490.03
1999_6,394.37,701.08,211.47,384.1,329.67,258.99,414.14,345.99,381.88,487.08
1999_7,392.24,695.45,211.34,382.8,329.75,258.04,412.26,345.68,381.92,484.2
1999_8,390.07,690.96,211.1,381.31,329.67,256.93,410.25,345.2,381.78,481.38
1999_9,388.04,685.9,210.94,379.97,329.76,255.98,408.38,344.86,381.86,478.55
1999_10,385.84,680.73,210.72,378.47,329.75,254.89,406.36,344.39,381.79,475.62
1999_11,383.6,675.66,210.5,376.97,329.71,253.78,404.35,343.94,381.7,472.65
1999_12,381.36,670.34,210.22,375.47,329.58,252.74,402.31,343.43,381.52,469.67
2000_1,381.53,668.99,210.85,375.83,330.46,253.19,402.46,344.2,382.48,469.39
2000_2,381.78,667.95,211.47,376.26,331.45,253.62,402.67,345.02,383.64,469.22
2000_3,381.96,666.68,212.08,376.59,332.4,253.96,402.83,345.75,384.57,468.99
2000_4,382.01,665.33,212.65,376.88,333.28,254.23,402.89,346.44,385.65,468.59
2000_5,381.85,663.42,213.1,376.88,333.99,254.42,402.71,346.98,386.36,467.9
2000_6,381.7,661.66,213.55,376.97,334.64,254.62,402.54,347.49,387.12,467.27
2000_7,381.64,660.01,214.02,377.08,335.37,254.84,402.38,348.04,387.95,466.75
2000_8,381.55,658.39,214.47,377.17,336.07,255.04,402.23,348.54,388.66,466.16
2000_9,381.31,656.49,214.86,377.14,336.69,255.18,401.96,348.94,389.32,465.41
2000_10,381.02,654.5,215.17,377.02,337.24,255.21,401.67,349.33,389.93,464.61
2000_11,380.75,652.47,215.48,376.94,337.71,255.34,401.32,349.66,390.5,463.83
2000_12,380.32,650.27,215.76,376.68,338.18,255.33,400.86,349.93,390.99,462.84
2001_1,379.75,648.35,215.5,376.39,337.9,254.53,400.67,349.85,390.88,462.28
2001_2,379.21,646.24,215.23,376.16,337.68,253.68,400.44,349.59,390.57,461.62
2001_3,378.77,644.37,215.02,376.02,337.54,252.82,400.3,349.4,390.4,461.11
2001_4,378.24,642.28,214.75,375.71,337.32,251.89,400.05,349.16,390.11,460.45
2001_5,377.54,639.98,214.4,375.41,336.98,250.94,399.73,348.85,389.75,459.61
2001_6,376.88,637.81,214.06,375.05,336.64,249.97,399.41,348.53,389.41,458.85
2001_7,376.2,635.63,213.71,374.66,336.29,248.98,399.05,348.21,389.01,458.1
2001_8,375.49,633.42,213.38,374.27,335.96,247.99,398.69,347.84,388.6,457.27
2001_9,374.88,631.17,212.99,373.92,335.6,247.0,398.3,347.46,388.15,456.47
2001_10,374.13,629.08,212.62,373.47,335.2,245.99,397.88,347.05,387.72,455.64
2001_11,373.27,626.58,212.12,372.92,334.69,244.83,397.35,346.55,387.18,454.68
2001_12,372.42,624.19,211.74,372.38,334.12,243.8,396.76,345.97,386.42,453.68
2002_1,372.66,622.77,211.66,372.59,334.52,244.21,396.94,346.38,386.82,453.42
2002_2,373.14,621.84,211.74,373.1,335.25,244.81,397.3,347.02,387.91,453.45
2002_3,373.46,620.73,211.78,373.41,335.83,245.22,397.53,347.49,388.47,453.39
2002_4,373.74,619.56,211.83,373.73,336.44,245.67,397.74,347.97,389.25,453.17
2002_5,373.8,618.1,211.76,373.84,336.91,245.99,397.78,348.36,389.69,452.77
2002_6,373.87,616.49,211.66,373.98,337.28,246.31,397.8,348.7,390.18,452.28
2002_7,373.78,614.98,211.59,374.11,337.69,246.63,397.83,349.02,390.57,451.8
2002_8,374.12,613.79,211.54,374.3,338.16,247.03,397.87,349.38,391.14,451.71
2002_9,374.2,612.22,211.39,374.39,338.49,247.31,397.85,349.61,391.57,451.25
2002_10,374.24,610.66,211.2,374.39,338.82,247.57,397.74,349.84,391.93,450.81
2002_11,374.09,608.89,210.95,374.29,339.02,247.77,397.54,349.96,392.21,450.14
2002_12,373.87,606.99,210.69,374.16,339.03,247.9,397.26,349.9,392.1,449.4
2003_1,376.65,610.65,211.67,376.93,341.13,249.39,400.43,352.3,394.69,453.01
2003_2,380.3,615.58,212.97,380.5,343.81,251.31,404.37,355.22,397.71,457.1
2003_3,383.33,619.83,214.06,383.53,346.07,252.89,407.84,357.75,400.33,460.89
