Unnamed: 0,0,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21
1994_12,307.55,311.16,158.23,207.72,270.06,941.37,196.29,207.15,237.83,594.39,194.56,195.21,227.88,204.73,194.92,321.51,313.75,371.9,352.82,362.9
1995_1,312.22,315.85,162.25,210.13,274.01,951.78,198.42,211.93,242.7,601.73,196.65,197.35,232.52,209.05,197.07,326.31,318.48,377.32,357.92,368.1
1995_2,316.94,320.65,166.09,212.56,278.1,962.75,200.56,216.56,247.54,609.44,198.78,199.53,237.21,213.39,199.27,331.26,323.3,382.99,363.26,373.58
1995_3,321.69,325.52,169.96,215.02,282.25,973.53,202.73,221.15,252.33,617.01,200.92,201.8,241.84,217.74,201.44,336.22,328.13,388.53,368.31,378.8
1995_4,326.33,330.21,173.64,217.47,286.44,983.28,204.85,225.66,257.06,624.15,203.05,203.92,246.46,221.96,203.63,341.02,332.84,394.0,373.37,383.81
1995_5,330.91,334.72,177.2,219.82,290.07,993.46,206.94,230.05,261.64,631.34,205.11,206.01,250.78,226.12,205.78,345.77,337.49,399.22,378.23,388.96
1995_6,335.51,339.38,180.74,222.21,293.99,1003.2,209.02,234.52,266.32,638.39,207.2,208.13,255.24,230.31,207.98,350.52,342.16,404.61,383.18,394.06
1995_7,340.11,344.02,184.25,224.58,297.95,1013.2,211.12,239.01,270.99,645.51,209.28,210.26,259.74,234.5,210.1,355.28,346.81,409.97,388.2,399.18
1995_8,344.79,348.72,187.68,226.99,301.91,1023.53,213.2,243.45,275.68,652.91,211.37,212.39,264.23,238.66,212.2,360.2,351.55,415.41,393.29,404.39
1995_9,349.35,353.34,191.06,229.36,305.85,1033.18,215.31,247.88,280.28,659.9,213.46,214.52,268.67,242.77,214.35,364.87,356.19,420.71,398.16,409.4
1995_10,353.93,358.05,194.39,231.73,309.9,1042.99,217.37,252.38,284.98,666.95,215.52,216.63,273.19,246.92,216.49,369.67,360.86,426.07,403.15,414.49
1995_11,358.37,362.55,197.63,234.03,313.65,1052.05,219.41,256.68,289.45,673.63,217.53,218.69,277.47,250.97,218.53,374.25,365.34,431.26,407.93,419.4
1995_12,362.86,366.98,200.81,236.34,317.35,1069.07,221.43,260.98,294.03,680.27,219.54,220.73,281.78,254.98,220.64,378.82,369.92,436.54,412.62,424.27
1996_1,368.41,372.49,201.15,239.38,321.76,1080.76,224.12,262.06,296.08,688.14,222.23,223.44,283.7,256.16,223.36,384.53,375.53,442.79,418.49,430.27
1996_2,373.79,378.03,201.48,242.33,326.23,1091.95,226.79,262.98,298.21,695.92,224.91,226.14,285.68,257.31,226.08,390.21,381.03,449.22,424.31,436.22
1996_3,379.28,383.57,201.88,245.35,330.84,1103.41,229.62,264.11,300.17,703.61,227.54,228.92,287.61,258.55,229.13,395.91,386.6,455.5,430.07,442.17
1996_4,384.56,388.83,202.07,248.27,334.71,1114.03,232.06,264.69,302.09,711.13,230.12,231.48,289.28,259.56,231.48,401.38,391.94,461.64,435.67,447.89
1996_5,389.9,394.3,202.35,251.2,338.99,1124.53,234.66,265.7,304.13,718.72,232.72,234.13,291.3,260.71,234.13,406.91,397.37,467.83,441.25,453.62
1996_6,395.03,399.34,202.55,254.04,342.98,1134.55,237.21,266.49,306.03,725.64,235.24,236.69,292.88,261.75,236.77,412.22,402.62,473.82,446.69,459.19
1996_7,400.25,404.7,202.81,256.93,347.19,1144.17,239.77,267.4,308.05,732.67,237.79,239.29,294.72,262.83,239.36,417.69,407.9,479.97,452.13,464.84
1996_8,405.39,409.85,203.03,259.75,351.3,1154.3,242.32,268.28,309.91,739.74,240.32,241.87,296.46,263.95,241.96,422.94,413.12,485.8,457.52,470.3
1996_9,410.54,414.97,203.2,262.62,355.33,1164.08,244.86,269.12,311.81,746.72,242.85,244.45,298.19,264.95,244.53,428.3,418.33,491.71,462.88,475.8
1996_10,415.62,420.23,203.49,265.4,359.49,1173.87,247.37,270.01,313.85,753.72,245.34,247.03,300.04,266.04,247.04,433.6,423.46,497.75,468.37,481.4
1996_11,420.6,425.22,203.52,268.19,363.5,1183.18,249.81,270.84,315.71,760.26,247.8,249.48,301.72,267.02,249.58,438.72,428.53,503.52,473.55,486.72
1996_12,425.51,430.11,203.66,270.85,367.23,1191.96,252.27,271.66,317.47,766.71,250.16,251.9,303.23,268.02,252.06,443.8,433.48,509.08,478.63,491.9
1997_1,426.87,431.68,205.23,272.69,368.84,1190.44,254.34,272.17,318.06,766.62,252.11,253.89,304.08,268.51,253.93,445.07,434.95,510.34,479.63,492.93
1997_2,428.99,433.62,206.48,274.92,370.82,1189.64,256.38,272.44,318.92,766.77,254.33,255.85,304.85,269.13,256.34,447.22,436.87,511.85,480.77,494.31
1997_3,429.79,434.51,207.55,276.4,371.63,1189.74,257.93,272.65,319.34,767.35,255.84,257.55,305.03,269.53,257.63,448.14,437.77,513.51,482.21,495.49
1997_4,431.08,435.71,208.78,278.2,373.02,1184.06,259.8,272.83,319.88,767.1,257.75,259.41,305.42,269.92,259.51,449.48,439.15,514.86,483.1,496.27
1997_5,432.39,437.04,209.94,279.94,374.15,1187.81,261.59,272.99,320.33,767.54,259.51,261.11,305.8,270.32,261.23,450.78,440.44,516.18,484.37,497.67
1997_6,433.66,438.25,211.2,281.6,375.43,1186.21,263.38,273.22,320.81,767.37,261.27,262.85,306.2,270.75,262.97,451.99,441.7,517.43,485.31,498.66
1997_7,435.01,439.64,212.48,283.38,376.8,1185.81,265.23,273.51,321.38,767.62,263.08,264.65,306.73,271.25,264.76,453.44,443.04,518.85,486.47,499.83
1997_8,436.33,440.98,213.71,285.09,378.14,1184.86,267.04,273.68,321.9,767.67,264.88,266.42,307.17,271.57,266.54,454.69,444.34,520.14,487.59,500.9
1997_9,437.65,442.28,214.95,286.81,379.49,1184.1,268.82,274.01,322.52,767.89,266.63,268.18,307.63,272.08,268.24,456.09,445.64,521.6,488.74,502.09
1997_10,438.9,443.52,216.11,288.48,380.72,1182.88,270.53,274.19,322.99,768.02,268.38,269.89,308.03,272.44,270.0,457.37,446.94,522.87,489.72,503.08
1997_11,440.06,444.63,217.26,290.07,381.89,1181.93,272.14,274.39,323.38,767.77,270.03,271.51,308.4,272.77,271.65,458.48,448.1,523.97,490.59,503.98
1997_12,441.35,445.93,218.42,291.72,383.13,1180.66,273.86,274.56,323.86,767.77,271.72,273.16,308.81,273.16,273.29,459.72,449.35,525.25,491.61,504.99
1998_1,441.23,445.82,218.86,296.61,384.4,1176.14,279.51,274.23,323.61,765.57,277.31,278.58,308.49,273.49,278.64,459.58,449.21,524.93,491.19,504.5
1998_2,441.18,445.81,219.33,301.44,385.74,1171.8,285.02,274.03,323.46,763.49,282.78,283.92,308.29,273.84,283.82,459.51,449.15,524.67,490.77,504.06
1998_3,441.09,445.7,219.73,306.13,386.97,1167.43,290.44,273.62,323.13,761.28,288.12,289.09,308.0,274.15,288.85,459.38,449.01,524.38,490.37,503.62
1998_4,440.76,445.11,220.08,310.52,387.88,1162.86,295.69,273.07,322.65,758.95,293.25,294.07,307.43,274.35,293.73,459.08,448.8,523.94,489.75,502.97
1998_5,440.58,445.12,220.32,314.87,389.01,1157.89,300.64,272.59,322.23,756.4,298.23,298.82,307.07,274.52,298.49,458.8,448.52,523.32,489.14,502.29
1998_6,440.41,444.9,220.62,319.13,390.06,1153.35,305.58,272.19,321.9,754.2,303.12,303.56,306.69,274.72,303.15,458.57,448.3,522.87,488.55,501.7
1998_7,440.02,444.58,220.85,323.21,390.95,1148.52,310.33,271.67,321.45,751.65,307.84,308.1,306.22,274.85,307.63,458.2,447.9,522.29,487.91,501.01
1998_8,439.73,444.2,221.08,327.2,391.83,1143.87,314.96,271.18,321.02,749.29,312.41,312.55,305.75,274.93,311.93,457.84,447.57,521.74,487.28,500.3
1998_9,439.33,443.83,221.24,331.05,392.58,1138.85,319.46,270.69,320.55,746.76,316.84,316.87,305.25,274.95,316.14,457.4,447.15,521.06,486.5,499.45
1998_10,438.82,443.35,221.28,334.72,393.27,1133.77,323.76,270.09,319.99,744.02,321.1,320.98,304.69,274.9,320.19,456.82,446.63,520.29,485.69,498.56
1998_11,438.29,442.74,221.32,338.26,393.88,1128.56,327.91,269.5,319.44,741.23,325.23,324.96,304.09,274.87,324.08,456.23,446.06,519.5,484.78,497.65
1998_12,437.62,442.06,221.31,341.61,394.34,1122.88,331.83,268.84,318.77,738.15,329.16,328.69,303.39,274.67,327.86,455.4,445.34,518.41,483.63,496.44
1999_1,435.71,440.12,221.26,341.54,392.94,1114.15,331.98,267.67,317.35,733.14,329.31,328.78,301.97,273.56,327.99,453.37,443.34,515.94,481.18,493.91
1999_2,433.65,438.1,221.24,341.39,391.55,1105.51,332.08,266.37,315.8,728.01,329.4,328.87,300.57,272.43,327.99,451.24,441.28,513.33,478.67,491.31
1999_3,431.54,435.95,221.15,341.14,390.36,1096.71,332.14,264.68,314.03,722.92,329.46,328.91,298.74,271.14,328.04,449.15,439.19,510.7,476.08,488.67
1999_4,429.54,433.71,221.08,341.12,388.42,1087.9,332.29,263.37,312.57,717.78,329.61,329.04,297.29,269.98,328.07,446.91,437.04,507.92,473.48,485.92
1999_5,427.26,431.4,221.01,340.84,387.26,1079.35,332.36,262.07,311.01,712.58,329.65,329.0,295.88,268.81,328.05,444.41,434.79,505.17,470.93,483.26
1999_6,425.17,429.32,220.85,340.57,385.32,1069.94,332.35,260.49,309.28,707.05,329.66,328.94,294.14,267.44,328.0,442.21,432.53,502.46,468.16,480.38
1999_7,423.0,427.17,220.78,340.38,383.86,1060.17,332.43,259.1,307.61,701.23,329.74,328.99,292.59,266.24,328.03,439.97,430.34,499.63,465.43,477.54
1999_8,420.69,424.84,220.57,340.03,382.2,1052.23,332.35,257.59,305.92,696.61,329.66,328.85,290.9,264.88,327.92,437.56,427.97,496.81,462.81,474.81
1999_9,418.52,422.68,220.5,339.83,380.66,1043.51,332.43,256.21,304.34,691.4,329.74,328.91,289.37,263.63,327.92,435.27,425.74,494.1,460.12,472.05
1999_10,416.21,420.34,220.34,339.5,378.98,1034.58,332.4,254.69,302.65,686.06,329.69,328.8,287.68,262.29,327.74,432.82,423.37,491.25,457.36,469.18
1999_11,413.9,417.95,220.15,339.2,377.32,1025.8,332.33,253.17,300.87,680.85,329.65,328.73,285.95,260.92,327.66,430.4,421.01,488.3,454.53,466.26
1999_12,411.58,415.63,219.99,338.83,375.63,1016.6,332.18,251.69,299.18,675.4,329.54,328.55,284.31,259.57,327.47,427.91,418.61,485.39,451.71,463.36
2000_1,411.62,415.66,220.41,339.65,375.93,1013.73,333.08,252.37,299.67,673.93,330.45,329.42,284.79,260.11,328.26,427.87,418.65,485.21,451.51,463.1
2000_2,411.71,415.77,220.83,340.5,376.3,1010.96,334.07,252.91,300.07,672.77,331.43,330.4,285.22,260.7,329.24,427.98,418.78,485.19,451.38,462.96
2000_3,411.74,415.8,221.21,341.33,376.53,1008.19,335.02,253.31,300.45,671.4,332.32,331.32,285.56,261.21,330.09,428.02,418.75,485.07,451.21,462.75
2000_4,411.67,415.69,221.56,342.1,376.79,1004.99,335.89,253.59,300.71,669.93,333.19,332.19,285.76,261.66,330.92,427.93,418.65,484.81,450.87,462.38
2000_5,411.38,415.34,221.79,342.65,376.7,1001.07,336.62,253.84,300.89,667.91,333.91,332.83,285.92,261.99,331.64,427.51,418.34,484.23,450.24,461.72
2000_6,411.07,415.04,222.02,343.21,376.74,997.44,337.3,254.15,301.06,666.04,334.58,333.47,286.08,262.33,332.28,427.16,418.02,483.68,449.7,461.12
2000_7,410.77,414.78,222.27,343.82,376.8,994.01,338.02,254.44,301.27,664.3,335.32,334.16,286.29,262.7,332.98,426.9,417.75,483.24,449.24,460.63
2000_8,410.49,414.5,222.49,344.37,376.82,990.61,338.71,254.77,301.5,662.55,335.99,334.85,286.49,263.03,333.59,426.58,417.43,482.76,448.73,460.07
2000_9,410.09,414.07,222.66,344.84,376.74,986.82,339.33,255.04,301.6,660.56,336.59,335.44,286.58,263.32,334.17,426.13,416.99,482.12,448.05,459.34
2000_10,409.68,413.61,222.72,345.29,376.54,982.89,339.85,255.18,301.63,658.48,337.16,335.94,286.57,263.5,334.72,425.62,416.54,481.43,447.32,458.57
2000_11,409.2,413.14,222.84,345.69,376.4,978.92,340.3,255.42,301.71,656.36,337.65,336.43,286.68,263.76,335.22,425.1,416.02,480.75,446.63,457.82
2000_12,408.62,412.49,222.89,346.0,376.07,981.12,340.77,255.57,301.71,654.02,338.11,336.85,286.58,263.89,335.65,424.39,415.42,479.86,445.74,456.86
2001_1,408.44,411.93,222.45,345.88,375.83,965.71,340.51,254.79,301.1,651.93,338.0,336.44,285.84,263.07,335.55,424.24,415.31,479.38,445.31,456.33
2001_2,408.21,411.7,221.97,345.63,375.58,962.86,340.31,253.82,300.27,649.61,337.73,336.19,285.1,262.2,335.31,423.95,415.07,478.9,444.76,455.7
2001_3,408.07,411.59,221.53,345.46,375.4,960.5,340.17,252.78,299.52,647.55,337.55,336.09,284.29,261.38,335.13,423.83,414.91,478.59,444.36,455.22
2001_4,407.83,411.33,221.04,345.23,375.01,957.69,339.94,251.78,298.76,645.29,337.31,335.87,283.4,260.47,334.87,423.54,414.64,478.13,443.82,454.6
2001_5,407.52,411.0,220.47,344.9,374.71,954.48,339.59,250.71,297.86,642.83,336.99,335.54,282.57,259.5,334.64,423.12,414.27,477.45,443.08,453.79
2001_6,407.21,410.65,219.89,344.6,374.3,951.58,339.24,249.66,297.01,640.46,336.66,335.22,281.65,258.55,334.34,422.75,413.94,476.87,442.46,453.07
2001_7,406.85,410.28,219.32,344.26,373.86,948.52,338.88,248.58,296.11,638.1,336.33,334.85,280.7,257.57,334.04,422.35,413.57,476.24,441.82,452.35
2001_8,406.5,409.9,218.75,343.89,373.44,945.52,338.55,247.5,295.2,635.73,335.97,334.54,279.78,256.57,333.67,421.92,413.19,475.56,441.09,451.56
2001_9,406.11,409.55,218.15,343.53,373.04,942.36,338.17,246.47,294.39,633.32,335.6,334.2,278.9,255.56,333.35,421.5,412.76,475.01,440.4,450.79
2001_10,405.68,409.13,217.56,343.13,372.55,939.44,337.7,245.38,293.44,631.1,335.19,333.79,277.93,254.53,332.95,421.04,412.32,474.29,439.68,449.99
2001_11,405.16,408.54,216.83,342.64,371.94,935.81,337.18,244.17,292.41,628.45,334.7,333.28,276.88,253.37,332.51,420.42,411.78,473.48,438.81,449.07
2001_12,404.58,408.0,216.23,342.08,371.38,932.56,336.66,243.04,291.44,625.89,334.11,332.78,275.84,252.34,331.94,419.74,411.14,472.59,437.96,448.1
2002_1,404.71,408.1,216.22,342.55,371.57,930.58,337.0,243.62,291.98,624.34,334.54,333.22,276.26,252.81,332.21,419.82,411.26,472.51,437.79,447.87
2002_2,405.0,408.44,216.37,343.2,372.06,929.29,337.76,244.34,292.61,623.27,335.27,333.92,276.91,253.48,333.03,420.13,411.56,472.73,437.89,447.92
2002_3,405.18,408.62,216.47,343.72,372.33,927.81,338.3,244.74,293.03,622.03,335.82,334.51,277.3,253.99,333.61,420.33,411.7,472.77,437.9,447.88
2002_4,405.34,408.78,216.57,344.23,372.62,926.15,338.94,245.24,293.51,620.74,336.4,335.09,277.73,254.52,334.16,420.45,411.82,472.76,437.78,447.68
2002_5,405.32,408.69,216.54,344.65,372.7,924.05,339.4,245.63,293.83,619.14,336.87,335.53,278.01,254.93,334.66,420.38,411.83,472.44,437.48,447.3
2002_6,405.3,408.63,216.51,344.96,372.83,921.74,339.79,246.02,294.15,617.4,337.28,335.88,278.3,255.34,335.11,420.24,411.76,472.17,437.07,446.84
