Unnamed: 0,0,1,2,3,5,6,7,8,9,10,11
1996_12,259.97,341.26,395.32,350.43,525.84,489.66,249.67,438.69,409.13,217.68,271.43
1997_1,261.99,342.29,396.9,351.17,526.63,490.67,251.63,440.03,410.56,219.19,271.86
1997_2,263.98,343.51,398.95,352.22,528.29,491.93,253.82,442.12,412.68,220.44,272.15
1997_3,265.59,343.82,399.91,352.87,528.82,493.21,255.33,443.06,413.62,221.52,272.42
1997_4,267.41,344.52,401.39,353.58,530.11,494.0,257.24,444.3,414.98,222.73,272.59
1997_5,269.11,345.12,402.79,354.22,530.51,495.35,259.0,445.63,416.36,223.87,272.78
1997_6,270.84,345.78,404.17,354.87,531.26,496.31,260.76,446.85,417.68,225.1,273.01
1997_7,272.62,346.56,405.6,355.62,532.22,497.46,262.57,448.26,419.1,226.36,273.31
1997_8,274.37,347.26,407.01,356.31,533.08,498.54,264.36,449.58,420.47,227.57,273.45
1997_9,276.13,347.99,408.4,357.11,534.06,499.71,266.12,450.92,421.86,228.78,273.8
1997_10,277.81,348.64,409.79,357.76,534.86,500.68,267.87,452.18,423.18,229.91,273.98
1997_11,279.4,349.23,411.08,358.31,535.46,501.55,269.51,453.31,424.4,231.03,274.17
1997_12,281.05,349.9,412.43,358.97,536.33,502.55,271.2,454.58,425.73,232.17,274.34
1998_1,286.26,349.64,413.25,358.73,535.51,502.07,276.8,454.44,426.22,233.31,274.0
1998_2,291.39,349.49,414.1,358.58,534.83,501.62,282.26,454.4,426.77,234.46,273.78
1998_3,296.34,349.27,414.86,358.3,533.99,501.16,287.62,454.27,427.25,235.53,273.38
1998_4,301.1,348.75,415.54,357.84,533.1,500.51,292.76,453.79,427.48,236.53,272.85
1998_5,305.68,348.48,416.15,357.43,532.07,499.83,297.73,453.68,427.84,237.41,272.38
1998_6,310.21,348.17,416.77,357.11,531.3,499.23,302.63,453.44,428.2,238.33,271.98
1998_7,314.57,347.74,417.22,356.67,530.24,498.54,307.35,453.1,428.36,239.17,271.47
1998_8,318.83,347.3,417.7,356.25,529.27,497.84,311.92,452.71,428.57,239.99,270.97
1998_9,322.93,346.82,418.09,355.77,528.2,497.0,316.36,452.3,428.68,240.72,270.47
1998_10,326.87,346.29,418.36,355.2,526.98,496.11,320.64,451.78,428.66,241.32,269.88
1998_11,330.67,345.71,418.58,354.64,525.72,495.18,324.76,451.17,428.61,241.92,269.29
1998_12,334.23,345.02,418.66,353.92,524.27,493.97,328.69,450.41,428.4,242.41,268.61
1999_1,334.24,343.41,417.07,352.33,521.4,491.44,328.84,448.43,426.71,242.26,267.41
1999_2,334.24,341.8,415.42,350.62,518.45,488.86,328.94,446.34,424.87,242.13,266.13
1999_3,334.22,340.05,413.76,348.74,515.44,486.22,329.01,444.26,422.99,241.92,264.51
1999_4,334.17,338.21,412.01,347.06,512.47,483.5,329.16,441.97,421.2,241.72,263.14
1999_5,334.05,336.69,410.2,345.28,509.42,480.84,329.2,439.51,419.14,241.55,261.87
1999_6,333.93,334.66,408.38,343.45,506.07,477.97,329.22,437.37,417.25,241.26,260.29
1999_7,333.87,332.94,406.63,341.59,502.83,475.16,329.3,435.17,415.31,241.09,258.92
1999_8,333.65,331.06,404.67,339.73,499.82,472.43,329.22,432.78,413.23,240.75,257.42
1999_9,333.61,329.31,402.87,337.97,496.7,469.67,329.31,430.55,411.28,240.56,256.03
1999_10,333.39,327.43,400.94,336.08,493.51,466.82,329.27,428.15,409.19,240.27,254.5
1999_11,333.23,325.51,399.01,334.13,490.35,463.91,329.23,425.73,407.11,239.96,252.97
1999_12,332.98,323.64,397.05,332.23,487.01,461.02,329.11,423.32,405.0,239.66,251.47
2000_1,333.81,323.97,397.25,332.6,486.55,460.76,330.02,423.3,405.13,240.15,252.12
2000_2,334.75,324.28,397.53,332.95,486.27,460.62,331.0,423.41,405.32,240.66,252.66
2000_3,335.61,324.5,397.67,333.26,485.87,460.41,331.91,423.44,405.45,241.12,253.09
2000_4,336.46,324.65,397.74,333.44,485.33,460.04,332.78,423.33,405.48,241.56,253.39
2000_5,337.05,324.61,397.64,333.5,484.48,459.37,333.51,422.95,405.28,241.84,253.65
2000_6,337.67,324.65,397.52,333.55,483.69,458.78,334.17,422.62,405.08,242.14,253.95
2000_7,338.33,324.7,397.42,333.66,482.99,458.29,334.91,422.35,404.89,242.47,254.24
2000_8,338.97,324.74,397.29,333.77,482.26,457.73,335.59,422.04,404.71,242.75,254.57
2000_9,339.51,324.68,397.04,333.75,481.38,457.01,336.2,421.59,404.41,242.99,254.84
2000_10,339.97,324.52,396.79,333.66,480.4,456.24,336.76,421.12,404.09,243.11,254.97
2000_11,340.42,324.43,396.47,333.61,479.4,455.5,337.24,420.63,403.71,243.29,255.22
2000_12,340.79,324.16,396.08,333.44,478.27,454.55,337.71,419.94,403.22,243.4,255.35
2001_1,340.48,323.56,396.03,332.89,477.53,454.02,337.58,419.53,403.03,242.94,254.52
2001_2,340.24,322.97,395.83,332.19,476.67,453.41,337.33,419.27,402.8,242.46,253.55
2001_3,340.12,322.38,395.69,331.57,475.94,452.93,337.15,419.15,402.66,242.03,252.56
2001_4,339.89,321.66,395.45,330.92,475.01,452.32,336.92,418.87,402.43,241.53,251.57
2001_5,339.56,321.01,395.13,330.11,474.0,451.52,336.6,418.49,402.11,240.96,250.49
2001_6,339.24,320.26,394.85,329.36,473.05,450.81,336.27,418.13,401.8,240.38,249.45
2001_7,338.88,319.48,394.52,328.56,472.07,450.1,335.93,417.74,401.44,239.81,248.37
2001_8,338.56,318.72,394.18,327.74,471.07,449.32,335.58,417.33,401.08,239.23,247.3
2001_9,338.21,317.98,393.79,327.03,470.06,448.56,335.21,416.94,400.7,238.62,246.26
2001_10,337.79,317.17,393.39,326.17,469.1,447.77,334.8,416.5,400.27,238.01,245.17
2001_11,337.27,316.25,392.91,325.23,467.91,446.85,334.31,415.9,399.75,237.26,243.93
2001_12,336.77,315.37,392.32,324.31,466.69,445.9,333.73,415.29,399.17,236.64,242.84
2002_1,337.2,315.66,392.53,324.75,466.26,445.68,334.14,415.38,399.34,236.76,243.39
2002_2,337.9,316.2,392.91,325.34,466.16,445.73,334.88,415.71,399.68,237.05,244.11
2002_3,338.45,316.51,393.13,325.73,465.93,445.7,335.43,415.89,399.9,237.27,244.53
2002_4,339.01,316.85,393.34,326.15,465.63,445.51,336.02,416.03,400.1,237.5,245.04
2002_5,339.43,317.02,393.46,326.37,465.09,445.15,336.49,415.95,400.13,237.59,245.43
2002_6,339.77,317.22,393.5,326.61,464.49,444.69,336.9,415.84,400.14,237.67,245.82
