Unnamed: 0,0,1,2,4,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21
1995_1,357.94,264.81,231.11,232.44,436.98,314.7,423.04,311.46,169.18,196.63,210.45,178.25,352.96,389.35,229.07,193.81,211.7,311.43,243.86
1995_2,363.34,268.51,234.0,235.39,443.32,319.48,429.45,316.18,173.75,198.75,214.95,179.99,358.26,395.03,233.85,195.92,216.32,316.15,248.52
1995_3,368.64,272.28,236.92,238.35,449.56,324.33,435.65,320.93,178.35,200.9,219.45,181.79,363.28,400.65,238.49,198.11,220.9,320.86,253.19
1995_4,373.83,276.05,239.82,241.27,455.42,329.02,441.67,325.55,182.73,203.03,223.82,183.52,368.19,406.09,243.1,200.17,225.38,325.49,257.87
1995_5,378.84,279.35,242.61,244.11,461.45,333.51,447.62,330.12,186.99,205.08,228.09,185.19,373.12,411.47,247.57,202.19,229.77,330.06,262.17
1995_6,384.01,282.91,245.43,246.96,467.42,338.15,453.68,334.71,191.23,207.17,232.42,186.89,378.04,416.84,252.13,204.24,234.23,334.69,266.64
1995_7,389.13,286.5,248.24,249.83,473.35,342.77,459.7,339.31,195.43,209.25,236.75,188.62,383.0,422.22,256.68,206.29,238.72,339.25,271.14
1995_8,394.32,290.09,251.11,252.73,479.5,347.46,465.84,343.98,199.53,211.33,241.06,190.31,388.05,427.8,261.25,208.35,243.15,343.89,275.64
1995_9,399.39,293.65,253.91,255.58,485.34,352.07,471.77,348.52,203.58,213.42,245.31,192.03,392.89,433.11,265.75,210.41,247.58,348.45,280.09
1995_10,404.51,297.31,256.73,258.44,491.31,356.78,477.8,353.1,207.6,215.48,249.61,193.69,397.82,438.51,270.32,212.46,252.08,353.02,284.63
1995_11,409.47,300.73,259.45,261.19,496.98,361.26,483.59,357.53,211.5,217.49,253.81,195.35,402.58,443.66,274.68,214.45,256.38,357.44,288.91
1995_12,414.53,304.06,262.19,264.0,502.68,365.68,489.35,362.0,215.32,219.49,257.95,197.02,407.28,448.82,279.12,216.41,260.67,361.95,293.22
1996_1,420.51,308.45,265.71,267.6,509.71,371.16,496.63,367.53,215.68,222.17,259.02,198.74,413.11,455.19,280.71,219.06,261.76,367.46,295.63
1996_2,426.66,312.86,269.14,271.11,516.66,376.7,503.85,372.92,216.01,224.85,260.09,200.49,418.88,461.48,282.33,221.68,262.7,372.87,298.12
1996_3,432.61,317.45,272.65,274.68,523.6,382.23,510.97,378.4,216.42,227.5,261.23,202.37,424.64,467.84,283.95,224.36,263.79,378.35,300.57
1996_4,438.52,321.26,276.05,278.13,530.32,387.47,517.92,383.67,216.63,230.06,262.13,203.89,430.2,473.93,285.32,226.86,264.38,383.58,302.72
1996_5,444.43,325.44,279.48,281.61,537.08,392.97,524.88,388.99,216.92,232.65,263.21,205.57,435.75,480.16,286.91,229.44,265.37,388.89,305.2
1996_6,450.18,329.46,282.75,284.96,543.54,397.94,531.69,394.11,217.12,235.18,264.12,207.21,441.17,485.97,288.32,231.91,266.17,394.09,307.26
1996_7,456.04,333.61,286.11,288.39,550.17,403.29,538.59,399.34,217.38,237.72,265.11,208.87,446.63,491.91,289.87,234.44,267.09,399.27,309.58
1996_8,461.62,337.68,289.38,291.73,556.5,408.42,545.17,404.46,217.62,240.24,266.12,210.52,451.97,497.79,291.3,236.94,267.97,404.41,311.8
1996_9,467.29,341.69,292.69,295.13,562.93,413.53,551.86,409.6,217.79,242.77,267.06,212.13,457.31,503.65,292.75,239.45,268.81,409.52,313.98
1996_10,473.08,345.81,295.93,298.43,569.44,418.77,558.64,414.67,218.1,245.26,268.06,213.74,462.76,509.52,294.32,241.95,269.71,414.55,316.27
1996_11,478.6,349.79,299.16,301.72,575.65,423.74,565.2,419.64,218.12,247.72,268.96,215.26,467.94,515.14,295.72,244.34,270.53,419.53,318.41
1996_12,483.91,353.5,302.26,304.89,581.66,428.6,571.5,424.55,218.28,250.08,269.86,216.81,472.99,520.67,297.0,246.68,271.33,424.42,320.38
1997_1,485.16,355.26,303.97,306.7,582.76,430.25,572.97,425.89,219.76,252.04,270.18,218.62,474.03,521.82,297.5,248.65,271.89,425.9,321.3
1997_2,486.9,357.34,306.12,308.84,583.83,432.17,574.71,428.05,220.9,254.25,270.68,220.27,475.4,523.38,298.17,250.65,272.14,427.92,322.33
1997_3,488.27,358.4,307.53,310.25,585.57,433.02,576.57,428.82,221.92,255.76,271.13,221.61,476.64,524.61,298.57,252.34,272.36,428.67,322.45
1997_4,489.62,359.86,309.21,312.01,586.76,434.21,577.98,430.1,223.08,257.67,271.41,223.15,477.46,525.96,298.85,254.21,272.52,430.04,323.07
1997_5,490.88,361.28,310.85,313.63,587.93,435.55,579.68,431.42,224.13,259.44,271.72,224.64,478.86,526.96,299.21,255.92,272.69,431.34,323.46
1997_6,492.13,362.72,312.41,315.23,588.94,436.75,581.1,432.68,225.32,261.2,272.03,226.16,479.86,527.98,299.53,257.66,272.91,432.62,323.99
1997_7,493.51,364.25,314.1,316.93,590.24,438.14,582.75,434.04,226.52,263.01,272.45,227.72,481.05,529.24,299.97,259.47,273.21,433.95,324.62
1997_8,494.79,365.75,315.71,318.58,591.33,439.48,584.24,435.34,227.66,264.81,272.66,229.26,482.16,530.38,300.35,261.25,273.41,435.24,325.17
1997_9,496.21,367.27,317.34,320.23,592.62,440.77,585.94,436.67,228.82,266.57,273.12,230.77,483.36,531.6,300.79,263.0,273.71,436.53,325.73
1997_10,497.47,368.68,318.92,321.86,593.7,442.02,587.38,437.93,229.9,268.33,273.4,232.19,484.37,532.73,301.13,264.73,273.89,437.81,326.23
1997_11,498.53,370.0,320.41,323.37,594.61,443.13,588.68,439.07,230.98,269.97,273.65,233.55,485.29,533.63,301.41,266.35,274.09,439.01,326.69
1997_12,499.83,371.39,321.96,324.95,595.67,444.43,590.1,440.36,232.07,271.66,273.93,235.0,486.33,534.73,301.75,268.01,274.27,440.26,327.22
1998_1,499.57,373.56,325.84,328.78,594.94,444.32,589.81,440.25,232.29,277.27,273.94,238.69,485.93,534.17,301.44,273.56,273.93,440.15,326.9
1998_2,499.35,375.77,329.69,332.56,594.34,444.31,589.53,440.2,232.55,282.74,273.99,242.33,485.56,533.77,301.27,279.03,273.79,440.09,326.67
1998_3,499.09,377.84,333.43,336.21,593.64,444.21,589.27,440.11,232.74,288.1,273.98,245.86,485.2,533.22,300.95,284.31,273.37,439.96,326.39
1998_4,498.76,379.59,336.86,339.65,592.73,443.61,588.76,439.79,232.88,293.25,273.87,249.28,484.64,532.58,300.32,289.42,272.79,439.78,325.88
1998_5,498.17,381.53,340.29,343.0,591.8,443.64,588.18,439.61,232.93,298.24,273.72,252.47,484.05,531.86,299.9,294.29,272.3,439.54,325.53
1998_6,497.8,383.37,343.65,346.32,591.01,443.41,587.7,439.44,233.04,303.14,273.64,255.68,483.53,531.27,299.53,299.13,271.89,439.33,325.17
1998_7,497.28,385.05,346.84,349.43,590.07,443.1,587.12,439.07,233.08,307.88,273.48,258.76,482.92,530.44,299.03,303.79,271.39,438.97,324.69
1998_8,496.79,386.7,349.97,352.5,589.04,442.73,586.47,438.77,233.13,312.46,273.28,261.76,482.32,529.71,298.56,308.35,270.89,438.65,324.21
1998_9,496.18,388.18,352.97,355.43,587.97,442.36,585.72,438.38,233.09,316.9,273.05,264.66,481.57,528.88,298.07,312.78,270.4,438.25,323.71
1998_10,495.5,389.6,355.79,358.2,586.76,441.89,584.85,437.87,232.96,321.19,272.74,267.36,480.78,527.88,297.49,317.0,269.81,437.77,323.14
1998_11,494.79,390.94,358.51,360.87,585.53,441.29,584.0,437.35,232.83,325.32,272.45,270.0,479.95,526.85,296.89,321.09,269.22,437.24,322.53
1998_12,493.8,392.09,361.03,363.34,583.93,440.62,582.81,436.67,232.64,329.25,271.98,272.46,478.83,525.57,296.21,324.93,268.57,436.59,321.82
1999_1,491.48,390.98,360.59,362.87,580.86,438.67,580.06,434.77,232.54,329.41,270.8,272.41,476.44,522.9,294.83,325.07,267.44,434.64,320.28
1999_2,489.03,389.84,360.06,362.36,577.64,436.68,577.19,432.72,232.47,329.49,269.62,272.36,474.0,520.14,293.48,325.22,266.14,432.61,318.77
1999_3,486.56,388.93,359.44,361.81,574.45,434.52,574.26,430.63,232.31,329.55,268.21,272.27,471.5,517.37,291.66,325.31,264.41,430.59,317.01
1999_4,483.99,387.24,359.04,361.22,571.15,432.28,571.21,428.62,232.18,329.72,266.96,272.18,468.91,514.55,290.26,325.53,263.1,428.49,315.4
1999_5,481.44,386.26,358.34,360.54,567.79,430.0,568.24,426.32,232.06,329.76,265.72,272.08,466.41,511.63,288.74,325.54,261.8,426.31,313.98
1999_6,478.83,384.78,357.68,359.84,564.23,427.92,565.05,424.25,231.83,329.77,264.25,271.9,463.69,508.53,287.14,325.52,260.2,424.13,312.01
1999_7,476.17,383.53,357.09,359.26,560.88,425.78,561.93,422.1,231.7,329.86,262.98,271.81,461.01,505.48,285.57,325.62,258.83,422.03,310.41
1999_8,473.54,382.15,356.35,358.46,557.38,423.46,558.78,419.8,231.44,329.79,261.49,271.57,458.43,502.57,283.95,325.53,257.32,419.69,308.63
1999_9,470.97,380.92,355.75,357.83,554.02,421.32,555.77,417.64,231.3,329.87,260.22,271.46,455.81,499.62,282.46,325.65,255.95,417.52,306.95
1999_10,468.31,379.48,355.02,357.09,550.5,418.99,552.54,415.33,231.08,329.83,258.8,271.25,453.1,496.56,280.83,325.6,254.41,415.21,305.19
1999_11,465.53,378.14,354.31,356.34,546.99,416.6,549.25,413.02,230.82,329.79,257.34,271.01,450.33,493.52,279.16,325.6,252.92,412.91,303.34
1999_12,462.79,376.72,353.54,355.53,543.43,414.3,545.99,410.71,230.61,329.67,255.91,270.74,447.57,490.35,277.53,325.48,251.44,410.59,301.6
2000_1,462.66,377.1,354.2,356.2,542.97,414.34,545.8,410.74,230.95,330.58,256.45,271.59,447.38,490.04,278.12,326.38,252.17,410.66,301.97
2000_2,462.66,377.57,354.9,356.94,542.69,414.45,545.77,410.84,231.3,331.56,257.03,272.48,447.3,489.91,278.54,327.37,252.7,410.78,302.34
2000_3,462.59,377.89,355.57,357.55,542.32,414.48,545.69,410.88,231.6,332.47,257.52,273.35,447.14,489.64,278.91,328.32,253.08,410.77,302.63
2000_4,462.37,378.29,356.18,358.15,541.77,414.37,545.4,410.81,231.86,333.33,257.94,274.16,446.83,489.28,279.15,329.21,253.34,410.67,302.82
2000_5,461.87,378.29,356.55,358.52,540.85,414.02,544.77,410.51,232.01,334.06,258.22,274.84,446.25,488.55,279.35,329.87,253.58,410.42,302.89
2000_6,461.39,378.44,356.93,358.88,539.96,413.72,544.17,410.22,232.15,334.73,258.53,275.5,445.73,487.89,279.55,330.52,253.9,410.13,303.0
2000_7,460.98,378.6,357.37,359.33,539.25,413.47,543.71,409.92,232.32,335.47,258.87,276.19,445.3,487.33,279.81,331.24,254.2,409.86,303.12
2000_8,460.57,378.71,357.74,359.7,538.46,413.2,543.18,409.64,232.45,336.15,259.2,276.85,444.81,486.69,280.06,331.96,254.52,409.57,303.23
2000_9,459.99,378.74,358.04,359.97,537.49,412.77,542.47,409.25,232.54,336.75,259.48,277.44,444.16,485.95,280.21,332.57,254.79,409.15,303.25
2000_10,459.37,378.65,358.3,360.23,536.46,412.32,541.68,408.84,232.51,337.33,259.63,277.94,443.46,485.09,280.25,333.1,254.93,408.73,303.18
2000_11,458.75,378.6,358.53,360.45,535.45,411.85,540.95,408.36,232.54,337.8,259.9,278.43,442.79,484.22,280.4,333.63,255.17,408.24,303.19
2000_12,457.95,378.37,358.64,360.56,534.19,411.21,539.94,407.77,232.5,338.27,259.99,278.89,441.91,483.21,280.39,334.06,255.33,407.69,303.01
2001_1,457.57,378.18,358.45,360.49,533.38,410.68,539.54,407.61,231.96,338.14,259.1,278.63,441.49,482.56,279.58,333.69,254.6,407.64,302.33
2001_2,457.18,377.97,358.19,360.25,532.47,410.46,539.01,407.39,231.37,337.88,258.2,278.42,440.97,481.86,278.77,333.45,253.64,407.42,301.64
2001_3,456.9,377.86,358.04,360.11,531.75,410.35,538.69,407.25,230.82,337.7,257.34,278.3,440.58,481.31,277.86,333.34,252.56,407.26,300.94
2001_4,456.51,377.57,357.8,359.88,530.85,410.08,538.17,407.02,230.21,337.46,256.39,278.09,440.06,480.59,276.98,333.13,251.56,407.02,300.09
2001_5,455.92,377.29,357.47,359.55,529.71,409.76,537.46,406.71,229.52,337.14,255.38,277.78,439.35,479.74,276.02,332.8,250.49,406.69,299.37
2001_6,455.41,376.96,357.16,359.24,528.69,409.42,536.84,406.4,228.83,336.81,254.37,277.49,438.74,478.94,275.05,332.47,249.44,406.4,298.52
2001_7,454.85,376.57,356.81,358.9,527.65,409.05,536.18,406.04,228.14,336.48,253.35,277.18,438.12,478.13,274.06,332.11,248.36,406.05,297.63
2001_8,454.23,376.21,356.45,358.55,526.57,408.68,535.45,405.69,227.44,336.13,252.32,276.9,437.42,477.29,273.07,331.79,247.28,405.7,296.77
2001_9,453.77,375.89,356.08,358.2,525.51,408.33,534.77,405.31,226.71,335.76,251.3,276.57,436.75,476.44,272.17,331.46,246.28,405.28,295.92
2001_10,453.12,375.44,355.67,357.82,524.42,407.91,533.99,404.88,226.02,335.35,250.23,276.16,436.05,475.6,271.12,331.06,245.17,404.86,295.02
2001_11,452.39,374.88,355.17,357.31,523.14,407.32,533.11,404.36,225.14,334.86,249.02,275.71,435.23,474.54,269.99,330.55,243.96,404.37,294.04
2001_12,451.6,374.4,354.6,356.74,521.79,406.8,532.14,403.78,224.43,334.26,247.96,275.3,434.38,473.41,268.94,330.05,242.84,403.76,293.04
2002_1,451.58,374.6,355.0,357.14,521.36,406.9,532.04,403.91,224.5,334.67,248.44,275.45,434.23,473.16,269.47,330.5,243.44,403.91,293.38
2002_2,451.82,375.12,355.58,357.74,521.26,407.24,532.3,404.21,224.74,335.41,249.14,275.86,434.34,473.18,270.15,331.22,244.18,404.2,293.95
2002_3,451.89,375.44,356.04,358.18,521.03,407.42,532.42,404.4,224.9,335.96,249.64,276.18,434.38,473.06,270.55,331.81,244.55,404.36,294.31
2002_4,451.91,375.76,356.48,358.63,520.66,407.58,532.38,404.56,225.08,336.54,250.17,276.52,434.25,472.87,271.03,332.4,245.03,404.48,294.69
2002_5,451.67,375.87,356.81,358.95,520.04,407.49,532.08,404.53,225.11,337.02,250.57,276.72,433.96,472.48,271.33,332.86,245.43,404.52,294.94
2002_6,451.46,376.03,357.04,359.21,519.36,407.44,531.68,404.51,225.15,337.43,250.96,276.88,433.58,471.99,271.66,333.21,245.81,404.48,295.19
2002_7,451.01,376.2,357.33,359.46,518.66,407.35,531.2,404.49,225.21,337.83,251.37,277.07,433.2,471.56,271.88,333.61,246.1,404.47,295.42
2002_8,451.1,376.38,357.63,359.8,518.32,407.39,531.34,404.47,225.28,338.28,251.83,277.28,433.22,471.3,272.42,334.08,246.67,404.49,295.73
2002_9,450.92,376.47,357.84,360.0,517.66,407.31,530.99,404.39,225.26,338.6,252.2,277.38,432.87,470.8,272.75,334.43,247.08,404.34,295.94
2002_10,450.64,376.48,358.03,360.19,516.97,407.14,530.63,404.22,225.19,338.92,252.51,277.43,432.53,470.26,273.09,334.76,247.49,404.19,296.11
2002_11,450.18,376.38,358.11,360.24,516.06,406.88,530.06,403.96,225.1,339.13,252.83,277.38,431.98,469.58,273.27,334.94,247.73,403.95,296.2
2002_12,449.57,376.24,358.06,360.2,515.07,406.53,529.32,403.64,224.94,339.09,253.02,277.3,431.36,468.79,273.39,335.09,247.9,403.57,296.26
2003_1,453.11,379.0,360.48,362.69,518.89,409.82,533.58,406.97,226.27,341.28,254.44,278.78,434.95,472.39,275.07,337.06,249.43,406.99,298.22
2003_2,457.69,382.57,363.6,365.89,523.55,414.02,538.72,411.08,227.86,343.93,256.39,280.74,438.92,476.77,277.47,339.72,251.44,411.08,300.83
2003_3,461.52,385.58,366.28,368.64,527.72,417.65,543.26,414.72,229.31,346.2,257.93,282.38,442.65,480.72,279.23,341.98,252.75,414.77,302.93
2003_4,465.52,388.69,369.02,371.36,531.87,421.32,547.91,418.42,230.75,348.54,259.52,284.08,446.32,484.61,281.03,344.32,254.34,418.29,305.04
2003_5,469.39,391.71,371.64,374.03,535.93,424.94,552.46,421.98,232.09,350.76,261.14,285.68,450.0,488.37,282.95,346.5,255.89,421.94,307.33
2003_6,473.38,394.94,374.31,376.68,540.2,428.73,557.07,425.71,233.57,352.97,262.79,287.3,453.75,492.39,284.84,348.7,257.46,425.53,309.5
2003_7,477.04,397.83,376.91,379.41,544.0,432.16,561.36,429.17,234.9,355.26,264.26,288.99,457.21,496.05,286.63,350.94,258.9,429.18,311.62
2003_8,480.95,400.96,379.58,382.13,548.08,435.86,565.87,432.83,236.31,357.54,265.81,290.65,460.87,499.9,288.47,353.22,260.45,432.82,313.78
2003_9,484.86,403.96,382.24,384.83,552.21,439.51,570.45,436.46,237.64,359.75,267.41,292.19,464.54,503.73,290.39,355.42,262.01,436.37,315.98
2003_10,488.61,406.91,384.81,387.45,556.15,443.03,574.84,439.98,238.98,361.93,268.93,293.72,468.13,507.49,292.18,357.57,263.52,439.91,318.02
2003_11,492.32,409.53,387.09,389.76,560.09,446.43,579.13,443.23,240.13,363.77,270.28,295.01,471.67,510.87,293.88,359.41,264.77,443.16,320.02
2003_12,495.62,412.39,389.55,392.31,563.39,449.64,582.92,446.59,241.38,365.86,271.67,296.47,474.67,514.33,295.45,361.49,266.2,446.61,321.91
2004_1,499.76,416.02,393.04,395.83,567.82,453.53,587.79,450.41,244.03,369.17,275.27,299.23,478.65,518.49,299.21,364.81,269.96,450.42,325.6
2004_2,503.48,419.34,396.24,399.04,571.73,457.02,592.14,453.86,246.52,372.22,278.71,301.84,482.17,522.18,302.68,367.85,273.45,453.88,329.01
2004_3,507.17,422.66,399.42,402.23,575.6,460.51,596.44,457.31,248.99,375.28,282.02,304.42,485.65,525.82,306.1,370.95,276.69,457.28,332.36
2004_4,510.68,425.82,402.52,405.39,579.25,463.79,600.51,460.66,251.38,378.3,285.28,306.92,488.93,529.32,309.35,373.89,279.82,460.65,335.61
2004_5,514.2,428.94,405.59,408.47,582.85,467.13,604.54,463.99,253.77,381.27,288.58,309.41,492.24,532.77,312.74,376.82,283.14,463.97,338.92
2004_6,517.68,432.09,408.62,411.52,586.45,470.43,608.58,467.26,256.14,384.21,291.84,311.9,495.52,536.14,316.08,379.71,286.49,467.23,342.18
2004_7,521.22,435.25,411.68,414.6,590.14,473.76,612.69,470.58,258.58,387.18,295.17,314.41,498.88,539.64,319.42,382.64,289.76,470.56,345.48
2004_8,524.79,438.43,414.8,417.77,593.85,477.16,616.86,473.95,260.96,390.19,298.43,316.93,502.21,543.17,322.84,385.64,293.14,473.92,348.76
2004_9,528.42,441.69,417.88,420.87,597.62,480.55,621.07,477.28,263.36,393.14,301.78,319.38,505.63,546.7,326.27,388.6,296.51,477.22,352.14
2004_10,531.82,444.76,420.9,423.93,601.15,483.78,625.0,480.52,265.68,396.1,304.98,321.82,508.89,550.1,329.56,391.52,299.75,480.46,355.35
2004_11,535.26,447.81,423.91,426.96,604.69,487.03,628.99,483.76,268.02,398.97,308.22,324.21,512.09,553.49,332.89,394.36,303.05,483.72,358.56
2004_12,538.62,450.86,426.88,429.92,608.15,490.25,632.9,486.96,270.36,401.74,311.46,326.54,515.3,556.77,336.16,397.2,306.3,486.9,361.79
