Region Code,annual_ntl_sum,annual_ntl_sum_sq,calibrated_ntl_sum,avg_ntl,avg_calibrated,rescaled_calibrated_ntl_sum,avg_rescaled_calibrated
IDN,5760403.0,43319656.0,22446354.061800003,0.5167283587594937,2.013516709592786,42383433.17414575,3.8019426527395765
MYS,1616905.2,34591612.0,4449933.096880001,0.8772395877980049,2.4142772721837447,7697575.506408268,4.176260899084008
PRK,0.0,0.0,680272.7880000001,0.0,1.3606,1595988.9611329217,3.192105606490103
MAR,0.0,0.0,4548347.0188,0.0,1.3605999999999998,10670883.447724551,3.1921056064901028
SAH,0.0,0.0,1140095.7216,0.0,1.3606,2674780.2034798907,3.1921056064901028
CRI,195683.23,3197936.8,748554.475802,0.5230102258999113,2.000690838390156,1418007.0902993314,3.789963036817867
NIC,368465.56,1496816.0,892177.7799440001,1.1911961567805924,2.8842824350648515,1427609.126416923,4.615254963782063
CHL,2356890.2,21751972.0,35356715.861480005,0.09898470642338618,1.4849118298526083,78770756.6363319,3.308215300142243
COG,863882.0,4400143.5,2390021.41625,0.9118527494426806,2.5227375956837292,4052530.835929069,4.277564974085774
BOL,2583197.2,12259290.0,6459607.015280001,1.1110740637990844,2.7783793730545328,10500285.919247923,4.516339421299734
COD,5805438.0,22358254.0,14476128.132200003,1.121240939492322,2.795866135709168,23468772.56648738,4.53267240149321
BTN,0.0,0.0,109936.48,0.0,1.3606,257922.13300440036,3.192105606490103
PER,2663331.8,13086172.0,7944297.19132,0.796813084895048,2.3767673079031137,13841964.595216043,4.141225854819189
UKR,0.0,0.0,2529186.6856,0.0,1.3606,5933728.501369895,3.1921056064901023
BLR,0.0,0.0,923880.0544,0.0,1.3606,2167516.3173413356,3.1921056064901028
NAM,1531771.4,3667963.2,5161002.315160001,0.6532932257200519,2.2011429710853285,9325283.865285901,3.977189270610341
MNG,0.0,0.0,6657625.3324,0.0,1.3606,15619464.316819472,3.1921056064901028
CZE,0.0,0.0,330337.3528,0.0,1.3606,775004.9359885191,3.1921056064901028
ARG,9004079.0,82692870.0,24299780.217400003,0.9431057885385581,2.5452090528353524,41039423.23735961,4.298553756962557
GB1,33880.84,58711.36,141624.706896,0.470717590341359,1.9676383691456991,270568.12029947934,3.759091380572674
CYP,0.0,0.0,20354.576,0.0,1.3606,47753.89987309194,3.192105606490103
DEU,0.0,0.0,1403420.8032,0.0,1.3606,3292567.5541375596,3.192105606490103
EST,0.0,0.0,269915.828,0.0,1.3605999999999998,633249.9102155066,3.1921056064901028
LVA,0.0,0.0,343673.954,0.0,1.3606,806293.9551433352,3.192105606490103
ZAF,4217080.0,58714988.0,15682994.5004,0.5477065854980127,2.03687844864176,29441154.807224274,3.8237629764157206
NL1,8323.0,420434.0,9751.239800000001,13.402576489533011,15.702479549114333,10300.96364736162,16.587703135848017
OMN,253352.0,2308714.0,1822657.0618000003,0.22914303803192693,1.6484937021661468,3826659.0567795006,3.4610039856912227
