Region Code,annual_ntl_sum,annual_ntl_sum_sq,calibrated_ntl_sum,avg_ntl,avg_calibrated,rescaled_calibrated_ntl_sum,avg_rescaled_calibrated
IDN,8543391.0,67060932.0,10260429.9756,0.7663721461277327,0.9203965662573437,31001540.44362673,2.7809469428530105
MYS,1851072.8,32133952.0,2133741.35816,1.0042854337138003,1.1576451046727003,5534206.874949297,3.002541743182845
PRK,0.0,0.0,62697.492000000006,0.0,0.1254,1019161.4901616597,2.0384045165039795
MAR,2532103.2,17431838.0,3048321.8358400003,0.7574575114167409,0.9118800022734765,9269830.429114137,2.7729923046153777
CHL,3664809.5,28450584.0,6787863.8154,0.15391471883379917,0.2850767961143438,52086887.02394946,2.1875457840902897
SAH,340456.47,1023770.06,459898.50678399997,0.4063036675832044,0.5488468173989421,2039462.6288857001,2.433912170960193
CRI,335565.8,5278500.5,392373.0328599999,0.896879844339673,1.04871075846991,1085326.618347408,2.9007949216550886
NIC,490612.0,3050429.0,548526.463,1.5860780282163687,1.7733071568969754,1106632.0385498086,3.577582206843984
COG,1614238.9,8248249.5,1797757.2055799998,1.7038764312977097,1.8975853770983921,3499344.416393973,3.693660508420984
BOL,4099343.8,18542710.0,4557640.78676,1.7631927499672035,1.9603135487611587,8723812.059986005,3.7522498542922356
COD,10238802.0,46417844.0,11304460.332399998,1.9774845539226953,2.1833018841220695,20506372.471196614,3.9605253445448865
BTN,184020.98,668847.25,201802.201046,2.277487376237624,2.4975519931435644,343726.52298426704,4.2540411260429085
PER,5393533.0,29050076.0,6027417.607599999,1.613632093535339,1.80327708994519,12051561.368928874,3.605574713664367
UKR,0.0,0.0,233103.0504,0.0,0.1254,3789141.2340208516,2.0384045165039795
BLR,0.0,0.0,85149.60960000001,0.0,0.1254,1384125.5884145985,2.03840451650398
ARG,13637731.0,110377840.0,15341005.3814,1.4284440472625506,1.6068485157892896,32671751.36783771,3.4221065626701295
GB1,56516.33,166968.75,67929.815166,0.7851998555093989,0.9437711375300444,201735.64222685117,2.802779252078458
CYP,107937.97,3413354.5,111279.39574399998,7.215104946524065,7.43846228235294,132679.46953423554,8.868948498277776
NAM,2749604.5,9235802.0,3158675.1982,1.1726932577924947,1.3471599673645835,7455070.962642181,3.179552351712797
