Region Code,annual_ntl_sum
IDN,804506.75
MYS,764883.8125
CHL,1527899.375
BOL,1254956.375
PER,1155674.125
ARG,6216886.0
GB1,0.0
CYP,76114.2578125
IND,12914726.0
CH1,14965.8095703125
IS1,166608.15625
LBN,224543.34375
ETH,752085.6875
SDS,807044.1875
SOM,116433.78125
KEN,359488.375
MWI,86513.8515625
TZA,474605.96875
SYR,541581.4375
SOL,28588.7109375
FR1,-1.190000057220459
SUR,35893.51953125
GUY,39941.53125
KOR,2591401.0
PRK,206429.59375
MAR,1559293.75
SAH,63767.3515625
CRI,188952.8125
NIC,107480.390625
COG,223109.703125
COD,1260378.625
BTN,34672.2109375
UKR,3297817.0
BLR,1134286.625
NAM,591982.4375
ZAF,2532355.0
NL1,4769.4501953125
OMN,1364988.75
UZB,1355535.375
KA1,27738.140625
TJK,378039.875
LTU,406448.40625
BRA,11255590.0
URY,367325.59375
MNG,3792046.0
CZE,1654958.5
DEU,4676591.0
EST,358787.09375
LVA,389251.3125
SWE,4611747.5
FI1,6762.43994140625
VNM,2207770.25
KHM,93579.4765625
LUX,95076.8828125
ARE,1495753.5
BEL,1109693.625
GEO,299274.65625
MKD,167274.5625
ALB,135943.5625
AZE,394195.625
KOS,100906.3515625
TUR,7307032.5
ESP,4794538.5
LAO,106219.140625
KGZ,633023.6875
ARM,146371.09375
DN1,7120.39990234375
LBY,2570423.5
TUN,691973.8125
ROU,1676725.625
HUN,839428.25
SVK,564664.25
POL,5672750.5
IRL,377860.15625
GRC,1046119.375
ZMB,289311.15625
SLE,45689.37109375
GIN,306421.125
LBR,31199.099609375
CAF,745791.0625
SDN,714868.75
DJI,10090.08984375
ERI,16524.369140625
AUT,685640.375
IRQ,6579946.0
ITA,6192406.0
CHE,534483.0
IRN,10220986.0
LIE,3831.0400390625
CIV,333024.09375
SRB,1041705.8125
MLI,519153.15625
SEN,174968.28125
NGA,1260014.125
BEN,73443.7578125
AGO,970344.3125
HRV,646728.125
SVN,172874.765625
QAT,831340.0
SAU,9945501.0
BWA,294493.125
ZWE,204309.0
PAK,2074923.25
BGR,848008.5
THA,1891078.125
SMR,3951.639892578125
HTI,23981.7890625
DOM,210430.875
TCD,499623.09375
KWT,845130.9375
SLV,69836.0234375
GTM,213699.1875
TLS,3889.010009765625
BRN,56502.71875
MCO,3589.639892578125
DZA,6329987.0
MOZ,446050.28125
SWZ,31100.220703125
BDI,15212.330078125
RWA,25246.240234375
MMR,402150.625
BGD,384897.59375
AND,10389.1201171875
AFG,1021466.375
MNE,90823.59375
BIH,395174.75
UGA,334155.71875
CU1,230047.34375
HND,195276.453125
ECU,716948.3125
COL,1422955.25
PRY,721611.9375
BRI,4.579999923706055
PRT,1267033.75
MDA,115523.59375
TKM,1703580.75
JOR,450590.875
NPL,163174.953125
LSO,29076.919921875
CMR,229955.71875
GAB,168336.09375
NER,347524.84375
BFA,141982.578125
TGO,68910.171875
GHA,441805.40625
GNB,12574.990234375
US1,2992.7900390625
MEX,5839841.5
BLZ,19538.48046875
PAN,143037.421875
VEN,3678562.25
PNG,24770.310546875
EGY,3918739.75
YEM,247210.234375
MRT,511423.875
GNQ,28786.599609375
GMB,10639.580078125
VAT,
CYN,28959.4609375
CNM,8790.58984375
KAS,5022.66015625
SPI,0.0
BRT,655.1199951171875
AU1,0.33000001311302185
FJI,19630.740234375
NZ1,84.2300033569336
MDG,325543.125
PHL,314945.03125
LKA,109253.1015625
BHS,30022.9609375
TWN,922206.25
JPN,4409488.0
ISL,1038224.75
SYC,1231.5799560546875
MHL,117.9000015258789
TTO,131704.25
GRD,1817.6400146484375
VCT,1022.6699829101562
BRB,8630.6904296875
LCA,5763.97021484375
DMA,1261.77001953125
ATG,5223.10009765625
KNA,2788.320068359375
JAM,68061.7578125
MUS,18152.30078125
COM,892.8599853515625
STP,1805.260009765625
CPV,6793.31005859375
MLT,27093.849609375
SGP,7298.5400390625
TON,1138.56005859375
WSM,2476.22998046875
SLB,2418.75
TUV,23.68000030517578
MDV,1832.43994140625
NRU,380.05999755859375
FSM,288.8800048828125
VUT,47538.4296875
PLW,350.2200012207031
BHR,192322.546875
PGA,-3.299999952316284
BJN,
SER,-0.05000000074505806
SCR,0.0
