Region Code,annual_ntl_sum
IDN,3380651.75
MYS,1710073.5
CHL,1511017.625
BOL,711131.375
PER,1048912.875
ARG,6639303.5
GB1,12920.3798828125
CYP,84282.09375
IND,9904007.0
CH1,10432.83984375
IS1,215105.0625
LBN,274812.03125
ETH,696128.375
SDS,304164.65625
SOM,345412.5625
KEN,479409.0
MWI,61038.37890625
TZA,520709.09375
SYR,609671.5625
SOL,132399.8125
FR1,3.0399999618530273
SUR,125911.6171875
GUY,158641.84375
KOR,1552477.5
PRK,10134.26953125
MAR,1657933.25
SAH,79794.796875
CRI,195209.0
NIC,161685.359375
COG,304998.625
COD,1349681.875
BTN,49503.80859375
UKR,0.0
BLR,0.0
NAM,334437.8125
ZAF,2858151.0
NL1,5497.93017578125
OMN,1531617.625
UZB,183991.953125
KA1,0.0
TJK,168081.265625
LTU,0.0
BRA,13391212.0
URY,394997.625
MNG,0.0
CZE,0.0
DEU,0.0
EST,0.0
LVA,0.0
SWE,0.0
FI1,0.0
VNM,1528356.375
KHM,168429.984375
LUX,0.0
ARE,1625776.375
BEL,0.0
GEO,0.0
MKD,0.0
ALB,0.0
AZE,2867.5400390625
KOS,0.0
TUR,3190482.25
ESP,1550037.75
LAO,144257.34375
KGZ,0.0
ARM,0.0
DN1,0.0
LBY,2700759.0
TUN,731606.75
ROU,0.0
HUN,0.0
SVK,0.0
POL,0.0
IRL,0.0
GRC,550709.1875
ZMB,478504.4375
SLE,65476.76171875
GIN,217359.265625
LBR,95866.2734375
CAF,173076.15625
SDN,1242196.0
DJI,24478.189453125
ERI,72375.8828125
AUT,0.0
IRQ,6663383.5
ITA,522032.59375
CHE,0.0
IRN,8711392.0
LIE,0.0
CIV,390689.25
SRB,0.0
MLI,848759.625
SEN,217954.859375
NGA,1226260.875
BEN,77717.71875
AGO,1076471.0
HRV,0.0
SVN,0.0
QAT,955061.5
SAU,11125693.0
BWA,245434.59375
ZWE,189467.953125
PAK,1946586.125
BGR,0.0
THA,2028895.5
SMR,0.0
HTI,32601.890625
DOM,272832.3125
TCD,668467.25
KWT,924206.1875
SLV,71705.609375
GTM,273528.15625
TLS,12447.5595703125
BRN,75713.65625
MCO,0.0
DZA,5934826.0
MOZ,370994.09375
SWZ,50122.62109375
BDI,14701.9404296875
RWA,26708.369140625
MMR,438490.90625
BGD,313874.78125
AND,0.0
AFG,812816.3125
MNE,0.0
BIH,0.0
UGA,142635.375
CU1,294251.0625
HND,224675.265625
ECU,961826.3125
COL,1730061.125
PRY,567463.3125
BRI,5.449999809265137
PRT,203729.3125
MDA,0.0
TKM,891358.375
JOR,675016.5625
NPL,182152.8125
LSO,32589.109375
CMR,163254.890625
GAB,212355.40625
NER,749667.6875
BFA,153424.1875
TGO,42952.921875
GHA,374419.90625
GNB,30993.990234375
US1,4038.360107421875
MEX,6467954.0
BLZ,33820.80859375
PAN,175038.640625
VEN,4455855.5
PNG,351263.15625
EGY,4402992.0
YEM,505847.40625
MRT,875093.6875
GNQ,28437.060546875
GMB,12855.919921875
VAT,
CYN,28468.390625
CNM,9164.8203125
KAS,2843.8798828125
SPI,2638.419921875
BRT,1357.9100341796875
AU1,0.36000001430511475
FJI,13428.580078125
NZ1,80.73999786376953
MDG,285177.75
PHL,546135.75
LKA,169527.046875
BHS,33239.0703125
TWN,898248.3125
JPN,2705069.0
ISL,0.0
SYC,1289.530029296875
MHL,295.4800109863281
TTO,147656.640625
GRD,1864.75
VCT,1259.5
BRB,8937.830078125
LCA,5672.330078125
DMA,1393.489990234375
ATG,4616.08984375
KNA,3136.010009765625
JAM,77835.8984375
MUS,19088.5703125
COM,1043.0699462890625
STP,1765.6600341796875
CPV,9009.6904296875
MLT,28512.560546875
SGP,122076.2734375
TON,955.6900024414062
WSM,1910.8399658203125
SLB,17568.400390625
TUV,24.809999465942383
MDV,2314.77001953125
NRU,372.4599914550781
FSM,1003.6099853515625
VUT,7088.7099609375
PLW,670.5999755859375
BHR,217481.625
PGA,8.210000038146973
BJN,
SER,0.27000001072883606
SCR,0.0
