Region Code,annual_ntl_sum,annual_ntl_sum_sq,calibrated_ntl_sum,avg_ntl,avg_calibrated,rescaled_calibrated_ntl_sum,avg_rescaled_calibrated
IDN,6690199.0,44565336.0,8331923.733100001,0.6001343220334422,0.747402790380124,29200277.689402886,2.619367354292159
MYS,1432627.6,20111380.0,1781730.11216,0.7772611809845409,0.9666640871453265,5205421.448947376,2.8241617172048734
PRK,0.0,0.0,-95846.166,0.0,-0.19169999999999998,871078.595857104,1.7422268807894397
MAR,0.0,0.0,-640833.5466,0.0,-0.1917,5824086.755337256,1.7422268807894397
SAH,0.0,0.0,-160632.33120000002,0.0,-0.1917,1459874.62358118,1.7422268807894399
CRI,190258.6,2311339.8,215452.35748000004,0.5085116050333024,0.5758479464810717,920079.2284291866,2.459131756495255
CHL,2456778.5,19798134.0,-754754.5685500002,0.10317981659467507,-0.03169819255459218,45041933.1291045,1.8916717153502531
NIC,332833.38,1744221.8,466303.308518,1.07600244403926,1.5074915251257581,1029833.9953600573,3.3293051795530166
COG,1103777.2,9570933.0,1523193.2984200001,1.1650691582787271,1.607775132595589,3242896.3278566184,3.422972040988966
BOL,2983048.8,13017531.0,4291463.009880001,1.2830565752885539,1.845826267553566,8475196.782041918,3.6453164822725252
COD,7451754.0,36317984.0,10802632.892,1.4392043556103205,2.086380778300748,20037655.773516543,3.869999125771636
BTN,0.0,0.0,-15489.36,0.0,-0.1917,140771.93196778672,1.7422268807894397
PER,3348511.2,16402811.0,4658683.322420001,1.0018044087025204,1.3937804631351574,10773136.6306569,3.223096811546187
UKR,0.0,0.0,-356346.5292,0.0,-0.19169999999999998,3238583.7352543506,1.7422268807894397
BLR,0.0,0.0,-130168.9008,0.0,-0.1917,1183013.8655011686,1.7422268807894399
MNG,0.0,0.0,-938017.6218000001,0.0,-0.1917,8524984.430642368,1.7422268807894394
CZE,0.0,0.0,-46542.4596,0.0,-0.1917,422991.77993310645,1.7422268807894394
NAM,1767981.6,4721678.0,2388356.36516,0.7540357539497725,1.0186226443217277,6735578.024401339,2.8726920313633255
DEU,0.0,0.0,-197733.18240000002,0.0,-0.1917,1797058.245181645,1.7422268807894399
ARG,9136446.0,72808440.0,12346017.955500003,0.9569701808780171,1.293147361238504,29874374.216157362,3.1291035154428406
EST,0.0,0.0,-38029.446,0.0,-0.1917,345622.968611009,1.7422268807894394
GB1,30461.3,74613.56,35164.299874,0.4232088028120094,0.48854911810717305,171132.00661615055,2.377592934078255
CYP,0.0,0.0,-2867.8320000000003,0.0,-0.1917,26063.714136610015,1.7422268807894394
LVA,0.0,0.0,-48421.503000000004,0.0,-0.1917,440069.08781860454,1.7422268807894397
ZAF,4315074.0,59396864.0,4966725.198200001,0.5604338657818327,0.6450691235198437,19431948.545458592,2.5237856970714803
SWE,0.0,0.0,-494162.72640000004,0.0,-0.1917,4491098.515483971,1.7422268807894394
NL1,7514.47,364008.16,8468.838371000002,12.100595813204508,13.637420887278585,9103.175494481875,14.65889773668579
FI1,0.0,0.0,-2563.029,0.0,-0.1917,23293.57339615481,1.7422268807894399
OMN,71729.33,1091383.4,-105906.63784699999,0.06487525889748112,-0.0957867660172749,2025342.6364504735,1.8318117274458223
VNM,448886.2,3756345.5,393552.6818700001,0.2857567917864518,0.25053198732802506,3385660.781045183,2.155280253366408
KHM,263682.84,631174.8,361070.5584840001,0.8034799619716251,1.1002345036931405,967764.4787946701,2.94891911289878
LUX,0.0,0.0,-1620.8235,0.0,-0.1917,14730.528277074709,1.7422268807894392
IND,2282602.2,21144928.0,1191791.9309200002,0.18860339510571936,0.09847357740701072,24365731.188176207,2.0132547082988643
CH1,0.0,0.0,-24.1542,0.0,-0.1917,219.5205869794694,1.7422268807894399
IS1,0.0,0.0,-5123.3742,0.0,-0.1917,46562.75561597857,1.7422268807894397
ARE,0.0,0.0,-46062.6345,0.0,-0.1917,418630.9860504905,1.7422268807894397
LBN,0.0,0.0,-6835.4469,0.0,-0.1917,62122.58388830905,1.7422268807894397
BEL,0.0,0.0,-21479.2182,0.0,-0.19169999999999998,195209.55308493358,1.7422268807894399
GEO,0.0,0.0,-47125.611000000004,0.0,-0.1917,428291.634104468,1.7422268807894399
UZB,0.0,0.0,-397657.11240000004,0.0,-0.1917,3614026.6591569516,1.7422268807894397
MKD,0.0,0.0,-10840.0599,0.0,-0.1917,98517.70342800046,1.7422268807894399
KA1,0.0,0.0,-2702.9700000000003,0.0,-0.1917,24565.3990191311,1.7422268807894397
ETH,3566002.2,11043843.0,5232691.6363200005,1.4366296833454195,2.10808622847474,9656434.258183202,3.8902724430679245
ALB,0.0,0.0,-14793.1056,0.0,-0.1917,134444.16393675946,1.7422268807894394
TJK,0.0,0.0,-94603.95000000001,0.0,-0.19170000000000004,859788.9656695885,1.7422268807894399
