Region Code,annual_ntl_sum,annual_ntl_sum_sq,calibrated_ntl_sum,avg_ntl,avg_calibrated,rescaled_calibrated_ntl_sum,avg_rescaled_calibrated
IDN,6412677.0,45231756.0,16019303.5432,0.5752396249819247,1.4369877295647333,36380441.60297938,3.263453248054544
MYS,1346125.5,20333222.0,2952122.1188,0.7303301261845057,1.6016513464274127,6298590.598697711,3.4172523042847343
PRK,17987.0,82551.0,391487.67519999994,0.0359754390175607,0.7830066706668265,1326257.9868703522,2.6526220786238492
MAR,2363169.0,19241360.0,5327546.812399999,0.7069222572749752,1.593691106459126,11398671.377770927,3.4098172836176657
SAH,251111.86,570941.75,928731.4223760001,0.2996790447003112,1.1083560347997938,2477361.7915636976,2.956504782660845
CRI,313391.06,4111813.0,649154.460096,0.837612549044763,1.7350205268931012,1325165.5209464733,3.541821741520664
NIC,679034.75,5616957.5,1049212.1516,2.195221676947149,3.3919519713956885,1574282.3175963375,5.089428293945305
COG,1041008.0,4272495.0,1975548.2407999998,1.0988144295075322,2.0852490213132473,3665404.7395182243,3.8689420424895125
CHL,3499655.2,30239006.0,21820286.22232,0.14697856631381337,0.9164086752071028,66127465.161899135,2.7772221741909244
COD,6546530.0,21760728.0,11867441.646,1.2643727221985093,2.2920340240531973,21032208.08902542,4.062083301438561
BTN,132842.38,371501.97,223162.291128,1.6440888613861386,2.7619095436633665,363677.2671631896,4.500956276772149
BOL,3187100.5,12931265.0,5623520.665800001,1.3708224460258371,2.418765380749305,9719364.827345725,4.18045288074209
UKR,893408.94,8638412.0,2448412.2559040003,0.480617824965194,1.3171466283409976,5858283.595619182,3.1515193028578463
BLR,0.0,0.0,501798.736,0.0,0.739,1773284.065802427,2.61151898283776
PER,4061297.0,21584698.0,7426260.2831999995,1.2150549891098825,2.221781516478782,13358107.935929216,3.996466077861114
MNG,0.0,0.0,3616040.806,0.0,0.739,12778564.556948515,2.6115189828377594
CZE,0.0,0.0,179420.332,0.0,0.739,634045.4708052139,2.6115189828377594
DEU,295263.0,7621157.0,1098371.7208,0.2862540136814184,1.0648584942683854,3007645.71244055,2.9158772244331885
NAM,2141235.5,5843075.0,4367913.0848,0.9132267692302443,1.8628941817518039,8584522.928172406,3.6612582497711452
EST,0.0,0.0,146602.82,0.0,0.739,518073.1358153548,2.61151898283776
LVA,0.0,0.0,186664.01,0.0,0.739,659643.5798749897,2.6115189828377594
ARG,12554345.0,97323336.0,22253608.765,1.3149679651644666,2.3308888385079576,39128258.86322394,4.098374462212253
GB1,64909.98,205275.45,132962.132368,0.9018155799769372,1.8472863882629171,262477.1053423553,3.6466802637280704
CYP,100060.5,3171318.0,122605.2848,6.688536096256684,8.195540427807487,143258.0726341134,9.576074373938061
SWE,0.0,0.0,1904988.288,0.0,0.739,6731952.741807314,2.6115189828377594
ZAF,4718632.5,64155276.0,11291981.243999999,0.6128473006902765,1.4665817320655146,25339862.077259734,3.2910946283510167
FI1,0.0,0.0,9880.43,0.0,0.739,34916.008800540854,2.6115189828377603
NL1,3654.5,171673.23,4309.6532799999995,5.884863123993559,6.93986035426731,5218.414829860164,8.403244492528444
OMN,1577347.5,19901406.0,2695904.382,1.4266246099579434,2.438298179351513,4642289.226097994,4.198696898745529
VNM,1694720.0,18933820.0,3189300.524,1.0788430345515982,2.0302791348477403,5996944.243473724,3.8175990875577863
KGZ,641503.0,3311505.5,1262060.6778,0.9900883589921673,1.9478499483736542,2423633.8313249443,3.740608606435844
KHM,534889.7,2047072.1,898452.82712,1.6298867071327579,2.7377164299644092,1469690.085226478,4.478359432824089
UZB,1905797.5,15769897.0,3836119.496,0.9187346821110196,1.8492919765596527,7568457.26785905,3.6485535226367545
LUX,0.0,0.0,6248.245,0.0,0.739,22080.392999893258,2.61151898283776
KA1,6954.0,55798.0,18830.794400000002,0.49319148936170215,1.3355173333333334,44678.35842633995,3.1686779025773015
ARM,55948.0,254176.0,150663.5608,0.5028943299895732,1.3542548520476037,354468.7987380357,3.18617911352637
ARE,975776.25,33646788.0,1254507.2550000001,4.060912041950184,5.2209137274486555,1633388.8383167486,6.797714540303176
