Region Code,annual_ntl_sum,annual_ntl_sum_sq,calibrated_ntl_sum,avg_ntl,avg_calibrated,rescaled_calibrated_ntl_sum,avg_rescaled_calibrated
IDN,5749555.0,43813108.0,15201645.86,0.5157552551006311,1.3636409667311216,35616733.24777911,3.1949459292170346
MYS,1246212.8,27807472.0,2798173.51048,0.6761232526066449,1.5181277027996272,6154799.571155102,3.339239578658934
PRK,408233.56,1247873.9,871356.5124959999,0.8164997799911996,1.7427827363014519,1774464.917439304,3.549071797750518
MAR,2100488.0,18381192.0,5004842.7548,0.6283434313580611,1.4971568844756855,11097259.442055201,3.319652421956997
CHL,135021.33,848655.6,17760318.210928,0.00567062763931266,0.7458980838796085,62335375.20071734,2.6179619288308946
SAH,213596.45,428473.75,882722.16132,0.2549078330564626,1.0534481885490061,2434388.2369735395,2.9052197745096757
CRI,219983.69,2679769.0,538908.0455039999,0.587959016218181,1.4403606206741715,1222193.2017416058,3.2666035946780574
NIC,329807.94,1375204.5,632579.156304,1.0662216316871629,2.0450374245257397,1185138.90697686,3.8313836203361524
BOL,2577082.0,12750039.0,4866846.600199999,1.10844381934274,2.093307870560935,9012616.370215746,3.8764691661626767
COG,1027222.56,3865873.2,1960058.725696,1.0842634938863744,2.068899384516652,3650937.227812556,3.8536711602088216
PER,3695321.5,19758998.0,6979167.9024,1.1055627857159953,2.0880208415308394,12940514.86027066,3.8715309770800905
COD,6976432.0,26262766.0,12383199.817200001,1.3474024130451996,2.391645659975781,21513936.363218013,4.1551225282351805
BTN,111488.23,280514.84,197012.92700799997,1.3798048267326732,2.43827879960396,339253.2468525613,4.1986787976802145
UKR,4004475.2,33651412.0,6211060.12432,2.1542454687671477,3.341298787181071,9372670.696514182,5.042117223803084
BLR,1593614.8,10884046.0,2436894.68768,2.346919696505573,3.588819670114753,3580701.737985839,5.273306595916844
ARG,140903.0,1132339.0,7225843.165800001,0.014758470568999723,0.7568497029777016,25092030.27526005,2.628190956430136
GB1,0.0,0.0,53191.003,0.0,0.739,187969.3018277134,2.6115189828377594
CYP,91965.28,2947164.5,113450.87364800001,6.147411764705883,7.583614548663102,134707.67259829448,9.00452356940471
NAM,627357.6,3660940.8,2497010.82096,0.2675650362606261,1.0649632535787217,6837063.422788896,2.9159750716891155
MNG,7068366.5,20673524.0,12309430.5564,1.4445420070572068,2.515643398184484,20898361.53776998,4.270938854115358
CZE,1249084.8,25581038.0,1627959.8676800001,5.144755094979983,6.705273191755771,1987009.882400105,8.184135469628256
ZAF,2677082.0,51895250.0,8806232.2472,0.3476944808536216,1.1437372293663868,23018123.632441025,2.989551514150878
DEU,7747890.5,199103470.0,9585624.7728,7.511488920688104,9.293150732933128,10934906.963315269,10.601263983234901
NL1,6520.2,308255.75,7321.37632,10.49951690821256,11.789655909822867,8031.423374212756,12.933048911775774
EST,499412.62,6358847.5,741238.138992,2.517454481298518,3.7364559884665796,1073474.2171506176,5.411201820499131
LVA,593362.9,5282436.0,902253.6426400001,2.3491147709727227,3.5720085618591395,1328018.3687023355,5.257604690218677
IND,13904736.0,158873020.0,25572491.6606,1.1488994524094998,2.1129650836671647,47137784.17777805,3.8948293897594595
CH1,2138.0,134446.73,2209.8678800000002,16.96825396825397,17.53863396825397,2306.14114134238,18.302707470971267
IS1,182151.1,6796202.0,218724.51176000002,6.815501758587144,8.183959880266409,255641.0830310866,9.565257914805306
OMN,1565743.6,20512990.0,2679050.6437600004,1.4161295165739611,2.423054894188939,4626547.503156099,4.18445937064722
LBN,296698.34,10714691.0,351872.417944,8.320900243991362,9.868256385674622,397162.7835783332,11.13842397224481
